openalex_id,title,authors,publication_year,doi,abstract,cited_by_count,source_name,landing_page_url,source_query_ids,source_run_ids,retrieved_at
https://openalex.org/W1653774948,Nucleosynthesis in Stellar Explosions,S. E. Woosley; T. S. Axelrod; T. A. Weaver,1984,10.1007/978-94-009-6348-1_22,,61,Astrophysics and space science library,https://doi.org/10.1007/978-94-009-6348-1_22,q03_parameters,20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2,Sat Aug 08 2026 14:43:51 GMT+0800 (中国标准时间)
https://openalex.org/W1663830336,<i>THE CANNON</i>: A DATA-DRIVEN APPROACH TO STELLAR LABEL DETERMINATION,M. Ness; David W. Hogg; H.-W. Rix; Anna. Y. Q. Ho; G. Zasowski,2015,10.1088/0004-637x/808/1/16,"New spectroscopic surveys offer the promise of stellar parameters and abundances (""stellar labels"") for hundreds of thousands of stars; this poses a formidable spectral modeling challenge. In many cases, there is a subset of reference objects for which the stellar labels are known with high(er) fidelity. We take advantage of this with The Cannon , a new data-driven approach for determining stellar labels from spectroscopic data. The Cannon learns from the ""known"" labels of reference stars how the continuum-normalized spectra depend on these labels by fitting a flexible model at each wavelength; then, The Cannon uses this model to derive labels for the remaining survey stars. We illustrate The Cannon by training the model on only 542 stars in 19 clusters as reference objects, with , , and as the labels, and then applying it to the spectra of 55,000 stars from APOGEE DR10. The Cannon is very accurate. Its stellar labels compare well to the stars for which APOGEE pipeline ( ASPCAP ) labels are provided in DR10, with rms differences that are basically identical to the stated ASPCAP uncertainties. Beyond the reference labels, The Cannon makes no use of stellar models nor any line-list, but needs a set of reference objects that span label-space. The Cannon performs well at lower signal-to-noise, as it delivers comparably good labels even at one-ninth the APOGEE observing time. We discuss the limitations of The Cannon and its future potential, particularly, to bring different spectroscopic surveys onto a consistent scale of stellar labels.",379,The Astrophysical Journal,https://doi.org/10.1088/0004-637x/808/1/16,q02_classification,20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3,Sat Aug 08 2026 14:43:46 GMT+0800 (中国标准时间)
https://openalex.org/W2002836691,Very High Energy Gamma-Ray Radiation from the Stellar Mass Black Hole Binary Cygnus X-1,J. Albert; E. Aliu; H. Anderhub; P. Antoranz; A. Armada; C. Baixeras; J. A. Barrio; H. Bartko; D. Bastieri; J. K. Becker; W. Bednarek; K. Berger; C. Bigongiari; A. Biland; R. K. Böck; P. Bordas; V. Bosch-Ramón; T. Bretz; I. Britvitch; Montaña Cámara; E. Carmona; A. Chilingarian; J. A. Coarasa; S. Commichau; J. L. Contreras; J. Cortina; M. T. Costado; V. Curtef; V. Danielyan; F. Dazzi; A. De Angelis; C. Delgado; R. de los Reyes; B. De Lotto; E. Domingo-Santamaría; D. Dorner; M. Doro; M. Errando; M. Fagiolini; D. Ferenc; E. Fernández; R. Firpo; J. Flix; M. V. Fonseca; L. Font; M. Fuchs; N. Galante; R. J. Garcı́a López; M. Garczarczyk; M. Gaug; M. Giller; F. Göebel; D. Hakobyan; M. Hayashida; T. Hengstebeck; A. Herrero; D. Höhne; J. Hose; C. C. Hsu; P. Jacoń; T. Jogler; R. Kosyra; D. Kranich; R. Kritzer; A. Laille; E. Lindfors; S. Lombardi; F. Longo; J. López; Marcos López; E. Lorenz; P. Majumdar; G. Maneva; K. Mannheim; O. Mansutti; M. Mariotti; M. Martı́nez; D. Mazin; C. Merck; M. Meucci; M. Meyer; J. M. Miranda; R. Mirzoyan; S. Mizobuchi; A. Moralejo; D. Nieto; K. Nilsson; J. Ninković; E. de Oña Wilhelmi; A. N. Otte; R. Mirzoyan; M. Panniello; R. Paoletti; J. M. Paredes; M. Pasanen; D. Pascoli; F. Pauss; R. Pegna; M. Persic; L. Peruzzo,2007,10.1086/521145,"We report on the results from the observations in the very high energy band (VHE; E γ ≥ 100 GeV) of the black hole X-ray binary (BHXB) Cygnus X-1. The observations were performed with the MAGIC telescope, for a total of 40 hr during 26 nights, spanning the period between 2006 June and November. Searches for steady γ-ray signals yielded no positive result, and upper limits to the integral flux ranging between 1% and 2% of the Crab Nebula flux, depending on the energy, have been established. We also analyzed each observation night independently, obtaining evidence of γ-ray signals at the 4.0 σ significance level (3.2 σ after trial correction) for 154 minutes of effective on-time (EOT) on September 24 between 20:58 and 23:41 UTC, coinciding with an X-ray flare seen by RXTE , Swift , and INTEGRAL . A search for faster-varying signals within a night resulted in an excess with a significance of 4.9 σ (4.1 σ after trial correction) for 79 minutes EOT between 22:17 and 23:41 UTC. The measured excess is compatible with a pointlike source at the position of Cygnus X-1 and excludes the nearby radio nebula powered by its relativistic jet. The differential energy spectrum is well fitted by an unbroken power law described as dN /( dA dt dE ) = (2.3 ± 0.6) × 10 -12 ( E /1 TeV) -3.2±0.6 . This is the first experimental evidence of VHE emission from a stellar mass black hole and therefore from a confirmed accreting X-ray binary.",256,The Astrophysical Journal,https://doi.org/10.1086/521145,q02_classification,20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3,Sat Aug 08 2026 14:43:46 GMT+0800 (中国标准时间)
https://openalex.org/W2006224949,Prevalence of Earth-size planets orbiting Sun-like stars,Erik A. Petigura; Andrew W. Howard; Geoffrey W. Marcy,2013,10.1073/pnas.1319909110,"Determining whether Earth-like planets are common or rare looms as a touchstone in the question of life in the universe. We searched for Earth-size planets that cross in front of their host stars by examining the brightness measurements of 42,000 stars from National Aeronautics and Space Administration's Kepler mission. We found 603 planets, including 10 that are Earth size ( ) and receive comparable levels of stellar energy to that of Earth (1 - 2 R[Symbol: see text] ). We account for Kepler's imperfect detectability of such planets by injecting synthetic planet-caused dimmings into the Kepler brightness measurements and recording the fraction detected. We find that 11 ± 4% of Sun-like stars harbor an Earth-size planet receiving between one and four times the stellar intensity as Earth. We also find that the occurrence of Earth-size planets is constant with increasing orbital period (P), within equal intervals of logP up to ~200 d. Extrapolating, one finds 5.7(-2.2)(+1.7)% of Sun-like stars harbor an Earth-size planet with orbital periods of 200-400 d.",849,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.1319909110,q02_classification;q03_parameters,20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3;20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2,Sat Aug 08 2026 14:43:46 GMT+0800 (中国标准时间)
https://openalex.org/W2006997511,Automatic stellar spectra parameterisation in the IR Ca ii triplet region,G. Kordopatis; A. Recio–Blanco; P. de Laverny; A. Bijaoui; V. Hill; G. Gilmore; R. F. G. Wyse; C. Ordénovic,2011,10.1051/0004-6361/201117372,"Context. Galactic archaeology aims to determine the evolution of the Galaxy from the chemical and kinematical properties of its individual stars. This requires the analysis of data from large spectroscopic surveys, with sample sizes in tens of thousands at present, with millions of stars being reached in the near future. Such large samples require automated analysis techniques and classification algorithms to obtain robust estimates of the stellar parameter values. Several on-going and planned spectroscopic surveys have selected their wavelength region to contain the IR Ca ii triplet (~λλ 8500 Å) and the work presented in this paper focuses on the automatic analysis of such spectra.",83,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201117372,q03_parameters,20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2,Sat Aug 08 2026 14:43:51 GMT+0800 (中国标准时间)
https://openalex.org/W2022194624,Restricted Boltzmann machine: a non-linear substitute for PCA in spectral processing,Yude Bu; Gang Zhao; A-Li Luo; Jingchang Pan; Yuqin Chen,2015,10.1051/0004-6361/201424194,"Context. Principal component analysis (PCA) is widely used to repair incomplete spectra, to perform spectral denoising, and to reduce dimensionality. Presently, no method has been found to be comparable to PCA on these three problems. New methods have been proposed, but are often specific to one problem. For example, locally linear embedding outperforms PCA in dimensionality reduction. However, it cannot be used in spectral denoising and spectral reparing. Wavelet transform can be used to denoise spectra; however, it cannot be used in dimensionality reduction.",20,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201424194,q04_preprocessing,20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706,Sat Aug 08 2026 14:43:54 GMT+0800 (中国标准时间)
https://openalex.org/W2032231736,Estimation of stellar atmospheric parameters from SDSS/SEGUE spectra,P. Re Fiorentin; C. A. L. Bailer‐Jones; Young Sun Lee; Timothy C. Beers; T. Sivarani; Ronald Wilhelm; Carlos Allende Prieto; John E. Norris,2007,10.1051/0004-6361:20077334,"We present techniques for the estimation of stellar atmospheric parameters (Teff, , [Fe/H]) for stars from the SDSS/SEGUE survey. The atmospheric parameters are derived from the observed medium-resolution () stellar spectra using non-linear regression models trained either on (1) pre-classified observed data or (2) synthetic stellar spectra. In the first case we use our models to automate and generalize parametrization produced by a preliminary version of the SDSS/SEGUE Spectroscopic Parameter Pipeline (SSPP). In the second case we directly model the mapping between synthetic spectra (derived from Kurucz model atmospheres) and the atmospheric parameters, independently of any intermediate estimates. After training, we apply our models to various samples of SDSS spectra to derive atmospheric parameters, and compare our results with those obtained previously by the SSPP for the same samples. We obtain consistency between the two approaches, with RMS deviations on the order of 150 K in Teff, 0.35 dex in , and 0.22 dex in [Fe/H]. The models are applied to pre-processed spectra, either via Principal Component Analysis (PCA) or a Wavelength Range Selection (WRS) method, which employs a subset of the full 3850–9000 Åspectral range. This is both for computational reasons (robustness and speed), and because it delivers higher accuracy (better generalization of what the models have learned). Broadly speaking, the PCA is demonstrated to deliver more accurate atmospheric parameters when the training data are the actual SDSS spectra with previously estimated parameters, whereas WRS appears superior for the estimation of via synthetic templates, especially for lower signal-to-noise spectra. From a subsample of some 19 000 stars with previous determinations of the atmospheric parameters, the accuracies of our predictions (mean absolute errors) for each parameter are Teff to 170/170 K, to 0.36/0.45 dex, and [Fe/H] to 0.19/0.26 dex, for methods (1) and (2), respectively. We measure the intrinsic errors of our models by training on synthetic spectra and evaluating their performance on an independent set of synthetic spectra. This yields RMS accuracies of 50 K, 0.02 dex, and 0.03 dex on Teff, , and [Fe/H], respectively. Our approach can be readily deployed in an automated analysis pipeline, and can easily be retrained as improved stellar models and synthetic spectra become available. We nonetheless emphasise that this approach relies on an accurate calibration and pre-processing of the data (to minimize mismatch between the real and synthetic data), as well as sensible choices concerning feature selection. From an analysis of cluster candidates with available SDSS spectroscopy (M 15, M 13, M 2, and NGC 2420), and assuming the age, metallicity, and distances given in the literature are correct, we find evidence for small systematic offsets in Teff and/or for the parameter estimates from the model trained on real data with the SSPP. Thus, this model turns out to derive more precise, but less accurate, atmospheric parameters than the model trained on synthetic data.",94,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361:20077334,q03_parameters,20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2,Sat Aug 08 2026 14:43:51 GMT+0800 (中国标准时间)
https://openalex.org/W2043055070,A PCA approach to stellar effective temperatures,Juan Bermejo; A. Asensio Ramos; Carlos Allende Prieto,2013,10.1051/0004-6361/201220961,"Context. The derivation of the effective temperature of a star is a critical first step in a detailed spectroscopic analysis. Spectroscopic methods suffer from systematic errors related to model simplifications. Photometric methods may be more robust, but are exposed to the distortions caused by interstellar reddening. Direct methods are difficult to apply, since fundamental data of high accuracy are hard to obtain.",33,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201220961,q03_parameters,20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2,Sat Aug 08 2026 14:43:51 GMT+0800 (中国标准时间)
https://openalex.org/W2047449019,The prevalence of dust on the exoplanet HD 189733b from Hubble and Spitzer observations,F. Pont; David K. Sing; Neale P. Gibson; S. Aigrain; Gregory W. Henry; Nawal Husnoo,2013,10.1093/mnras/stt651,"The hot Jupiter HD 189733b is the most extensively observed exoplanet. Its atmosphere has been detected and characterized in transmission and eclipse spectroscopy, and its phase curve measured at several wavelengths. This paper brings together the results of our campaign to obtain the complete transmission spectrum of the atmosphere of this planet from UV to infrared with the Hubble Space Telescope, using the STIS, ACS and WFC3 instruments. We provide a new tabulation of the transmission spectrum across the entire visible and infrared range. The radius ratio in each wavelength band was re-derived, where necessary, to ensure a consistent treatment of the bulk transit parameters and stellar limb darkening. Special care was taken to correct for, and derive realistic estimates of the uncertainties due to, both occulted and unocculted star spots. The combined spectrum is very different from the predictions of cloud-free models for hot Jupiters: it is dominated by Rayleigh scattering over the whole visible and near-infrared range, the only detected features being narrow sodium and potassium lines. We interpret this as the signature of a haze of condensate grains extending over at least five scaleheights. We show that a dust-dominated atmosphere could also explain several puzzling features of the emission spectrum and phase curves, including the large amplitude of the phase curve at 3.6 μm, the small hotspot longitude shift and the hot mid-infrared emission spectrum. We discuss possible compositions and derive some first-order estimates for the properties of the putative condensate haze/clouds. We finish by speculating that the dichotomy between the two observationally defined classes of hot Jupiter atmospheres, of which HD 189733b and HD 209458b are the prototypes, might not be whether they possess a temperature inversion, but whether they are clear or dusty. We also consider the possibility of a continuum of cloud properties between hot Jupiters, young Jupiters and L-type brown dwarfs.",445,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stt651,q03_parameters,20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2,Sat Aug 08 2026 14:43:51 GMT+0800 (中国标准时间)
https://openalex.org/W2065532082,Astrophysically robust systematics removal using variational inference: application to the first month of Kepler data,Stephen Roberts; A. McQuillan; Steven Reece; S. Aigrain,2013,10.1093/mnras/stt1555,"Space-based transit search missions such as Kepler are collecting large numbers of stellar light curves of unprecedented photometric precision and time coverage. However, before this scientific goldmine can be exploited fully, the data must be cleaned of instrumental artefacts. We present a new method to correct common-mode systematics in large ensembles of very high precision light curves. It is based on a Bayesian linear basis model and uses shrinkage priors for robustness, variational inference for speed and a de-noising step based on empirical mode decomposition to prevent the introduction of spurious noise into the corrected light curves. After demonstrating the performance of our method on a synthetic data set, we apply it to the first month of Kepler data. We compare the results, which are publicly available, to the output of the Kepler pipeline's pre-search data conditioning, and show that the two generally give similar results, but the light curves corrected using our approach have lower scatter, on average, on both long and short time-scales. We finish by discussing some limitations of our method and outlining some avenues for further development. The trend-corrected data produced by our approach are publicly available.",53,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/stt1555,q04_preprocessing,20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706,Sat Aug 08 2026 14:43:54 GMT+0800 (中国标准时间)
