case_id,openalex_id,source_query_ids,title,hard_negative_type,reason,evidence_source,annotator,review_status
w2_hn_001,https://openalex.org/W4200631758,w1_unified_sample,Mapping the Diversity of Galaxy Spectra with Deep Unsupervised Machine Learning,天文光谱但对象为星系,标题含spectra，但研究星系光谱，非恒星光谱检索，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_002,https://openalex.org/W4319592221,w1_unified_sample,Deducing neutron star equation of state parameters directly from telescope spectra with uncertainty-aware machine learning,包含 spectra 但任务为中子星物态方程,标题含spectra，研究中子星物态方程，不属于恒星光谱检索，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_003,https://openalex.org/W4281823699,w1_unified_sample,Mimicking the halo–galaxy connection using machine learning,机器学习天文但无恒星光谱,标题含stellar，研究星系-暗物质晕关联，不涉及光谱检索，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_004,https://openalex.org/W4384201335,w1_unified_sample,Machine learning in solar physics,太阳物理边界,标题含stellar相关范畴，研究太阳物理，不面向恒星光谱检索，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_005,https://openalex.org/W2920947047,w1_unified_sample,The Challenge of Machine Learning in Space Weather: Nowcasting and Forecasting,空间天气误召回,标题无直接光谱词汇，空间天气预报，普通负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_006,https://openalex.org/W4372215216,w1_unified_sample,Machine learning for observational cosmology,观测宇宙学主题偏离,标题含stellar领域范畴，观测宇宙学研究，不涉及恒星光谱检索，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_007,https://openalex.org/W3209534297,w1_unified_sample,Modelling the galaxy–halo connection with machine learning,星系暗晕主题偏离,标题含stellar相关天文范畴，星系暗晕模型，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_008,https://openalex.org/W3043645409,w1_unified_sample,The miniJPAS survey: star-galaxy classification using machine learning,star 词命中但输入为成像,标题含star，区分恒星/星系图像，不处理恒星光谱，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_009,https://openalex.org/W4390907879,w1_unified_sample,Outshining by Recent Star Formation Prevents the Accurate Measurement of High-z Galaxy Stellar Masses,stellar mass 词命中但对象为高红移星系,标题含stellar，高红移星系恒星质量，不涉及恒星光谱检索，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_010,https://openalex.org/W3099811482,w1_unified_sample,An Active Instance-based Machine Learning method for Stellar Population Studies,stellar population 词命中,标题含stellar，星系恒星族群研究，不涉及恒星光谱检索，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_011,https://openalex.org/W2969767295,w1_unified_sample,Machine-learning Classifiers for Intermediate Redshift Emission-line Galaxies,红外天体分类而非恒星光谱,标题无恒星光谱词汇，研究星系发射线，困难负例,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
w2_hn_012,https://openalex.org/W4388221752,w1_unified_sample,Machine Learning Model for Leak Detection Using Water Pipeline Vibration Sensor,完全非天文的机器学习,管道泄漏检测，完全无关,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；待组长抽查
