method_id,example_role,error_type,n_pairs,top5_count,top10_count,irrelevant_top5,irrelevant_top10
bm25_v1,scope_in,scope_in,6,3,4,0,0
bm25_v1,hard_negative,classification_vs_regression,1,0,0,0,0
bm25_v1,hard_negative,downstream_task,2,0,1,0,1
bm25_v1,hard_negative,existing_labels_as_input,1,0,1,0,1
bm25_v1,hard_negative,wrong_astronomical_object,1,0,0,0,0
bm25_v1,hard_negative,wrong_domain,2,1,2,1,2
bm25_v1,hard_negative,wrong_modality,2,0,1,0,1
bm25_v1,hard_negative,wrong_modality_and_task,1,1,1,1,1
bm25_v1,hard_negative,wrong_modality_no_ml,1,1,1,1,1
bm25_v1,hard_negative,wrong_object_and_method_name,1,1,1,1,1
bm25_v1,boundary,generation_vs_preprocessing,1,0,1,0,1
bm25_v1,boundary,object_classification_vs_stellar_type,1,1,1,1,1
bm25_v1,unclassified,unclassified,40,7,16,4,11
cross_encoder_msmarco_v1,scope_in,scope_in,6,2,4,0,0
cross_encoder_msmarco_v1,hard_negative,classification_vs_regression,1,1,1,1,1
cross_encoder_msmarco_v1,hard_negative,downstream_task,2,1,1,1,1
cross_encoder_msmarco_v1,hard_negative,existing_labels_as_input,1,0,1,0,1
cross_encoder_msmarco_v1,hard_negative,wrong_astronomical_object,1,0,0,0,0
cross_encoder_msmarco_v1,hard_negative,wrong_domain,2,0,1,0,1
cross_encoder_msmarco_v1,hard_negative,wrong_modality,2,0,1,0,1
cross_encoder_msmarco_v1,hard_negative,wrong_modality_and_task,1,1,1,1,1
cross_encoder_msmarco_v1,hard_negative,wrong_modality_no_ml,1,0,0,0,0
cross_encoder_msmarco_v1,hard_negative,wrong_object_and_method_name,1,0,1,0,1
cross_encoder_msmarco_v1,boundary,generation_vs_preprocessing,1,0,1,0,1
cross_encoder_msmarco_v1,boundary,object_classification_vs_stellar_type,1,1,1,1,1
cross_encoder_msmarco_v1,unclassified,unclassified,40,9,17,5,11
preliminary_score_v1,scope_in,scope_in,6,1,3,0,0
preliminary_score_v1,hard_negative,classification_vs_regression,1,0,0,0,0
preliminary_score_v1,hard_negative,downstream_task,2,0,1,0,1
preliminary_score_v1,hard_negative,existing_labels_as_input,1,0,0,0,0
preliminary_score_v1,hard_negative,wrong_astronomical_object,1,0,0,0,0
preliminary_score_v1,hard_negative,wrong_domain,2,1,2,1,2
