pair_id,research_query_id,research_question_zh,research_question_en,openalex_id,title,abstract,landing_page_url,publication_year,doi,annotator,label,confidence,evidence_level,reason,source_checked,evidence_url,ai_assistance
w4_rq01_001,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W4293191352,Stellar Classification by Machine Learning,"As an emerging subject with strong comprehensiveness, machine learning has made varying degrees of progress in various fields. In the field of astronomy, it has also been generally used, and there have been quantities of research using machine learning for data processing and model prediction. The paper has used three algorithms (Decision Tree, Random Forest and Support Vector Machine) to build prediction models to classify stars, galaxies, and quasars in the universe and make a comparison among three models. The results of the test have shown that the prediction accuracy of the Random Forest model reaches roughly 98 percent with a great computing efficiency, which performs the best.",https://doi.org/10.1051/shsconf/202214403006,2022,10.1051/shsconf/202214403006,liuzican,0,high,A,核心任务是恒星、星系和类星体三分类，并非恒星光谱型识别。,title_abstract,,label_suggestion
w4_rq01_007,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W1663830336,<i>THE CANNON</i>: A DATA-DRIVEN APPROACH TO STELLAR LABEL DETERMINATION,"New spectroscopic surveys offer the promise of stellar parameters and abundances (""stellar labels"") for hundreds of thousands of stars; this poses a formidable spectral modeling challenge. In many cases, there is a subset of reference objects for which the stellar labels are known with high(er) fidelity. We take advantage of this with The Cannon , a new data-driven approach for determining stellar labels from spectroscopic data. The Cannon learns from the ""known"" labels of reference stars how the continuum-normalized spectra depend on these labels by fitting a flexible model at each wavelength; then, The Cannon uses this model to derive labels for the remaining survey stars. We illustrate The Cannon by training the model on only 542 stars in 19 clusters as reference objects, with , , and as the labels, and then applying it to the spectra of 55,000 stars from APOGEE DR10. The Cannon is very accurate. Its stellar labels compare well to the stars for which APOGEE pipeline ( ASPCAP ) labels are provided in DR10, with rms differences that are basically identical to the stated ASPCAP uncertainties. Beyond the reference labels, The Cannon makes no use of stellar models nor any line-list, but needs a set of reference objects that span label-space. The Cannon performs well at lower signal-to-noise, as it delivers comparably good labels even at one-ninth the APOGEE observing time. We discuss the limitations of The Cannon and its future potential, particularly, to bring different spectroscopic surveys onto a consistent scale of stellar labels.",https://doi.org/10.1088/0004-637x/808/1/16,2015,10.1088/0004-637x/808/1/16,liuzican,0,high,A,从恒星光谱推断连续恒星参数，核心任务不是光谱分类或类型识别。,title_abstract,,label_suggestion
w4_rq01_010,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W3121170300,ROOSTER: a machine-learning analysis tool for <i>Kepler</i> stellar rotation periods,"In order to understand stellar evolution, it is crucial to efficiently determine stellar surface rotation periods. Indeed, while they are of great importance in stellar models, angular momentum transport processes inside stars are still poorly understood today. Surface rotation, which is linked to the age of the star, is one of the constraints needed to improve the way those processes are modelled. Statistics of the surface rotation periods for a large sample of stars of different spectral types are thus necessary. An efficient tool to automatically determine reliable rotation periods is needed when dealing with large samples of stellar photometric datasets. The objective of this work is to develop such a tool. For this purpose, machine learning classifiers constitute relevant bases to build our new methodology. Random forest learning abilities are exploited to automate the extraction of rotation periods in Kepler light curves. Rotation periods and complementary parameters are obtained via three different methods: a wavelet analysis, the autocorrelation function of the light curve, and the composite spectrum. We trained three different classifiers: one to detect if rotational modulations are present in the light curve, one to flag close binary or classical pulsators candidates that can bias our rotation period determination, and finally one classifier to provide the final rotation period. We tested our machine learning pipeline on 23 431 stars of the Kepler K and M dwarf reference rotation catalogue for which 60% of the stars have been visually inspected. For the sample of 21 707 stars where all the input parameters are provided to the algorithm, 94.2% of them are correctly classified (as rotating or not). Among the stars that have a rotation period in the reference catalogue, the machine learning provides a period that agrees within 10% of the reference value for 95.3% of the stars. Moreover, the yield of correct rotation periods is raised to 99.5% after visually inspecting 25.2% of the stars. Over the two main analysis steps, rotation classification and period selection, the pipeline yields a global agreement with the reference values of 92.1% and 96.9% before and after visual inspection. Random forest classifiers are efficient tools to determine reliable rotation periods in large samples of stars. The methodology presented here could be easily adapted to extract surface rotation periods for stars with different spectral types or observed by other instruments such as K2, TESS or by PLATO in the near future.",https://doi.org/10.1051/0004-6361/202039947,2021,10.1051/0004-6361/202039947,liuzican,0,high,A,从 Kepler 测光光变提取恒星自转周期，不使用恒星光谱进行类型分类。,title_abstract,,label_suggestion
w4_rq01_013,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2127375519,A MACHINE-LEARNING METHOD TO INFER FUNDAMENTAL STELLAR PARAMETERS FROM PHOTOMETRIC LIGHT CURVES,"A fundamental challenge for wide-field imaging surveys is obtaining follow-up spectroscopic observations: there are >10 9 photometrically cataloged sources, yet modern spectroscopic surveys are limited to ∼few × 10 6 targets. As we approach the Large Synoptic Survey Telescope era, new algorithmic solutions are required to cope with the data deluge. Here we report the development of a machine-learning framework capable of inferring fundamental stellar parameters ( T eff , log g , and [Fe/H]) using photometric-brightness variations and color alone. A training set is constructed from a systematic spectroscopic survey of variables with Hectospec/Multi-Mirror Telescope. In sum, the training set includes ∼9000 spectra, for which stellar parameters are measured using the SEGUE Stellar Parameters Pipeline (SSPP). We employed the random forest algorithm to perform a non-parametric regression that predicts T eff , log g , and [Fe/H] from photometric time-domain observations. Our final optimized model produces a cross-validated rms error (RMSE) of 165 K, 0.39 dex, and 0.33 dex for T eff , log g , and [Fe/H], respectively. Examining the subset of sources for which the SSPP measurements are most reliable, the RMSE reduces to 125 K, 0.37 dex, and 0.27 dex, respectively, comparable to what is achievable via low-resolution spectroscopy. For variable stars this represents a ≈12%–20% improvement in RMSE relative to models trained with single-epoch photometric colors. As an application of our method, we estimate stellar parameters for ∼54,000 known variables. We argue that this method may convert photometric time-domain surveys into pseudo-spectrographic engines, enabling the construction of extremely detailed maps of the Milky Way, its structure, and history.",https://doi.org/10.1088/0004-637x/798/2/122,2015,10.1088/0004-637x/798/2/122,liuzican,0,high,A,从测光光变和颜色估计物理参数，既非光谱输入也非恒星类型分类。,title_abstract,,label_suggestion
w4_rq01_019,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2375984290,Stellar classification from single-band imaging using machine learning,"Information on the spectral types of stars is of great interest in view of the exploitation of space-based imaging surveys. In this article, we investigate the classification of stars into spectral types using only the shape of their diffraction pattern in a single broad-band image. We propose a supervised machine learning approach to this endeavour, based on principal component analysis (PCA) for dimensionality reduction, followed by artificial neural networks (ANNs) estimating the spectral type. Our analysis is performed with image simulations mimicking the Hubble Space Telescope (HST) Advanced Camera for Surveys (ACS) in the F606W and F814W bands, as well as the Euclid VIS imager. We first demonstrate this classification in a simple context, assuming perfect knowledge of the point spread function (PSF) model and the possibility of accurately generating mock training data for the machine learning. We then analyse its performance in a fully data-driven situation, in which the training would be performed with a limited subset of bright stars from a survey, and an unknown PSF with spatial variations across the detector. We use simulations of main-sequence stars with flat distributions in spectral type and in signal-to-noise ratio, and classify these stars into 13 spectral subclasses, from O5 to M5. Under these conditions, the algorithm achieves a high success rate both for Euclid and HST images, with typical errors of half a spectral class. Although more detailed simulations would be needed to assess the performance of the algorithm on a specific survey, this shows that stellar classification from single-band images is well possible.",https://doi.org/10.1051/0004-6361/201628660,2016,10.1051/0004-6361/201628660,liuzican,0,high,A,虽预测恒星光谱型，但输入是单波段图像而非恒星光谱。,title_abstract,,label_suggestion
w4_rq01_020,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2611629499,X-rays across the galaxy population – II. The distribution of AGN accretion rates as a function of stellar mass and redshift,"We use deep Chandra X-ray imaging to measure the distribution of specific black hole accretion rates (LX relative to the stellar mass of the galaxy) and thus trace active galactic nucleus (AGN) activity within star-forming and quiescent galaxies, as a function of stellar mass (from 108.5 to 1011.5 M⊙) and redshift (to z ∼ 4). We adopt near-infrared-selected samples of galaxies from the CANDELS and UltraVISTA surveys, extract X-ray data for every galaxy, and use a flexible Bayesian method to combine these data and to measure the probability distribution function of specific black hole accretion rates, λsBHAR. We identify a broad distribution of λsBHAR in both star-forming and quiescent galaxies – likely reflecting the stochastic nature of AGN fuelling – with a roughly power-law shape that rises towards lower λsBHAR, a steep cut-off at λsBHAR ≳ 0.1–1 (in Eddington equivalent units), and a turnover or flattening at |$\lambda _\mathrm{sBHAR} \lesssim 10^{-3}\hbox{ {to} }10^{-2}$|⁠. We find that the probability of a star-forming galaxy hosting a moderate λsBHAR AGN depends on stellar mass and evolves with redshift, shifting towards higher λsBHAR at higher redshifts. This evolution is truncated at a point corresponding to the Eddington limit, indicating black holes may self-regulate their growth at high redshifts when copious gas is available. The probability of a quiescent galaxy hosting an AGN is generally lower than that of a star-forming galaxy, shows signs of suppression at the highest stellar masses and evolves strongly with redshift. The AGN duty cycle in high-redshift (z ≳ 2) quiescent galaxies thus reaches ∼20 per cent, comparable to the duty cycle in star-forming galaxies of equivalent stellar mass and redshift.",https://doi.org/10.1093/mnras/stx2700,2017,10.1093/mnras/stx2700,liuzican,0,high,A,研究星系中的 AGN 吸积率，与恒星光谱分类或类型识别无关。,title_abstract,,label_suggestion
w4_rq02_004,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2211251945,Stellar parametrization from<i>Gaia</i>RVS spectra,"Context. Among the myriad of data collected by the ESA Gaia satellite, about 150 million spectra will be delivered by the Radial Velocity Spectrometer (RVS) for stars as faint as GRVS~ 16. A specific stellar parametrization will be performed on most of these RVS spectra, i.e. those with enough high signal-to-noise ratio (S/N), which should correspond to single stars that have a magnitude in the RVS band brighter than ~14.5. Some individual chemical abundances will also be estimated for the brightest targets.",https://doi.org/10.1051/0004-6361/201425030,2015,10.1051/0004-6361/201425030,liuzican,2,high,B,以 Gaia RVS 恒星光谱为输入，用包含 ANN 的方法估计 Teff、log g 和金属丰度。,title_abstract;arxiv,https://arxiv.org/abs/1510.00111,label_suggestion
w4_rq02_005,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W3107253413,Investigating the young AU Mic system with SPIRou: large-scale stellar magnetic field and close-in planet mass,"ABSTRACT We present a velocimetric and spectropolarimetric analysis of 27 observations of the 22-Myr M1 star AU Microscopii (AU Mic) collected with the high-resolution YJHK (0.98–2.35 μm) spectropolarimeter SPIRou from 2019 September 18 to November 14. Our radial velocity (RV) time-series exhibits activity-induced fluctuations of 45 m s−1 rms, ∼3 times smaller than those measured in the optical domain, that we filter using Gaussian Process Regression. We report a 3.9σ detection of the recently discovered 8.46 -d transiting planet AU Mic b, with an estimated mass of 17.1$^{+4.7}_{-4.5}$ M⊕ and a bulk density of 1.3 ± 0.4 g cm−3, inducing an RV signature of semi-amplitude K = 8.5$^{+2.3}_{-2.2}$ m s−1 in the spectrum of its host star. A consistent detection is independently obtained when we simultaneously image stellar surface inhomogeneities and estimate the planet parameters with Zeeman–Doppler imaging (ZDI). Using ZDI, we invert the time-series of unpolarized and circularly polarized spectra into surface brightness and large-scale magnetic maps. We find a mainly poloidal and axisymmetric field of 475 G, featuring, in particular, a dipole of 450 G tilted at 19° to the rotation axis. Moreover, we detect a strong differential rotation of dΩ = 0.167 ± 0.009 rad d−1 shearing the large-scale field, about twice stronger than that shearing the brightness distribution, suggesting that both observables probe different layers of the convective zone. Even though we caution that more RV measurements are needed to accurately pin down the planet mass, AU Mic b already appears as a prime target for constraining planet formation models, studying the interactions with the surrounding debris disc, and characterizing its atmosphere with upcoming space- and ground-based missions.",https://doi.org/10.1093/mnras/staa3702,2020,10.1093/mnras/staa3702,liuzican,0,high,A,光谱用于测量行星质量和恒星磁场，并非估计恒星大气参数。,title_abstract,,label_suggestion
w4_rq02_011,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2795071146,Dissecting stellar chemical abundance space with t-SNE,"In the era of large-scale Galactic astronomy and multi-object spectroscopic stellar surveys, the sample sizes and the number of available stellar chemical abundances have reached dimensions in which it has become difficult to process all the available information in an effective manner. In this paper we demonstrate the use of a dimensionality-reduction technique (t-distributed stochastic neighbour embedding; t-SNE) for analysing the stellar abundance-space distribution. While the non-parametric non-linear behaviour of this technique makes it difficult to estimate the significance of any abundance-space substructure found, we show that our results depend little on parameter choices and are robust to abundance errors. By reanalysing the high-resolution high-signal-to-noise solar-neighbourhood HARPS-GTO sample with t-SNE, we find clearer chemical separations of the high- and low-[ α /Fe] disc sequences, hints for multiple populations in the high-[ α /Fe] population, and indications that the chemical evolution of the high-[ α /Fe] metal-rich stars is connected with the super-metal-rich stars. We also identify a number of chemically peculiar stars, among them a high-confidence s -process-enhanced abundance-ratio pair (HD 91345/HD 126681) with very similar ages and v X and v Y velocities, which we suggest have a common birth origin, possibly a dwarf galaxy. Our results demonstrate the potential of abundance-space t-SNE and similar methods for chemical-tagging studies with large spectroscopic surveys.",https://doi.org/10.1051/0004-6361/201833099,2018,10.1051/0004-6361/201833099,liuzican,0,high,A,以已有化学丰度为输入分析种群结构，不从恒星光谱估计参数。,title_abstract,,label_suggestion
w4_rq02_015,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W3161474384,Internal mixing of rotating stars inferred from dipole gravity modes,,https://doi.org/10.1038/s41550-021-01351-x,2021,10.1038/s41550-021-01351-x,liuzican,0,high,B,从重力模推断恒星内部混合，不以恒星光谱估计大气参数。,title_abstract;publisher,https://www.nature.com/articles/s41550-021-01351-x,label_suggestion
