pair_id,research_query_id,method_id,score,rank
w4_rq01_016,rq01_stellar_classification,cross_encoder_msmarco_v1,7.6706037521362305,1
w4_rq01_019,rq01_stellar_classification,cross_encoder_msmarco_v1,7.099608898162842,2
w4_rq01_001,rq01_stellar_classification,cross_encoder_msmarco_v1,6.586884498596191,3
w4_rq01_015,rq01_stellar_classification,cross_encoder_msmarco_v1,4.9378204345703125,4
w4_rq01_017,rq01_stellar_classification,cross_encoder_msmarco_v1,4.710331916809082,5
w4_rq01_002,rq01_stellar_classification,cross_encoder_msmarco_v1,3.959278106689453,6
w4_rq01_011,rq01_stellar_classification,cross_encoder_msmarco_v1,3.8366198539733887,7
w4_rq01_010,rq01_stellar_classification,cross_encoder_msmarco_v1,3.671886444091797,8
w4_rq01_013,rq01_stellar_classification,cross_encoder_msmarco_v1,3.1853890419006348,9
w4_rq01_009,rq01_stellar_classification,cross_encoder_msmarco_v1,2.211951732635498,10
w4_rq01_008,rq01_stellar_classification,cross_encoder_msmarco_v1,1.7731268405914307,11
w4_rq01_006,rq01_stellar_classification,cross_encoder_msmarco_v1,0.22876958549022675,12
w4_rq01_007,rq01_stellar_classification,cross_encoder_msmarco_v1,-0.6567893028259277,13
w4_rq01_004,rq01_stellar_classification,cross_encoder_msmarco_v1,-2.0453081130981445,14
w4_rq01_018,rq01_stellar_classification,cross_encoder_msmarco_v1,-2.5593152046203613,15
w4_rq01_003,rq01_stellar_classification,cross_encoder_msmarco_v1,-3.754922866821289,16
w4_rq01_012,rq01_stellar_classification,cross_encoder_msmarco_v1,-4.696801662445068,17
w4_rq01_014,rq01_stellar_classification,cross_encoder_msmarco_v1,-5.308096408843994,18
w4_rq01_020,rq01_stellar_classification,cross_encoder_msmarco_v1,-5.576564311981201,19
w4_rq01_005,rq01_stellar_classification,cross_encoder_msmarco_v1,-10.003819465637207,20
w4_rq02_008,rq02_stellar_parameters,cross_encoder_msmarco_v1,3.075674295425415,1
w4_rq02_014,rq02_stellar_parameters,cross_encoder_msmarco_v1,0.4019244313240051,2
w4_rq02_006,rq02_stellar_parameters,cross_encoder_msmarco_v1,-1.0307583808898926,3
w4_rq02_017,rq02_stellar_parameters,cross_encoder_msmarco_v1,-2.507534980773926,4
w4_rq02_003,rq02_stellar_parameters,cross_encoder_msmarco_v1,-2.560819387435913,5
w4_rq02_012,rq02_stellar_parameters,cross_encoder_msmarco_v1,-2.989854097366333,6
w4_rq02_018,rq02_stellar_parameters,cross_encoder_msmarco_v1,-3.0774917602539062,7
w4_rq02_013,rq02_stellar_parameters,cross_encoder_msmarco_v1,-3.249922752380371,8
w4_rq02_009,rq02_stellar_parameters,cross_encoder_msmarco_v1,-3.533714532852173,9
w4_rq02_002,rq02_stellar_parameters,cross_encoder_msmarco_v1,-4.099495887756348,10
w4_rq02_011,rq02_stellar_parameters,cross_encoder_msmarco_v1,-4.099495887756348,11
w4_rq02_005,rq02_stellar_parameters,cross_encoder_msmarco_v1,-4.280447959899902,12
w4_rq02_004,rq02_stellar_parameters,cross_encoder_msmarco_v1,-5.330994606018066,13
w4_rq02_020,rq02_stellar_parameters,cross_encoder_msmarco_v1,-5.636430740356445,14
w4_rq02_010,rq02_stellar_parameters,cross_encoder_msmarco_v1,-7.539908409118652,15
w4_rq02_007,rq02_stellar_parameters,cross_encoder_msmarco_v1,-8.000381469726562,16
w4_rq02_001,rq02_stellar_parameters,cross_encoder_msmarco_v1,-8.19672966003418,17
w4_rq02_015,rq02_stellar_parameters,cross_encoder_msmarco_v1,-8.908388137817383,18
w4_rq02_016,rq02_stellar_parameters,cross_encoder_msmarco_v1,-9.333942413330078,19
w4_rq02_019,rq02_stellar_parameters,cross_encoder_msmarco_v1,-10.240459442138672,20
w4_rq03_005,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,0.033476218581199646,1
w4_rq03_014,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-0.6150707006454468,2
w4_rq03_012,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-0.8575862646102905,3
w4_rq03_020,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-0.995465874671936,4
w4_rq03_004,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-1.3487945795059204,5
w4_rq03_011,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-1.3487945795059204,6
w4_rq03_009,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-2.7093698978424072,7
w4_rq03_018,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-3.5956270694732666,8
w4_rq03_016,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-4.865848541259766,9
w4_rq03_003,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-6.274831295013428,10
w4_rq03_002,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-6.39813232421875,11
w4_rq03_017,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-6.851101875305176,12
w4_rq03_010,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-6.933061599731445,13
w4_rq03_013,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-7.48704719543457,14
w4_rq03_019,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-8.936528205871582,15
w4_rq03_015,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-9.091316223144531,16
w4_rq03_001,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-9.542150497436523,17
w4_rq03_007,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-9.573088645935059,18
w4_rq03_006,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-10.088960647583008,19
w4_rq03_008,rq03_spectral_preprocessing,cross_encoder_msmarco_v1,-11.293188095092773,20
