title,authors,publication_year,doi,abstract,cited_by_count,source_name,openalex_id,landing_page_url,keyword,retrieved_at,relevance_score,impact_score,recency_score,completeness_score,preliminary_score
Machine Learning for Astronomical Spectra Classification,Lin Chen; Maya Patel,2024,10.0000/example.astro.001,This teaching sample studies how machine learning can classify astronomical spectra and support optical survey pipelines.,42,Example Journal of Astronomical Data,mock-W001,https://example.org/papers/mock-W001,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,1.0,0.7843,0.8,1.0,0.8953
Astronomical Spectra Denoising with Autoencoders,Ravi Singh; Emma Brown,2021,10.0000/example.astro.004,Autoencoders are explored as a compact machine learning method for denoising astronomical spectra.,37,Example Computational Astronomy,mock-W005,https://example.org/papers/mock-W005,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.65,0.7585,0.5,1.0,0.6875
Self-Supervised Learning for Large Spectral Surveys,Elena Petrova; Jun Park,2022,10.0000/example.astro.009,A teaching record about self-supervised learning for large collections of astronomical spectra.,83,Example Machine Learning Astronomy,mock-W013,https://example.org/papers/mock-W013,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.4,0.9239,0.6,1.0,0.6572
Machine Learning Classification of Stellar Spectra,Olivia Zhang,2019,,A local teaching sample for stellar spectra classification using machine learning features.,28,Example Stellar Data Letters,mock-W007,https://example.org/papers/mock-W007,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.75,0.7021,0.3,0.8333,0.654
Deep Learning Methods for Stellar Spectral Parameter Estimation,Yue Wang; Daniel Kim,2023,10.0000/example.astro.002,A teaching record about deep learning models for stellar spectra and basic parameter estimation from survey data.,65,Example Astronomy Informatics,mock-W002,https://example.org/papers/mock-W002,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.325,0.8736,0.7,1.0,0.6321
Outlier Detection in Astronomical Spectra,Fatima Ali; Peter Clark,2021,10.0000/example.astro.010,This sample applies simple anomaly detection to unusual astronomical spectra.,33,Example Data Mining in Astronomy,mock-W014,https://example.org/papers/mock-W014,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.5,0.7353,0.5,1.0,0.6206
Interpretable Models for Stellar Spectra Analysis,Lina Novak; George Smith,2025,10.0000/example.astro.007,This teaching sample compares interpretable machine learning models for stellar spectra analysis.,15,Example AI Astronomy Reports,mock-W010,https://example.org/papers/mock-W010,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.4,0.5781,0.9,1.0,0.6134
Missing Link Example for Machine Learning Spectra,Sophia Evans,2021,10.0000/example.astro.015,This sample intentionally lacks a landing page URL.,17,Example Incomplete Records,mock-W019,,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.525,0.6027,0.5,0.8333,0.5741
Neural Networks for Galaxy Spectral Redshift Estimation,Sara Gomez; Wei Liu,2022,10.0000/example.astro.003,This sample paper uses neural networks to estimate redshift from galaxy spectra in a simplified astronomical workflow.,91,Example Astrophysical Methods,mock-W004,https://example.org/papers/mock-W004,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.15,0.9429,0.6,1.0,0.5629
Convolutional Models for Quasar Spectra,Mei Huang; Lucas Martin,2020,10.0000/example.astro.011,Convolutional neural networks are used in this teaching sample for quasar spectra classification.,58,Example Quasar Studies,mock-W015,https://example.org/papers/mock-W015,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.25,0.8502,0.4,1.0,0.5351
Feature Engineering for Astronomical Spectral Lines,Kenji Sato; Priya Nair,2018,10.0000/example.astro.006,This record focuses on simple spectral line features before applying machine learning models.,54,Example Spectroscopy Notes,mock-W009,https://example.org/papers/mock-W009,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.325,0.8356,0.2,1.0,0.5207
A Survey of Artificial Intelligence in Spectroscopic Astronomy,Noah Miller; Anika Rao,2020,10.0000/example.astro.005,"This teaching survey summarizes artificial intelligence tasks in astronomical spectroscopy, including classification and regression.",120,Example Review of Astronomy,mock-W006,https://example.org/papers/mock-W006,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.075,1.0,0.4,1.0,0.51
Astronomical Spectra Clustering with Simple Baselines,Grace Wilson,2016,10.0000/example.astro.012,This sample compares simple clustering baselines for astronomical spectra.,22,Example Astronomy Education,mock-W016,https://example.org/papers/mock-W016,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.5,0.6538,0.0,1.0,0.4961
Missing Source Example for Astronomical Spectra,Victor Green,2022,10.0000/example.astro.014,This sample intentionally lacks a source name for missing field statistics.,5,,mock-W018,https://example.org/papers/mock-W018,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.35,0.3736,0.6,0.8333,0.4554
Missing Abstract Example for Spectral Learning,Iris Zhao,2023,10.0000/example.astro.013,,12,Example Incomplete Records,mock-W017,https://example.org/papers/mock-W017,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.175,0.5348,0.7,0.8333,0.4538
Catalog Matching for Spectroscopic Survey Metadata,Amir Khan,2017,10.0000/example.astro.008,A supporting topic about metadata handling for astronomical spectra and survey catalogs.,74,Example Survey Systems,mock-W011,https://example.org/papers/mock-W011,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.15,0.9003,0.1,1.0,0.4501
Lightweight Ranking Rules for Literature Screening,Hannah Lee; Marco Rossi,2024,10.0000/example.method.001,This sample discusses transparent ranking rules for literature screening and does not claim academic value.,9,Example Research Tooling,mock-W012,https://example.org/papers/mock-W012,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.0,0.4801,0.8,1.0,0.404
A Baseline Pipeline for Literature Metadata Cleaning,Nora White; Ethan Hall,2024,10.0000/example.method.002,This teaching sample describes a baseline metadata cleaning pipeline for literature records.,3,Example Research Software Notes,mock-W020,https://example.org/papers/mock-W020,machine learning astronomical spectra,2026-07-18T08:50:48+00:00,0.0,0.2891,0.8,1.0,0.3467
