pair_id,research_query_id,method_id,score,rank
w4_rq01_019,rq01_stellar_classification,bm25_v1,7.791553727793713,1
w4_rq01_015,rq01_stellar_classification,bm25_v1,7.270293659521293,2
w4_rq01_016,rq01_stellar_classification,bm25_v1,7.174886164979903,3
w4_rq01_002,rq01_stellar_classification,bm25_v1,6.94591295354918,4
w4_rq01_011,rq01_stellar_classification,bm25_v1,5.598806939298289,5
w4_rq01_010,rq01_stellar_classification,bm25_v1,5.3714006045909,6
w4_rq01_001,rq01_stellar_classification,bm25_v1,5.099682906648135,7
w4_rq01_008,rq01_stellar_classification,bm25_v1,5.084194523491766,8
w4_rq01_014,rq01_stellar_classification,bm25_v1,5.015765371152426,9
w4_rq01_017,rq01_stellar_classification,bm25_v1,4.616977736015048,10
w4_rq01_009,rq01_stellar_classification,bm25_v1,3.7589693594620113,11
w4_rq01_012,rq01_stellar_classification,bm25_v1,3.2260122211124997,12
w4_rq01_006,rq01_stellar_classification,bm25_v1,2.9532682834105755,13
w4_rq01_013,rq01_stellar_classification,bm25_v1,2.899348691000518,14
w4_rq01_018,rq01_stellar_classification,bm25_v1,2.361372552824773,15
w4_rq01_004,rq01_stellar_classification,bm25_v1,2.270780756704117,16
w4_rq01_007,rq01_stellar_classification,bm25_v1,1.0106018210822243,17
w4_rq01_020,rq01_stellar_classification,bm25_v1,0.9324708609724464,18
w4_rq01_003,rq01_stellar_classification,bm25_v1,0.7679492163768725,19
w4_rq01_005,rq01_stellar_classification,bm25_v1,0.7427698658360474,20
w4_rq02_003,rq02_stellar_parameters,bm25_v1,15.978121047043063,1
w4_rq02_018,rq02_stellar_parameters,bm25_v1,10.650647362411519,2
w4_rq02_008,rq02_stellar_parameters,bm25_v1,10.388594666622687,3
w4_rq02_006,rq02_stellar_parameters,bm25_v1,7.055523901025504,4
w4_rq02_020,rq02_stellar_parameters,bm25_v1,4.83607279724825,5
w4_rq02_015,rq02_stellar_parameters,bm25_v1,4.582566237200636,6
w4_rq02_017,rq02_stellar_parameters,bm25_v1,4.557724840714037,7
w4_rq02_002,rq02_stellar_parameters,bm25_v1,4.35767227072,8
w4_rq02_011,rq02_stellar_parameters,bm25_v1,4.35767227072,9
w4_rq02_005,rq02_stellar_parameters,bm25_v1,4.2380080108126545,10
w4_rq02_012,rq02_stellar_parameters,bm25_v1,3.552776474960061,11
w4_rq02_016,rq02_stellar_parameters,bm25_v1,3.4109040375391366,12
w4_rq02_013,rq02_stellar_parameters,bm25_v1,3.1620553553255766,13
w4_rq02_014,rq02_stellar_parameters,bm25_v1,3.146944145681819,14
w4_rq02_004,rq02_stellar_parameters,bm25_v1,2.4975637252894543,15
w4_rq02_009,rq02_stellar_parameters,bm25_v1,2.137134439691157,16
w4_rq02_010,rq02_stellar_parameters,bm25_v1,1.9344846615734925,17
w4_rq02_001,rq02_stellar_parameters,bm25_v1,0.8726416977370481,18
w4_rq02_007,rq02_stellar_parameters,bm25_v1,0.8288713058851909,19
w4_rq02_019,rq02_stellar_parameters,bm25_v1,0.0,20
w4_rq03_014,rq03_spectral_preprocessing,bm25_v1,16.325673912054697,1
w4_rq03_018,rq03_spectral_preprocessing,bm25_v1,11.937069653467292,2
w4_rq03_003,rq03_spectral_preprocessing,bm25_v1,7.572990275696249,3
w4_rq03_004,rq03_spectral_preprocessing,bm25_v1,6.496448190439904,4
w4_rq03_011,rq03_spectral_preprocessing,bm25_v1,6.496448190439904,5
w4_rq03_013,rq03_spectral_preprocessing,bm25_v1,4.704963716041716,6
w4_rq03_009,rq03_spectral_preprocessing,bm25_v1,3.528822966837224,7
w4_rq03_012,rq03_spectral_preprocessing,bm25_v1,3.32147928781866,8
w4_rq03_020,rq03_spectral_preprocessing,bm25_v1,2.9532682834105755,9
w4_rq03_005,rq03_spectral_preprocessing,bm25_v1,2.835933406010021,10
w4_rq03_002,rq03_spectral_preprocessing,bm25_v1,2.246519591367888,11
w4_rq03_016,rq03_spectral_preprocessing,bm25_v1,1.4448189761866481,12
w4_rq03_019,rq03_spectral_preprocessing,bm25_v1,1.4362964788367203,13
w4_rq03_010,rq03_spectral_preprocessing,bm25_v1,1.3324917386964763,14
w4_rq03_017,rq03_spectral_preprocessing,bm25_v1,1.3123504921876508,15
w4_rq03_007,rq03_spectral_preprocessing,bm25_v1,0.9537191405967558,16
w4_rq03_001,rq03_spectral_preprocessing,bm25_v1,0.7692299665282621,17
w4_rq03_006,rq03_spectral_preprocessing,bm25_v1,0.5113207231482104,18
w4_rq03_008,rq03_spectral_preprocessing,bm25_v1,0.0,19
w4_rq03_015,rq03_spectral_preprocessing,bm25_v1,0.0,20
