pair_id,research_query_id,human_final_label,human_labels,human_judgement_status,ai_blind_label,ai_confidence,comparison_status,disagreement_type,high_confidence_disagreement,low_confidence,rq3_boundary_flags,review_required,recommended_review_priority
w4_rq01_001,rq01_stellar_classification,0,liuzican:0,ready,0,high,match,,false,false,,false,
w4_rq01_002,rq01_stellar_classification,0,wuziheng:0,ready,0,high,match,,false,false,,false,
w4_rq01_003,rq01_stellar_classification,0,jiafucheng:0,ready,0,high,match,,false,false,,false,
w4_rq01_004,rq01_stellar_classification,2,chenxingyu:2|huangbin:2,ready,2,high,match,,false,false,,false,
w4_rq01_005,rq01_stellar_classification,0,huangbin:0,ready,0,high,match,,false,false,,false,
w4_rq01_006,rq01_stellar_classification,0,puzhengjie:0,ready,0,high,match,,false,false,,false,
w4_rq01_007,rq01_stellar_classification,0,liuzican:0|jiafucheng:0,ready,0,high,match,,false,false,,false,
w4_rq01_008,rq01_stellar_classification,2,wuziheng:2|puzhengjie:2,ready,2,high,match,,false,false,,false,
w4_rq01_009,rq01_stellar_classification,0,jiafucheng:0,ready,0,high,match,,false,false,,false,
w4_rq01_010,rq01_stellar_classification,0,chenxingyu:0|liuzican:0,ready,0,high,match,,false,false,,false,
w4_rq01_011,rq01_stellar_classification,2,huangbin:2|wuziheng:2,ready,2,high,match,,false,false,,false,
w4_rq01_012,rq01_stellar_classification,0,puzhengjie:0,ready,0,high,match,,false,false,,false,
w4_rq01_013,rq01_stellar_classification,0,liuzican:0|wuziheng:0,ready,0,high,match,,false,false,,false,
w4_rq01_014,rq01_stellar_classification,0,wuziheng:0|chenxingyu:0,ready,0,high,match,,false,false,,false,
w4_rq01_015,rq01_stellar_classification,0,jiafucheng:0|chenxingyu:0,ready,0,high,match,,false,false,,false,
w4_rq01_016,rq01_stellar_classification,0,chenxingyu:0,ready,0,medium,match,,false,false,,false,
w4_rq01_017,rq01_stellar_classification,2,huangbin:2|jiafucheng:2,ready,2,high,match,,false,false,,false,
w4_rq01_018,rq01_stellar_classification,0,puzhengjie:0,ready,0,high,match,,false,false,,false,
w4_rq01_019,rq01_stellar_classification,0,liuzican:0,ready,0,high,match,,false,false,,false,
w4_rq01_020,rq01_stellar_classification,0,wuziheng:0|liuzican:0,ready,0,high,match,,false,false,,false,
w4_rq02_001,rq02_stellar_parameters,0,jiafucheng:0,ready,0,high,match,,false,false,,false,
w4_rq02_002,rq02_stellar_parameters,0,chenxingyu:0|puzhengjie:0,ready,0,high,match,,false,false,,false,
w4_rq02_003,rq02_stellar_parameters,1,huangbin:1,ready,1,medium,match,,false,false,,false,
w4_rq02_004,rq02_stellar_parameters,2,puzhengjie:2|liuzican:2,ready,2,high,match,,false,false,,false,
w4_rq02_005,rq02_stellar_parameters,0,liuzican:0,ready,0,high,match,,false,false,,false,
w4_rq02_006,rq02_stellar_parameters,2,wuziheng:2,ready,2,high,match,,false,false,,false,
w4_rq02_007,rq02_stellar_parameters,0,jiafucheng:0|wuziheng:0,ready,0,high,match,,false,false,,false,
w4_rq02_008,rq02_stellar_parameters,2,chenxingyu:2|puzhengjie:2,ready,2,high,match,,false,false,,false,
w4_rq02_009,rq02_stellar_parameters,1,huangbin:1,ready,1,medium,match,,false,false,,false,
w4_rq02_010,rq02_stellar_parameters,0,puzhengjie:0|huangbin:0,ready,0,high,match,,false,false,,false,
w4_rq02_011,rq02_stellar_parameters,0,liuzican:0,ready,0,high,match,,false,false,,false,
w4_rq02_012,rq02_stellar_parameters,2,wuziheng:2|chenxingyu:2,ready,2,high,match,,false,false,,false,
w4_rq02_013,rq02_stellar_parameters,1,jiafucheng:1,ready,0,high,disagreement,single_annotation_vs_ai,true,false,,true,high
w4_rq02_014,rq02_stellar_parameters,0,chenxingyu:0,ready,0,high,match,,false,false,,false,
w4_rq02_015,rq02_stellar_parameters,0,huangbin:0|liuzican:0,ready,0,high,match,,false,false,,false,
w4_rq02_016,rq02_stellar_parameters,1,puzhengjie:1|jiafucheng:1,ready,1,high,match,,false,false,,false,
w4_rq02_017,rq02_stellar_parameters,2,liuzican:2,ready,2,high,match,,false,false,,false,
w4_rq02_018,rq02_stellar_parameters,2,wuziheng:2|huangbin:2,ready,2,high,match,,false,false,,false,
w4_rq02_019,rq02_stellar_parameters,0,jiafucheng:0|wuziheng:0,ready,0,high,match,,false,false,,false,
w4_rq02_020,rq02_stellar_parameters,0,chenxingyu:0,ready,0,high,match,,false,false,,false,
w4_rq03_001,rq03_spectral_preprocessing,0,huangbin:0|liuzican:0,ready,0,high,match,,false,false,wrong_modality,false,
w4_rq03_002,rq03_spectral_preprocessing,0,puzhengjie:0,ready,0,high,match,,false,false,wrong_domain,false,
w4_rq03_003,rq03_spectral_preprocessing,0,liuzican:0,ready,0,high,match,,false,false,wrong_domain,false,
w4_rq03_004,rq03_spectral_preprocessing,0,wuziheng:0,ready,0,high,match,,false,false,wrong_object|feature_learning,false,
w4_rq03_005,rq03_spectral_preprocessing,1,jiafucheng:1|puzhengjie:1,ready,0,high,disagreement,double_human_agreement_vs_ai,true,false,feature_learning|downstream_task,true,high
w4_rq03_006,rq03_spectral_preprocessing,,chenxingyu:0|jiafucheng:1,pending_human_review,0,high,pending_human_final,pending_human_adjudication_ai_matches_one_label,false,false,wrong_modality,true,high
w4_rq03_007,rq03_spectral_preprocessing,0,huangbin:0,ready,1,medium,disagreement,single_annotation_vs_ai,false,false,derived_rv_correction|preprocessing_boundary,true,medium
w4_rq03_008,rq03_spectral_preprocessing,0,puzhengjie:0|huangbin:0,ready,0,high,match,,false,false,wrong_object|wrong_modality,false,
w4_rq03_009,rq03_spectral_preprocessing,,liuzican:0|jiafucheng:1,pending_human_review,0,high,pending_human_final,pending_human_adjudication_ai_matches_one_label,false,false,synthetic_generation,true,high
w4_rq03_010,rq03_spectral_preprocessing,0,wuziheng:0|puzhengjie:0,ready,0,high,match,,false,false,broad_review,false,
w4_rq03_011,rq03_spectral_preprocessing,,jiafucheng:1|chenxingyu:0,pending_human_review,0,high,pending_human_final,pending_human_adjudication_ai_matches_one_label,false,false,wrong_object|feature_learning,true,high
w4_rq03_012,rq03_spectral_preprocessing,0,chenxingyu:0|huangbin:0,ready,0,high,match,,false,false,downstream_task,false,
