pair_id,research_query_id,research_question_zh,research_question_en,openalex_id,title,abstract,landing_page_url,publication_year,doi,annotator,label,confidence,evidence_level,reason,source_checked,evidence_url,ai_assistance
w4_rq01_002,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2778437674,Machine learning technique for morphological classification of galaxies from the SDSS,"Context. Machine learning methods are effective tools in astronomical tasks for classifying objects by their individual features. One of the promising utilities is related to the morphological classification of galaxies at different redshifts. Aims. We use the photometry-based approach for the SDSS data (1) to exploit five supervised machine learning techniques and define the most effective among them for the automated galaxy morphological classification; (2) to test the influence of photometry data on morphology classification; (3) to discuss problem points of supervised machine learning and labeling bias; and (4) to apply the best fitting machine learning methods for revealing the unknown morphological types of galaxies from the SDSS DR9 at z &lt; 0.1. Methods. We used different galaxy classification techniques: human labeling, multi-photometry diagrams, naive Bayes, logistic regression, support-vector machine, random forest, k -nearest neighbors. Results. We present the results of a binary automated morphological classification of galaxies conducted by human labeling, multi-photometry, and five supervised machine learning methods. We applied it to the sample of galaxies from the SDSS DR9 with redshifts of 0.02 &lt; z &lt; 0.1 and absolute stellar magnitudes of −24 m &lt; M r &lt; −19.4 m . For the analysis we used absolute magnitudes M u , M g , M r , M i , M z ; color indices M u − M r , M g − M i , M u − M g , M r − M z ; and the inverse concentration index to the center R 50/ R 90. We determined the ability of each method to predict the morphological type, and verified various dependencies of the method’s accuracy on redshifts, human labeling, morphological shape, and overlap of different morphological types for galaxies with the same color indices. We find that the morphology based on the supervised machine learning methods trained over photometric parameters demonstrates significantly less bias than the morphology based on citizen-science classifiers. Conclusions. The support-vector machine and random forest methods with Scikit-learn software machine learning library in Python provide the highest accuracy for the binary galaxy morphological classification. Specifically, the success rate is 96.4% for support-vector machine (96.1% early E and 96.9% late L types) and 95.5% for random forest (96.7% early E and 92.8% late L types). Applying the support-vector machine for the sample of 316 031 galaxies from the SDSS DR9 at z &lt; 0.1 with unknown morphological types, we found 139 659 E and 176 372 L types among them.",https://doi.org/10.1051/0004-6361/202038981,2021,10.1051/0004-6361/202038981,wuziheng,0,high,A,研究对象是 SDSS 星系，输入为测光参数，任务是星系形态分类，不是恒星光谱分类。,title_abstract,,label_suggestion
w4_rq01_008,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2921395996,Stellar spectral classification and feature evaluation based on a random forest,"Abstract With the availability of multi-object spectrometers and the design and operation of some large scale sky surveys, the issue of how to deal with enormous quantities of spectral data efficiently and accurately is becoming more and more important. This work investigates the classification problem of stellar spectra under the assumption that there is no perfect absolute flux calibration, for example, when considering spectra from the Guo Shou Jing Telescope (the Large Sky Area Multi-Object Fiber Spectroscopic Telescope, LAMOST). The proposed scheme consists of the following two procedures: Firstly, a spectrum is normalized based on a 17th order polynomial fitting; secondly, a random forest (RF) is utilized to classify the stellar spectra. Experiments on four stellar spectral libraries show that the RF has good classification performance. This work also studied the spectral feature evaluation problem based on RF. The evaluation is helpful in understanding the results of the proposed stellar classification scheme and exploring its potential improvements in the future.",https://doi.org/10.1088/1674-4527/19/8/111,2019,10.1088/1674-4527/19/8/111,wuziheng,2,high,A,以多套恒星光谱库为输入，随机森林是核心分类方法并用于恒星光谱分类。,title_abstract,,label_suggestion
w4_rq01_011,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2777402735,Carbon Stars Identified from LAMOST DR4 Using Machine Learning,"Abstract In this work, we present a catalog of 2651 carbon stars from the fourth Data Release (DR4) of the Large Sky Area Multi-Object Fiber Spectroscopy Telescope (LAMOST). Using an efficient machine-learning algorithm, we find these stars from more than 7 million spectra. As a by-product, 17 carbon-enhanced metal-poor turnoff star candidates are also reported in this paper, and they are preliminarily identified by their atmospheric parameters. Except for 176 stars that could not be given spectral types, we classify the other 2475 carbon stars into five subtypes: 864 C-H, 226 C-R, 400 C-J, 266 C-N, and 719 barium stars based on a series of spectral features. Furthermore, we divide the C-J stars into three subtypes, C-J(H), C-J(R), and C-J(N), and about 90% of them are cool N-type stars as expected from previous literature. Besides spectroscopic classification, we also match these carbon stars to multiple broadband photometries. Using ultraviolet photometry data, we find that 25 carbon stars have FUV detections and that they are likely to be in binary systems with compact white dwarf companions.",https://doi.org/10.3847/1538-4365/aaa415,2018,10.3847/1538-4365/aaa415,wuziheng,2,high,A,从 LAMOST 光谱用机器学习识别碳星并划分光谱亚型，直接对应恒星类型识别。,title_abstract,,label_suggestion
w4_rq01_013,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2127375519,A MACHINE-LEARNING METHOD TO INFER FUNDAMENTAL STELLAR PARAMETERS FROM PHOTOMETRIC LIGHT CURVES,"A fundamental challenge for wide-field imaging surveys is obtaining follow-up spectroscopic observations: there are >10 9 photometrically cataloged sources, yet modern spectroscopic surveys are limited to ∼few × 10 6 targets. As we approach the Large Synoptic Survey Telescope era, new algorithmic solutions are required to cope with the data deluge. Here we report the development of a machine-learning framework capable of inferring fundamental stellar parameters ( T eff , log g , and [Fe/H]) using photometric-brightness variations and color alone. A training set is constructed from a systematic spectroscopic survey of variables with Hectospec/Multi-Mirror Telescope. In sum, the training set includes ∼9000 spectra, for which stellar parameters are measured using the SEGUE Stellar Parameters Pipeline (SSPP). We employed the random forest algorithm to perform a non-parametric regression that predicts T eff , log g , and [Fe/H] from photometric time-domain observations. Our final optimized model produces a cross-validated rms error (RMSE) of 165 K, 0.39 dex, and 0.33 dex for T eff , log g , and [Fe/H], respectively. Examining the subset of sources for which the SSPP measurements are most reliable, the RMSE reduces to 125 K, 0.37 dex, and 0.27 dex, respectively, comparable to what is achievable via low-resolution spectroscopy. For variable stars this represents a ≈12%–20% improvement in RMSE relative to models trained with single-epoch photometric colors. As an application of our method, we estimate stellar parameters for ∼54,000 known variables. We argue that this method may convert photometric time-domain surveys into pseudo-spectrographic engines, enabling the construction of extremely detailed maps of the Milky Way, its structure, and history.",https://doi.org/10.1088/0004-637x/798/2/122,2015,10.1088/0004-637x/798/2/122,wuziheng,0,high,A,用测光光变曲线和颜色回归恒星参数，既不以光谱为输入，也不做恒星类型分类。,title_abstract,,label_suggestion
w4_rq01_014,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W3155899199,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,"The rapid development of information and wireless communication technologies together with the large increase in the number of end-users have made the radio spectrum more crowded than ever. Besides, providing a stable and reliable service is challenging, as electromagnetic environments are evolving and becoming more sophisticated. Accordingly, there is an urgent need for more reliable and intelligent communication systems that can improve the spectrum efficiency and the quality of service to provide agile management of network resources, so as to better meet the needs of future wireless users. Specifically, Automatic Modulation Recognition (AMR) plays an essential role in most intelligent communication systems especially with the emergence of Software Defined Radio (SDR). AMR is an indispensable task while performing spectrum sensing in Cognitive Radio (CR). Thanks to the significant advancements in Deep Learning (DL) applications, new and powerful tools have been provided which can tackle problems in this space. Thus, today, integrating DL models into AMR has gained the attention of many researchers. This work aims to provide a comprehensive state-of-the-art review of the most recent Machine Learning (ML) based AMR methods for Single-Input Single-Output (SISO) and Multiple-Input Multiple-Output (MIMO) systems. Furthermore, the architecture of each model will be identified along with a detailed comparison in terms of specifications and performance. Finally, an outline of the open problems, challenges, and potential research directions is provided along with discussion and conclusion.",https://doi.org/10.1109/access.2021.3071801,2021,10.1109/access.2021.3071801,wuziheng,0,high,A,研究无线通信调制识别，其中 spectrum 是射频频谱，与恒星光谱无关。,title_abstract,,label_suggestion
w4_rq01_020,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2611629499,X-rays across the galaxy population – II. The distribution of AGN accretion rates as a function of stellar mass and redshift,"We use deep Chandra X-ray imaging to measure the distribution of specific black hole accretion rates (LX relative to the stellar mass of the galaxy) and thus trace active galactic nucleus (AGN) activity within star-forming and quiescent galaxies, as a function of stellar mass (from 108.5 to 1011.5 M⊙) and redshift (to z ∼ 4). We adopt near-infrared-selected samples of galaxies from the CANDELS and UltraVISTA surveys, extract X-ray data for every galaxy, and use a flexible Bayesian method to combine these data and to measure the probability distribution function of specific black hole accretion rates, λsBHAR. We identify a broad distribution of λsBHAR in both star-forming and quiescent galaxies – likely reflecting the stochastic nature of AGN fuelling – with a roughly power-law shape that rises towards lower λsBHAR, a steep cut-off at λsBHAR ≳ 0.1–1 (in Eddington equivalent units), and a turnover or flattening at |$\lambda _\mathrm{sBHAR} \lesssim 10^{-3}\hbox{ {to} }10^{-2}$|⁠. We find that the probability of a star-forming galaxy hosting a moderate λsBHAR AGN depends on stellar mass and evolves with redshift, shifting towards higher λsBHAR at higher redshifts. This evolution is truncated at a point corresponding to the Eddington limit, indicating black holes may self-regulate their growth at high redshifts when copious gas is available. The probability of a quiescent galaxy hosting an AGN is generally lower than that of a star-forming galaxy, shows signs of suppression at the highest stellar masses and evolves strongly with redshift. The AGN duty cycle in high-redshift (z ≳ 2) quiescent galaxies thus reaches ∼20 per cent, comparable to the duty cycle in star-forming galaxies of equivalent stellar mass and redshift.",https://doi.org/10.1093/mnras/stx2700,2017,10.1093/mnras/stx2700,wuziheng,0,high,A,研究星系中的 AGN X 射线吸积率分布，不进行恒星光谱分类或恒星类型识别。,title_abstract,,label_suggestion
w4_rq02_006,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2043055070,A PCA approach to stellar effective temperatures,"Context. The derivation of the effective temperature of a star is a critical first step in a detailed spectroscopic analysis. Spectroscopic methods suffer from systematic errors related to model simplifications. Photometric methods may be more robust, but are exposed to the distortions caused by interstellar reddening. Direct methods are difficult to apply, since fundamental data of high accuracy are hard to obtain.",https://doi.org/10.1051/0004-6361/201220961,2013,10.1051/0004-6361/201220961,wuziheng,2,high,B,出版社摘要说明对恒星光谱库做 PCA，并由主成分标定有效温度，直接从光谱估计恒星参数。,title_abstract;publisher,https://www.aanda.org/articles/aa/abs/2013/05/aa20961-12/aa20961-12.html,label_suggestion
w4_rq02_007,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2797439311,Binary Companions of Evolved Stars in APOGEE DR14: Search Method and Catalog of ∼5000 Companions,"Abstract Multi-epoch radial velocity measurements of stars can be used to identify stellar, substellar, and planetary-mass companions. Even a small number of observation epochs can be informative about companions, though there can be multiple qualitatively different orbital solutions that fit the data. We have custom-built a Monte Carlo sampler ( The Joker ) that delivers reliable (and often highly multimodal) posterior samplings for companion orbital parameters given sparse radial velocity data. Here we use The Joker to perform a search for companions to 96,231 red giant stars observed in the APOGEE survey (DR14) with ≥3 spectroscopic epochs. We select stars with probable companions by making a cut on our posterior belief about the amplitude of the variation in stellar radial velocity induced by the orbit. We provide (1) a catalog of 320 companions for which the stellar companion’s properties can be confidently determined, (2) a catalog of 4898 stars that likely have companions, but would require more observations to uniquely determine the orbital properties, and (3) posterior samplings for the full orbital parameters for all stars in the parent sample. We show the characteristics of systems with confidently determined companion properties and highlight interesting systems with candidate compact object companions.",https://doi.org/10.3847/1538-3881/aac387,2018,10.3847/1538-3881/aac387,wuziheng,0,high,A,利用 APOGEE 多历元径向速度寻找伴星并拟合轨道参数，不从光谱估计恒星大气参数。,title_abstract,,label_suggestion
w4_rq02_012,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2969434441,Deriving the Stellar Labels of LAMOST Spectra with the Stellar LAbel Machine (SLAM),"Abstract The LAMOST survey has provided 9 million spectra in its Data Release 5 (DR5) at R ∼ 1800. Extracting precise stellar labels is crucial for such a large sample. In this paper, we report the implementation of the Stellar LAbel Machine (SLAM), which is a data-driven method based on support vector regression (SVR), a robust nonlinear regression technique. Thanks to the capability to model highly nonlinear problems with SVR, SLAM can generally derive stellar labels over a wide range of spectral types. This gives it a unique capability compared to other popular data-driven methods. To illustrate this capability, we test the performance of SLAM on stars ranging from T eff ∼ 4000 to ∼8000 K trained on LAMOST spectra and stellar labels. At g -band signal-to-noise ratio (S/N g ) higher than 100, the random uncertainties of T eff , log g , and [Fe/H] are 50 K, 0.09 dex, and 0.07 dex, respectively. We then set up another SLAM model trained by APOGEE and LAMOST common stars to demonstrate its capability of dealing with high dimensional problems. The spectra are from LAMOST DR5 and the stellar labels of the training set are from APOGEE DR15, including T eff , log g , [M/H], [ α /M], [C/M], and [N/M]. The cross-validated scatters at are 49 K, 0.10 dex, 0.037 dex, 0.026 dex, 0.058 dex, and 0.106 dex for these parameters, respectively. This performance is at the same level as other up-to-date data-driven models. As a byproduct, we also provide the latest catalog of ∼1 million LAMOST DR5 K giant stars with SLAM-predicted stellar labels in this work.",https://doi.org/10.3847/1538-4365/ab55ef,2020,10.3847/1538-4365/ab55ef,wuziheng,2,high,A,SLAM 以 LAMOST 光谱为输入，用支持向量回归预测 Teff、log g、金属丰度和元素标签。,title_abstract,,label_suggestion
w4_rq02_018,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2531334071,The RAVE-on Catalog of Stellar Atmospheric Parameters and Chemical Abundances for Chemo-dynamic Studies in the Gaia Era,"Abstract The orbits, atmospheric parameters, chemical abundances, and ages of individual stars in the Milky Way provide the most comprehensive illustration of galaxy formation available. The Tycho- Gaia Astrometric Solution (TGAS) will deliver astrometric parameters for the largest ever sample of Milky Way stars, though its full potential cannot be realized without the addition of complementary spectroscopy. Among existing spectroscopic surveys, the RAdial Velocity Experiment (RAVE) has the largest overlap with TGAS (≳200,000 stars). We present a data-driven re-analysis of 520,781 RAVE spectra using The Cannon . For red giants, we build our model using high-fidelity APOGEE stellar parameters and abundances for stars that overlap with RAVE. For main sequence and sub-giant stars, our model uses stellar parameters from the K2/EPIC . We derive and validate effective temperature T eff , surface gravity log g , and chemical abundances of up to seven elements (O, Mg, Al, Si, Ca, Fe, and Ni). We report a total of 1,685,851 elemental abundances with a typical precision of 0.07 dex, a substantial improvement over previous RAVE data releases. The synthesis of RAVE-on and TGAS is the most powerful data set for chemo-dynamic analyses of the Milky Way ever produced.",https://doi.org/10.3847/1538-4357/aa69c2,2017,10.3847/1538-4357/aa69c2,wuziheng,2,high,A,The Cannon 对 RAVE 光谱进行数据驱动重分析，推断 Teff、log g 和多种化学丰度。,title_abstract,,label_suggestion
