pair_id,research_query_id,research_question_zh,research_question_en,openalex_id,title,abstract,landing_page_url,publication_year,doi,annotator,label,confidence,evidence_level,reason,source_checked,evidence_url,ai_assistance
w4_rq01_003,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W3113695400,Stellar chromospheric activity of 1674 FGK stars from the AMBRE-HARPS sample,"Aims. The main objective of this project is to characterise chromospheric activity of FGK stars from the HARPS archive. We start, in this first paper, by presenting a catalogue of homogeneously determined chromospheric emission (CE), stellar atmospheric parameters, and ages for 1674 FGK main sequence (MS), subgiant, and giant stars. The analysis of CE level and variability is also performed. Methods. We measured CE in the Ca II H&amp;K lines using more than 180 000 high-resolution spectra from the HARPS spectrograph, as compiled in the AMBRE project, obtained between 2003 and 2019. We converted the fluxes to bolometric and photospheric corrected chromospheric emission ratio, R HK ′ . Stellar atmospheric parameters T eff , log g , and [Fe/H] were retrieved from the literature or determined using a homogeneous method. M ⋆ , R ⋆ , and ages were determined from isochrone fitting. Results. We show that our sample has a distribution of CE for MS stars that is consistent with an unbiased sample of solar-neighbour MS stars. We analysed the CE distribution for the different luminosity classes and spectral types and confirmed the existence of the very inactive (VI) star and very active star populations at log R HK ′ &lt; −5.1 and &gt; − 4.2 dex, respectively. We found indications that the VI population is composed mainly of subgiant and giant stars and that log R HK ′ = −5.1 dex marks a transition in stellar evolution. Overall, CE variability decreases with decreasing CE level but its distribution is complex. There appears to be at least three regimes of variability for inactive, active, and very active stars, with the inactive and active regimes separated by a diagonal, extended Vaughan-Preston (VP) gap. We show that stars with low activity levels do not necessarily have low variability. In the case of K dwarfs, which show high CE variability, inactive and active stars have similar levels of activity variability. This means that activity levels alone are not enough to infer the activity variability of a star. We also explain the shape of the VP gap observed in the distribution of CE using the CE variability-level diagram. In the CE variability-level diagram, the Sun is located in the high-variability region of the inactive MS stars zone. A method to extract the probability density function of the CE variability for a given log R HK ′ level is discussed, and a python code to retrieve it is provided.",https://doi.org/10.1051/0004-6361/202039765,2020,10.1051/0004-6361/202039765,jiafucheng,0,high,A,核心是色球活动表征与星表发布，未用机器学习做恒星光谱分类,title_abstract,,label_suggestion
w4_rq01_007,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W1663830336,<i>THE CANNON</i>: A DATA-DRIVEN APPROACH TO STELLAR LABEL DETERMINATION,"New spectroscopic surveys offer the promise of stellar parameters and abundances (""stellar labels"") for hundreds of thousands of stars; this poses a formidable spectral modeling challenge. In many cases, there is a subset of reference objects for which the stellar labels are known with high(er) fidelity. We take advantage of this with The Cannon , a new data-driven approach for determining stellar labels from spectroscopic data. The Cannon learns from the ""known"" labels of reference stars how the continuum-normalized spectra depend on these labels by fitting a flexible model at each wavelength; then, The Cannon uses this model to derive labels for the remaining survey stars. We illustrate The Cannon by training the model on only 542 stars in 19 clusters as reference objects, with , , and as the labels, and then applying it to the spectra of 55,000 stars from APOGEE DR10. The Cannon is very accurate. Its stellar labels compare well to the stars for which APOGEE pipeline ( ASPCAP ) labels are provided in DR10, with rms differences that are basically identical to the stated ASPCAP uncertainties. Beyond the reference labels, The Cannon makes no use of stellar models nor any line-list, but needs a set of reference objects that span label-space. The Cannon performs well at lower signal-to-noise, as it delivers comparably good labels even at one-ninth the APOGEE observing time. We discuss the limitations of The Cannon and its future potential, particularly, to bring different spectroscopic surveys onto a consistent scale of stellar labels.",https://doi.org/10.1088/0004-637x/808/1/16,2015,10.1088/0004-637x/808/1/16,jiafucheng,0,high,A,数据驱动确定恒星标签(参数/丰度)，非光谱型分类,title_abstract,,label_suggestion
w4_rq01_009,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W3043645409,The miniJPAS survey: star-galaxy classification using machine learning,"Context. Future astrophysical surveys such as J-PAS will produce very large datasets, the so-called “big data”, which will require the deployment of accurate and efficient machine-learning (ML) methods. In this work, we analyze the miniJPAS survey, which observed about ∼1 deg 2 of the AEGIS field with 56 narrow-band filters and 4 u g r i broad-band filters. The miniJPAS primary catalog contains approximately 64 000 objects in the r detection band (mag A B ≲ 24), with forced-photometry in all other filters. Aims. We discuss the classification of miniJPAS sources into extended (galaxies) and point-like (e.g., stars) objects, which is a step required for the subsequent scientific analyses. We aim at developing an ML classifier that is complementary to traditional tools that are based on explicit modeling. In particular, our goal is to release a value-added catalog with our best classification. Methods. In order to train and test our classifiers, we cross-matched the miniJPAS dataset with SDSS and HSC-SSP data, whose classification is trustworthy within the intervals 15 ≤ r ≤ 20 and 18.5 ≤ r ≤ 23.5, respectively. We trained and tested six different ML algorithms on the two cross-matched catalogs: K-nearest neighbors, decision trees, random forest (RF), artificial neural networks, extremely randomized trees (ERT), and an ensemble classifier. This last is a hybrid algorithm that combines artificial neural networks and RF with the J-PAS stellar and galactic loci classifier. As input for the ML algorithms we used the magnitudes from the 60 filters together with their errors, with and without the morphological parameters. We also used the mean point spread function in the r detection band for each pointing. Results. We find that the RF and ERT algorithms perform best in all scenarios. When the full magnitude range of 15 ≤ r ≤ 23.5 is analyzed, we find an area under the curve AUC = 0.957 with RF when photometric information alone is used, and AUC = 0.986 with ERT when photometric and morphological information is used together. When morphological parameters are used, the full width at half maximum is the most important feature. When photometric information is used alone, we observe that broad bands are not necessarily more important than narrow bands, and errors (the width of the distribution) are as important as the measurements (central value of the distribution). In other words, it is apparently important to fully characterize the measurement. Conclusions. ML algorithms can compete with traditional star and galaxy classifiers; they outperform the latter at fainter magnitudes ( r ≳ 21). We use our best classifiers, with and without morphology, in order to produce a value-added catalog.",https://doi.org/10.1051/0004-6361/202038986,2020,10.1051/0004-6361/202038986,jiafucheng,0,high,A,星-星系二分类且基于测光，非恒星光谱型分类,title_abstract,,translation
w4_rq01_015,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2899864468,Machine Learning Applied to Star–Galaxy–QSO Classification and Stellar Effective Temperature Regression,"Abstract In modern astrophysics, machine learning has increasingly gained popularity with its incredibly powerful ability to make predictions or calculated suggestions for large amounts of data. We describe an application of the supervised machine-learning algorithm, random forests (RF), to the star/galaxy/QSO classification and the stellar effective temperature regression based on the combination of Large Sky Area Multi-Object Fiber Spectroscopic Telescope and Sloan Digital Sky Survey spectroscopic data. This combination enables us to obtain reliable predictions with one of the largest training samples ever used. The training samples are built with a nine-color data set of about three million objects for the classification and a seven-color data set of over one million stars for the regression. The performance of the classification and regression is examined with validation and blind tests on the objects in the RAdial Velocity Extension, 6dFGS, UV-bright Quasar Survey and Apache Point Observatory Galactic Evolution Experiment surveys. We demonstrate that RF is an effective algorithm, with classification accuracies higher than 99% for stars and galaxies, and higher than 94% for QSOs. These accuracies are higher than machine-learning results in former studies. The total standard deviations of the regression are smaller than 200 K, which is similar to those of some spectrum-based methods. The machine-learning algorithm with the broad-band photometry provides us with a more efficient approach for dealing with massive amounts of astrophysical data than do traditional color cuts and spectral energy distribution fits.",https://doi.org/10.3847/1538-3881/aaf009,2018,10.3847/1538-3881/aaf009,jiafucheng,0,medium,A,测光目标三分类与温度回归，非恒星光谱型分类,title_abstract,,label_suggestion
w4_rq01_017,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2078829410,Classification of Spectra of Emission Line Stars Using Machine Learning Techniques,,https://doi.org/10.1007/s11633-014-0789-2,2014,10.1007/s11633-014-0789-2,jiafucheng,2,medium,B,据 Springer 出版页确认核心任务为用机器学习对发射线恒星光谱分类,publisher,https://link.springer.com/article/10.1007/s11633-014-0789-2,translation
w4_rq02_001,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W1653774948,Nucleosynthesis in Stellar Explosions,,https://doi.org/10.1007/978-94-009-6348-1_22,1984,10.1007/978-94-009-6348-1_22,jiafucheng,0,high,A,主题是恒星爆炸核合成，与ML光谱参数估计无关,title_abstract,,translation
w4_rq02_007,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2797439311,Binary Companions of Evolved Stars in APOGEE DR14: Search Method and Catalog of ∼5000 Companions,"Abstract Multi-epoch radial velocity measurements of stars can be used to identify stellar, substellar, and planetary-mass companions. Even a small number of observation epochs can be informative about companions, though there can be multiple qualitatively different orbital solutions that fit the data. We have custom-built a Monte Carlo sampler ( The Joker ) that delivers reliable (and often highly multimodal) posterior samplings for companion orbital parameters given sparse radial velocity data. Here we use The Joker to perform a search for companions to 96,231 red giant stars observed in the APOGEE survey (DR14) with ≥3 spectroscopic epochs. We select stars with probable companions by making a cut on our posterior belief about the amplitude of the variation in stellar radial velocity induced by the orbit. We provide (1) a catalog of 320 companions for which the stellar companion’s properties can be confidently determined, (2) a catalog of 4898 stars that likely have companions, but would require more observations to uniquely determine the orbital properties, and (3) posterior samplings for the full orbital parameters for all stars in the parent sample. We show the characteristics of systems with confidently determined companion properties and highlight interesting systems with candidate compact object companions.",https://doi.org/10.3847/1538-3881/aac387,2018,10.3847/1538-3881/aac387,jiafucheng,0,high,A,核心是径向速度伴星搜寻，非光谱参数估计,title_abstract,,translation
w4_rq02_013,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2139768786,Oscillation frequencies for 35<i>Kepler</i>solar-type planet-hosting stars using Bayesian techniques and machine learning,"Kepler has revolutionized our understanding of both exoplanets and their host stars. Asteroseismology is a valuable tool in the characterization of stars and Kepler is an excellent observing facility to perform asteroseismology. Here we select a sample of 35 Kepler solar-type stars which host transiting exoplanets (or planet candidates) with detected solar-like oscillations. Using available Kepler short cadence data up to Quarter 16 we create power spectra optimized for asteroseismology of solar-type stars. We identify modes of oscillation and estimate mode frequencies by ‘peak bagging’ using a Bayesian Markov Chain Monte Carlo framework. In addition, we expand the methodology of quality assurance using a Bayesian unsupervised machine learning approach. We report the measured frequencies of the modes of oscillation for all 35 stars and frequency ratios commonly used in detailed asteroseismic modelling. Due to the high correlations associated with frequency ratios we report the covariance matrix of all frequencies measured and frequency ratios calculated. These frequencies, frequency ratios, and covariance matrices can be used to obtain tight constraint on the fundamental parameters of these planet-hosting stars.",https://doi.org/10.1093/mnras/stv2593,2015,10.1093/mnras/stv2593,jiafucheng,1,medium,A,星震频率测量，ML仅辅助质量保证，非光谱参数回归,title_abstract,,explanation
w4_rq02_016,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2740236269,The Fourteenth Data Release of the Sloan Digital Sky Survey: First Spectroscopic Data from the Extended Baryon Oscillation Spectroscopic Survey and from the Second Phase of the Apache Point Observatory Galactic Evolution Experiment,"Abstract The fourth generation of the Sloan Digital Sky Survey (SDSS-IV) has been in operation since 2014 July. This paper describes the second data release from this phase, and the 14th from SDSS overall (making this Data Release Fourteen or DR14). This release makes the data taken by SDSS-IV in its first two years of operation (2014–2016 July) public. Like all previous SDSS releases, DR14 is cumulative, including the most recent reductions and calibrations of all data taken by SDSS since the first phase began operations in 2000. New in DR14 is the first public release of data from the extended Baryon Oscillation Spectroscopic Survey; the first data from the second phase of the Apache Point Observatory (APO) Galactic Evolution Experiment (APOGEE-2), including stellar parameter estimates from an innovative data-driven machine-learning algorithm known as “The Cannon”; and almost twice as many data cubes from the Mapping Nearby Galaxies at APO (MaNGA) survey as were in the previous release ( N = 2812 in total). This paper describes the location and format of the publicly available data from the SDSS-IV surveys. We provide references to the important technical papers describing how these data have been taken (both targeting and observation details) and processed for scientific use. The SDSS web site ( www.sdss.org ) has been updated for this release and provides links to data downloads, as well as tutorials and examples of data use. SDSS-IV is planning to continue to collect astronomical data until 2020 and will be followed by SDSS-V.",https://doi.org/10.3847/1538-4365/aa9e8a,2018,10.3847/1538-4365/aa9e8a,jiafucheng,1,high,A,数据发布论文，参数估计仅为其中一部分,title_abstract,,explanation
w4_rq02_019,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2971836485,GWTC-1: A Gravitational-Wave Transient Catalog of Compact Binary Mergers Observed by LIGO and Virgo during the First and Second Observing Runs,"We present the results from three gravitational-wave searches for coalescing compact binaries with component masses above <a:math xmlns:a=""http://www.w3.org/1998/Math/MathML"" display=""inline""><a:mrow><a:mn>1</a:mn><a:mtext> </a:mtext><a:mtext> </a:mtext><a:msub><a:mrow><a:mi>M</a:mi></a:mrow><a:mrow><a:mo stretchy=""false"">⊙</a:mo></a:mrow></a:msub></a:mrow></a:math> during the first and second observing runs of the advanced gravitational-wave detector network. During the first observing run (<d:math xmlns:d=""http://www.w3.org/1998/Math/MathML"" display=""inline""><d:mi>O</d:mi><d:mn>1</d:mn></d:math>), from September 12, 2015 to January 19, 2016, gravitational waves from three binary black hole mergers were detected. The second observing run (<f:math xmlns:f=""http://www.w3.org/1998/Math/MathML"" display=""inline""><f:mi>O</f:mi><f:mn>2</f:mn></f:math>), which ran from November 30, 2016 to August 25, 2017, saw the first detection of gravitational waves from a binary neutron star inspiral, in addition to the observation of gravitational waves from a total of seven binary black hole mergers, four of which we report here for the first time: GW170729, GW170809, GW170818, and GW170823. For all significant gravitational-wave events, we provide estimates of the source properties. The detected binary black holes have total masses between <h:math xmlns:h=""http://www.w3.org/1998/Math/MathML"" display=""inline""><h:mrow><h:msubsup><h:mrow><h:mn>18.6</h:mn></h:mrow><h:mrow><h:mo>−</h:mo><h:mn>0.7</h:mn></h:mrow><h:mrow><h:mo>+</h:mo><h:mn>3.2</h:mn></h:mrow></h:msubsup><h:mtext> </h:mtext><h:mtext> </h:mtext><h:msub><h:mrow><h:mi>M</h:mi></h:mrow><h:mrow><h:mo stretchy=""false"">⊙</h:mo></h:mrow></h:msub></h:mrow></h:math> and <k:math xmlns:k=""http://www.w3.org/1998/Math/MathML"" display=""inline""><k:msubsup><k:mn>84.4</k:mn><k:mrow><k:mo>−</k:mo><k:mn>11.1</k:mn></k:mrow><k:mrow><k:mo>+</k:mo><k:mn>15.8</k:mn></k:mrow></k:msubsup><k:mtext> </k:mtext><k:mtext> </k:mtext><k:msub><k:mrow><k:mi>M</k:mi></k:mrow><k:mrow><k:mo stretchy=""false"">⊙</k:mo></k:mrow></k:msub></k:math> and range in distance between <n:math xmlns:n=""http://www.w3.org/1998/Math/MathML"" display=""inline""><n:msubsup><n:mn>320</n:mn><n:mrow><n:mo>−</n:mo><n:mn>110</n:mn></n:mrow><n:mrow><n:mo>+</n:mo><n:mn>120</n:mn></n:mrow></n:msubsup></n:math> and <p:math xmlns:p=""http://www.w3.org/1998/Math/MathML"" display=""inline""><p:mrow><p:msubsup><p:mrow><p:mn>2840</p:mn></p:mrow><p:mrow><p:mo>−</p:mo><p:mn>1360</p:mn></p:mrow><p:mrow><p:mo>+</p:mo><p:mn>1400</p:mn></p:mrow></p:msubsup><p:mtext> </p:mtext><p:mtext> </p:mtext><p:mi>Mpc</p:mi></p:mrow></p:math>. No neutron star–black hole mergers were detected. In addition to highly significant gravitational-wave events, we also provide a list of marginal event candidates with an estimated false-alarm rate less than 1 per 30 days. From these results over the first two observing runs, which include approximately one gravitational-wave detection per 15 days of data searched, we infer merger rates at the 90% confidence intervals of <r:math xmlns:r=""http://www.w3.org/1998/Math/MathML"" display=""inline""><r:mrow><r:mn>110</r:mn><r:mo>−</r:mo><r:mn>3840</r:mn><r:mtext> </r:mtext><r:mtext> </r:mtext><r:msup><r:mrow><r:mi>Gpc</r:mi></r:mrow><r:mrow><r:mo>−</r:mo><r:mn>3</r:mn></r:mrow></r:msup><r:mtext> </r:mtext><r:msup><r:mrow><r:mi mathvariant=""normal"">y</r:mi></r:mrow><r:mrow><r:mo>−</r:mo><r:mn>1</r:mn></r:mrow></r:msup></r:mrow></r:math> for binary neutron stars and <u:math xmlns:u=""http://www.w3.org/1998/Math/MathML"" display=""inline""><u:mrow><u:mn>9.7</u:mn><u:mo>−</u:mo><u:mn>101</u:mn><u:mtext> </u:mtext><u:mtext> </u:mtext><u:msup><u:mrow><u:mi>Gpc</u:mi></u:mrow><u:mrow><u:mo>−</u:mo><u:mn>3</u:mn></u:mrow></u:msup><u:mtext> </u:mtext><u:msup><u:mrow><u:mi mathvariant=""normal"">y</u:mi></u:mrow><u:mrow><u:mo>−</u:mo><u:mn>1</u:mn></u:mrow></u:msup></u:mrow></u:math> for binary black holes assuming fixed population distributions and determine a neutron star–black hole merger rate 90% upper limit of <x:math xmlns:x=""http://www.w3.org/1998/Math/MathML"" display=""inline""><x:mrow><x:mn>610</x:mn><x:mtext> </x:mtext><x:mtext> </x:mtext><x:msup><x:mrow><x:mi>Gpc</x:mi></x:mrow><x:mrow><x:mo>−</x:mo><x:mn>3</x:mn></x:mrow></x:msup><x:mtext> </x:mtext><x:msup><x:mrow><x:mi mathvariant=""normal"">y</x:mi></x:mrow><x:mrow><x:mo>−</x:mo><x:mn>1</x:mn></x:mrow></x:msup></x:mrow></x:math>. Published by the American Physical Society 2019",https://doi.org/10.1103/physrevx.9.031040,2019,10.1103/physrevx.9.031040,jiafucheng,0,high,A,引力波瞬变目录，与恒星光谱参数估计无关,title_abstract,,explanation
