case_type,method_id,pair_id,research_query_id,final_label,rank,in_top5,in_top10,example_role,boundary_type,error_type,source
irrelevant_top_k,bm25_v1,w4_rq01_019,rq01_stellar_classification,0,1,1,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq01_015,rq01_stellar_classification,0,2,1,1,hard_negative,wrong_modality_and_task,wrong_modality_and_task,data/analysis/w4_query_boundary_examples.csv#qb_005
irrelevant_top_k,bm25_v1,w4_rq01_016,rq01_stellar_classification,0,3,1,1,boundary,object_classification_vs_stellar_type,object_classification_vs_stellar_type,data/analysis/w4_query_boundary_examples.csv#qb_006
irrelevant_top_k,bm25_v1,w4_rq01_002,rq01_stellar_classification,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq01_010,rq01_stellar_classification,0,6,0,1,hard_negative,wrong_modality,wrong_modality,data/analysis/w4_query_boundary_examples.csv#qb_003
irrelevant_top_k,bm25_v1,w4_rq01_001,rq01_stellar_classification,0,7,0,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq01_014,rq01_stellar_classification,0,9,0,1,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_004
irrelevant_top_k,bm25_v1,w4_rq02_020,rq02_stellar_parameters,0,5,1,1,hard_negative,wrong_modality_no_ml,wrong_modality_no_ml,data/analysis/w4_query_boundary_examples.csv#qb_012
irrelevant_top_k,bm25_v1,w4_rq02_015,rq02_stellar_parameters,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq02_002,rq02_stellar_parameters,0,8,0,1,hard_negative,existing_labels_as_input,existing_labels_as_input,data/analysis/w4_query_boundary_examples.csv#qb_010
irrelevant_top_k,bm25_v1,w4_rq02_011,rq02_stellar_parameters,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq02_005,rq02_stellar_parameters,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq03_018,rq03_spectral_preprocessing,0,2,1,1,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_019
irrelevant_top_k,bm25_v1,w4_rq03_003,rq03_spectral_preprocessing,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq03_004,rq03_spectral_preprocessing,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq03_011,rq03_spectral_preprocessing,0,5,1,1,hard_negative,wrong_object_and_method_name,wrong_object_and_method_name,data/analysis/w4_query_boundary_examples.csv#qb_016
irrelevant_top_k,bm25_v1,w4_rq03_013,rq03_spectral_preprocessing,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq03_009,rq03_spectral_preprocessing,0,7,0,1,boundary,generation_vs_preprocessing,generation_vs_preprocessing,data/analysis/w4_query_boundary_examples.csv#qb_014
irrelevant_top_k,bm25_v1,w4_rq03_012,rq03_spectral_preprocessing,0,8,0,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_017
irrelevant_top_k,bm25_v1,w4_rq03_020,rq03_spectral_preprocessing,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,bm25_v1,w4_rq03_005,rq03_spectral_preprocessing,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_016,rq01_stellar_classification,0,1,1,1,boundary,object_classification_vs_stellar_type,object_classification_vs_stellar_type,data/analysis/w4_query_boundary_examples.csv#qb_006
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_019,rq01_stellar_classification,0,2,1,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_001,rq01_stellar_classification,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_015,rq01_stellar_classification,0,4,1,1,hard_negative,wrong_modality_and_task,wrong_modality_and_task,data/analysis/w4_query_boundary_examples.csv#qb_005
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_002,rq01_stellar_classification,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_010,rq01_stellar_classification,0,8,0,1,hard_negative,wrong_modality,wrong_modality,data/analysis/w4_query_boundary_examples.csv#qb_003
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_013,rq01_stellar_classification,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq01_009,rq01_stellar_classification,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq02_014,rq02_stellar_parameters,0,2,1,1,hard_negative,classification_vs_regression,classification_vs_regression,data/analysis/w4_query_boundary_examples.csv#qb_011
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq02_013,rq02_stellar_parameters,0,8,0,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq02_002,rq02_stellar_parameters,0,10,0,1,hard_negative,existing_labels_as_input,existing_labels_as_input,data/analysis/w4_query_boundary_examples.csv#qb_010
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_005,rq03_spectral_preprocessing,0,1,1,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_012,rq03_spectral_preprocessing,0,3,1,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_017
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_020,rq03_spectral_preprocessing,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_004,rq03_spectral_preprocessing,0,5,1,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_011,rq03_spectral_preprocessing,0,6,0,1,hard_negative,wrong_object_and_method_name,wrong_object_and_method_name,data/analysis/w4_query_boundary_examples.csv#qb_016
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_009,rq03_spectral_preprocessing,0,7,0,1,boundary,generation_vs_preprocessing,generation_vs_preprocessing,data/analysis/w4_query_boundary_examples.csv#qb_014
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_018,rq03_spectral_preprocessing,0,8,0,1,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_019
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_016,rq03_spectral_preprocessing,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,cross_encoder_msmarco_v1,w4_rq03_003,rq03_spectral_preprocessing,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq01_002,rq01_stellar_classification,0,1,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq01_014,rq01_stellar_classification,0,2,1,1,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_004
irrelevant_top_k,preliminary_score_v1,w4_rq01_010,rq01_stellar_classification,0,3,1,1,hard_negative,wrong_modality,wrong_modality,data/analysis/w4_query_boundary_examples.csv#qb_003
irrelevant_top_k,preliminary_score_v1,w4_rq01_016,rq01_stellar_classification,0,4,1,1,boundary,object_classification_vs_stellar_type,object_classification_vs_stellar_type,data/analysis/w4_query_boundary_examples.csv#qb_006
irrelevant_top_k,preliminary_score_v1,w4_rq01_015,rq01_stellar_classification,0,5,1,1,hard_negative,wrong_modality_and_task,wrong_modality_and_task,data/analysis/w4_query_boundary_examples.csv#qb_005
irrelevant_top_k,preliminary_score_v1,w4_rq01_009,rq01_stellar_classification,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq01_006,rq01_stellar_classification,0,7,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq01_012,rq01_stellar_classification,0,8,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq01_018,rq01_stellar_classification,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq01_001,rq01_stellar_classification,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq02_019,rq02_stellar_parameters,0,2,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq02_007,rq02_stellar_parameters,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq02_020,rq02_stellar_parameters,0,5,1,1,hard_negative,wrong_modality_no_ml,wrong_modality_no_ml,data/analysis/w4_query_boundary_examples.csv#qb_012
irrelevant_top_k,preliminary_score_v1,w4_rq02_005,rq02_stellar_parameters,0,7,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq02_015,rq02_stellar_parameters,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq03_003,rq03_spectral_preprocessing,0,1,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq03_020,rq03_spectral_preprocessing,0,2,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq03_008,rq03_spectral_preprocessing,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq03_017,rq03_spectral_preprocessing,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq03_002,rq03_spectral_preprocessing,0,5,1,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq03_010,rq03_spectral_preprocessing,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,preliminary_score_v1,w4_rq03_019,rq03_spectral_preprocessing,0,8,0,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_020
irrelevant_top_k,preliminary_score_v1,w4_rq03_018,rq03_spectral_preprocessing,0,9,0,1,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_019
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq01_016,rq01_stellar_classification,0,1,1,1,boundary,object_classification_vs_stellar_type,object_classification_vs_stellar_type,data/analysis/w4_query_boundary_examples.csv#qb_006
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq01_001,rq01_stellar_classification,0,2,1,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq01_015,rq01_stellar_classification,0,3,1,1,hard_negative,wrong_modality_and_task,wrong_modality_and_task,data/analysis/w4_query_boundary_examples.csv#qb_005
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq01_019,rq01_stellar_classification,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq01_009,rq01_stellar_classification,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq01_002,rq01_stellar_classification,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq01_006,rq01_stellar_classification,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq02_014,rq02_stellar_parameters,0,8,0,1,hard_negative,classification_vs_regression,classification_vs_regression,data/analysis/w4_query_boundary_examples.csv#qb_011
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq02_020,rq02_stellar_parameters,0,9,0,1,hard_negative,wrong_modality_no_ml,wrong_modality_no_ml,data/analysis/w4_query_boundary_examples.csv#qb_012
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq02_002,rq02_stellar_parameters,0,10,0,1,hard_negative,existing_labels_as_input,existing_labels_as_input,data/analysis/w4_query_boundary_examples.csv#qb_010
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_013,rq03_spectral_preprocessing,0,2,1,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_005,rq03_spectral_preprocessing,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_020,rq03_spectral_preprocessing,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_009,rq03_spectral_preprocessing,0,5,1,1,boundary,generation_vs_preprocessing,generation_vs_preprocessing,data/analysis/w4_query_boundary_examples.csv#qb_014
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_004,rq03_spectral_preprocessing,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_011,rq03_spectral_preprocessing,0,7,0,1,hard_negative,wrong_object_and_method_name,wrong_object_and_method_name,data/analysis/w4_query_boundary_examples.csv#qb_016
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_012,rq03_spectral_preprocessing,0,8,0,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_017
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_018,rq03_spectral_preprocessing,0,9,0,1,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_019
irrelevant_top_k,rrf_bm25_specter2_v1,w4_rq03_019,rq03_spectral_preprocessing,0,10,0,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_020
irrelevant_top_k,specter2_adhoc_v1,w4_rq01_001,rq01_stellar_classification,0,1,1,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq01_016,rq01_stellar_classification,0,2,1,1,boundary,object_classification_vs_stellar_type,object_classification_vs_stellar_type,data/analysis/w4_query_boundary_examples.csv#qb_006
irrelevant_top_k,specter2_adhoc_v1,w4_rq01_009,rq01_stellar_classification,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq01_006,rq01_stellar_classification,0,5,1,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq01_015,rq01_stellar_classification,0,6,0,1,hard_negative,wrong_modality_and_task,wrong_modality_and_task,data/analysis/w4_query_boundary_examples.csv#qb_005
irrelevant_top_k,specter2_adhoc_v1,w4_rq01_013,rq01_stellar_classification,0,8,0,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq01_007,rq01_stellar_classification,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq02_014,rq02_stellar_parameters,0,4,1,1,hard_negative,classification_vs_regression,classification_vs_regression,data/analysis/w4_query_boundary_examples.csv#qb_011
irrelevant_top_k,specter2_adhoc_v1,w4_rq02_010,rq02_stellar_parameters,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_005,rq03_spectral_preprocessing,0,2,1,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_020,rq03_spectral_preprocessing,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_013,rq03_spectral_preprocessing,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_009,rq03_spectral_preprocessing,0,5,1,1,boundary,generation_vs_preprocessing,generation_vs_preprocessing,data/analysis/w4_query_boundary_examples.csv#qb_014
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_012,rq03_spectral_preprocessing,0,6,0,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_017
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_017,rq03_spectral_preprocessing,0,7,0,1,unclassified,,unclassified,
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_019,rq03_spectral_preprocessing,0,8,0,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_020
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_011,rq03_spectral_preprocessing,0,9,0,1,hard_negative,wrong_object_and_method_name,wrong_object_and_method_name,data/analysis/w4_query_boundary_examples.csv#qb_016
irrelevant_top_k,specter2_adhoc_v1,w4_rq03_004,rq03_spectral_preprocessing,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_001,rq01_stellar_classification,0,1,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_016,rq01_stellar_classification,0,2,1,1,boundary,object_classification_vs_stellar_type,object_classification_vs_stellar_type,data/analysis/w4_query_boundary_examples.csv#qb_006
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_015,rq01_stellar_classification,0,3,1,1,hard_negative,wrong_modality_and_task,wrong_modality_and_task,data/analysis/w4_query_boundary_examples.csv#qb_005
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_019,rq01_stellar_classification,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_006,rq01_stellar_classification,0,5,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_012,rq01_stellar_classification,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_014,rq01_stellar_classification,0,7,0,1,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_004
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_002,rq01_stellar_classification,0,8,0,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_018,rq01_stellar_classification,0,9,0,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq01_009,rq01_stellar_classification,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq02_015,rq02_stellar_parameters,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq02_014,rq02_stellar_parameters,0,4,1,1,hard_negative,classification_vs_regression,classification_vs_regression,data/analysis/w4_query_boundary_examples.csv#qb_011
irrelevant_top_k,tfidf_two_stage_v1,w4_rq02_013,rq02_stellar_parameters,0,6,0,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq02_019,rq02_stellar_parameters,0,10,0,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq03_020,rq03_spectral_preprocessing,0,1,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq03_003,rq03_spectral_preprocessing,0,3,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq03_010,rq03_spectral_preprocessing,0,4,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq03_002,rq03_spectral_preprocessing,0,5,1,1,unclassified,,unclassified,
irrelevant_top_k,tfidf_two_stage_v1,w4_rq03_019,rq03_spectral_preprocessing,0,7,0,1,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_020
irrelevant_top_k,tfidf_two_stage_v1,w4_rq03_011,rq03_spectral_preprocessing,0,8,0,1,hard_negative,wrong_object_and_method_name,wrong_object_and_method_name,data/analysis/w4_query_boundary_examples.csv#qb_016
