pair_id,research_query_id,research_question_zh,research_question_en,openalex_id,title,abstract,landing_page_url,publication_year,doi,annotator,label,confidence,evidence_level,reason,source_checked,evidence_url,ai_assistance
w4_rq01_004,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2567715800,The Galah Survey: Classification and Diagnostics with t-SNE Reduction of Spectral Information,"Abstract Galah is an ongoing high-resolution spectroscopic survey with the goal of disentangling the formation history of the Milky Way using the fossil remnants of disrupted star formation sites that are now dispersed around the Galaxy. It is targeting a randomly selected magnitude-limited ( V ≤ 14) sample of stars, with the goal of observing one million objects. To date, 300,000 spectra have been obtained. Not all of them are correctly processed by parameter estimation pipelines, and we need to know about them. We present a semi-automated classification scheme that identifies different types of peculiar spectral morphologies in an effort to discover and flag potentially problematic spectra and thus help to preserve the integrity of the survey results. To this end, we employ the recently developed dimensionality reduction technique t-SNE ( t -distributed stochastic neighbor embedding), which enables us to represent the complex spectral morphology in a two-dimensional projection map while still preserving the properties of the local neighborhoods of spectra. We find that the majority (178,483) of the 209,533 Galah spectra considered in this study represents normal single stars, whereas 31,050 peculiar and problematic spectra with very diverse spectral features pertaining to 28,579 stars are distributed into 10 classification categories: hot stars, cool metal-poor giants, molecular absorption bands, binary stars, H α /H β emission, H α /H β emission superimposed on absorption, H α /H β P-Cygni, H α /H β inverted P-Cygni, lithium absorption, and problematic. Classified spectra with supplementary information are presented in the catalog, indicating candidates for follow-up observations and population studies of the short-lived phases of stellar evolution.",https://doi.org/10.3847/1538-4365/228/2/24,2017,10.3847/1538-4365/228/2/24,chenxingyu,2,high,A,输入为 GALAH 恒星光谱；t-SNE 映射光谱形态并辅助区分异常或特殊光谱类别，输出直接是恒星光谱分类，因此高度相关。,title_abstract,,label_suggestion
w4_rq01_010,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W3121170300,ROOSTER: a machine-learning analysis tool for <i>Kepler</i> stellar rotation periods,"In order to understand stellar evolution, it is crucial to efficiently determine stellar surface rotation periods. Indeed, while they are of great importance in stellar models, angular momentum transport processes inside stars are still poorly understood today. Surface rotation, which is linked to the age of the star, is one of the constraints needed to improve the way those processes are modelled. Statistics of the surface rotation periods for a large sample of stars of different spectral types are thus necessary. An efficient tool to automatically determine reliable rotation periods is needed when dealing with large samples of stellar photometric datasets. The objective of this work is to develop such a tool. For this purpose, machine learning classifiers constitute relevant bases to build our new methodology. Random forest learning abilities are exploited to automate the extraction of rotation periods in Kepler light curves. Rotation periods and complementary parameters are obtained via three different methods: a wavelet analysis, the autocorrelation function of the light curve, and the composite spectrum. We trained three different classifiers: one to detect if rotational modulations are present in the light curve, one to flag close binary or classical pulsators candidates that can bias our rotation period determination, and finally one classifier to provide the final rotation period. We tested our machine learning pipeline on 23 431 stars of the Kepler K and M dwarf reference rotation catalogue for which 60% of the stars have been visually inspected. For the sample of 21 707 stars where all the input parameters are provided to the algorithm, 94.2% of them are correctly classified (as rotating or not). Among the stars that have a rotation period in the reference catalogue, the machine learning provides a period that agrees within 10% of the reference value for 95.3% of the stars. Moreover, the yield of correct rotation periods is raised to 99.5% after visually inspecting 25.2% of the stars. Over the two main analysis steps, rotation classification and period selection, the pipeline yields a global agreement with the reference values of 92.1% and 96.9% before and after visual inspection. Random forest classifiers are efficient tools to determine reliable rotation periods in large samples of stars. The methodology presented here could be easily adapted to extract surface rotation periods for stars with different spectral types or observed by other instruments such as K2, TESS or by PLATO in the near future.",https://doi.org/10.1051/0004-6361/202039947,2021,10.1051/0004-6361/202039947,chenxingyu,0,high,A,输入为 Kepler 测光光曲线；随机森林检测旋转调制并选择自转周期，输出不是恒星光谱类型，属于数据模态和目标任务均不匹配。,title_abstract,,label_suggestion
w4_rq01_014,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W3155899199,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,"The rapid development of information and wireless communication technologies together with the large increase in the number of end-users have made the radio spectrum more crowded than ever. Besides, providing a stable and reliable service is challenging, as electromagnetic environments are evolving and becoming more sophisticated. Accordingly, there is an urgent need for more reliable and intelligent communication systems that can improve the spectrum efficiency and the quality of service to provide agile management of network resources, so as to better meet the needs of future wireless users. Specifically, Automatic Modulation Recognition (AMR) plays an essential role in most intelligent communication systems especially with the emergence of Software Defined Radio (SDR). AMR is an indispensable task while performing spectrum sensing in Cognitive Radio (CR). Thanks to the significant advancements in Deep Learning (DL) applications, new and powerful tools have been provided which can tackle problems in this space. Thus, today, integrating DL models into AMR has gained the attention of many researchers. This work aims to provide a comprehensive state-of-the-art review of the most recent Machine Learning (ML) based AMR methods for Single-Input Single-Output (SISO) and Multiple-Input Multiple-Output (MIMO) systems. Furthermore, the architecture of each model will be identified along with a detailed comparison in terms of specifications and performance. Finally, an outline of the open problems, challenges, and potential research directions is provided along with discussion and conclusion.",https://doi.org/10.1109/access.2021.3071801,2021,10.1109/access.2021.3071801,chenxingyu,0,high,A,输入是无线通信射频信号；机器学习识别调制方式，研究对象、数据和输出都不是恒星光谱分类。,title_abstract,,label_suggestion
w4_rq01_015,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2899864468,Machine Learning Applied to Star–Galaxy–QSO Classification and Stellar Effective Temperature Regression,"Abstract In modern astrophysics, machine learning has increasingly gained popularity with its incredibly powerful ability to make predictions or calculated suggestions for large amounts of data. We describe an application of the supervised machine-learning algorithm, random forests (RF), to the star/galaxy/QSO classification and the stellar effective temperature regression based on the combination of Large Sky Area Multi-Object Fiber Spectroscopic Telescope and Sloan Digital Sky Survey spectroscopic data. This combination enables us to obtain reliable predictions with one of the largest training samples ever used. The training samples are built with a nine-color data set of about three million objects for the classification and a seven-color data set of over one million stars for the regression. The performance of the classification and regression is examined with validation and blind tests on the objects in the RAdial Velocity Extension, 6dFGS, UV-bright Quasar Survey and Apache Point Observatory Galactic Evolution Experiment surveys. We demonstrate that RF is an effective algorithm, with classification accuracies higher than 99% for stars and galaxies, and higher than 94% for QSOs. These accuracies are higher than machine-learning results in former studies. The total standard deviations of the regression are smaller than 200 K, which is similar to those of some spectrum-based methods. The machine-learning algorithm with the broad-band photometry provides us with a more efficient approach for dealing with massive amounts of astrophysical data than do traditional color cuts and spectral energy distribution fits.",https://doi.org/10.3847/1538-3881/aaf009,2018,10.3847/1538-3881/aaf009,chenxingyu,0,high,A,输入为宽带多色测光；随机森林输出 star/galaxy/QSO 类别并回归温度，没有从恒星光谱识别光谱型或恒星类型。,title_abstract,,label_suggestion
w4_rq01_016,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W4312712330,Experimental Analysis of Stellar Classification by using Different Machine Learning Algorithms,"In advanced Astrophysics, Machine Learning has progressively attained popularity with its astounding powerful potential to analyze large amounts of data and make accurate predictions. The categorization of stars is based on their spectral features, known as stellar classification. The star's electromagnetic energy is studied by dividing it using a diffraction or prism grating into a spectrum that has a rainbow of colours intermingled with spectral lines that are used for classification. The use of space-based imaging surveys necessitates a considerable deal of information on the spectral types of stars. This research presents the techniques for classifying stellar features into a Galaxy and a Star using various Machine Learning Algorithms on a dataset consisting of 100,000 observations. Techniques like K-Nearest Neighbours (KNN), Support Vector Classifier (SVC), Random Forest (RF), Logistic Regression (LR), Decision Tree (DT), and Naïve Bayes (NB) are used to train the model. Ultimately, a relative examination is done based on investigational outcomes from distinct models. This experiment demonstrates that the Support Vector Classifier (SVC) provides the highest accuracy, whereas the Decision tree (DT) provides the lowest. Finally, the potential for additional research in this area is highlighted.",https://doi.org/10.1109/i4tech55392.2022.9952964,2022,10.1109/i4tech55392.2022.9952964,chenxingyu,0,medium,A,摘要的机器学习输出是 Galaxy 与 Star 的对象分类；虽以光谱型作背景说明，但未表明从恒星光谱预测恒星类型，核心任务落在 RQ01 scope out。,title_abstract,,label_suggestion
w4_rq02_002,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W3106471209,Dissecting stellar chemical abundance space with t-SNE,"In the era of large-scale Galactic astronomy and multi-object spectroscopic stellar surveys, the sample sizes and the number of available stellar chemical abundances have reached dimensions in which it has become difficult to process all the available information in an effective manner. In this paper we demonstrate the use of a dimensionality-reduction technique (t-distributed stochastic neighbour embedding; t-SNE) for analysing the stellar abundance-space distribution. While the non-parametric non-linear behaviour of this technique makes it difficult to estimate the significance of any abundance-space substructure found, we show that our results depend little on parameter choices and are robust to abundance errors. By reanalysing the high-resolution high-signal-to-noise solar-neighbourhood HARPS-GTO sample with t-SNE, we find clearer chemical separations of the high- and low-[α/Fe] disc sequences, hints for multiple populations in the high-[α/Fe] population, and indications that the chemical evolution of the high-[α/Fe] metal-rich stars is connected with the super-metal-rich stars. We also identify a number of chemically peculiar stars, among them a high-confidence s-process-enhanced abundance-ratio pair (HD 91345/HD 126681) with very similar ages and v X and v Y velocities, which we suggest have a common birth origin, possibly a dwarf galaxy. Our results demonstrate the potential of abundance-space t-SNE and similar methods for chemical-tagging studies with large spectroscopic surveys.",http://hdl.handle.net/10183/204135,2018,10.1051/0004-6361/201833099/pdf,chenxingyu,0,high,A,输入是已经测得的恒星化学丰度向量；t-SNE 用于发现丰度空间结构和族群，不是从恒星光谱推断 Teff、log g 或丰度。,title_abstract,,label_suggestion
w4_rq02_008,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2032231736,Estimation of stellar atmospheric parameters from SDSS/SEGUE spectra,"We present techniques for the estimation of stellar atmospheric parameters (Teff, , [Fe/H]) for stars from the SDSS/SEGUE survey. The atmospheric parameters are derived from the observed medium-resolution () stellar spectra using non-linear regression models trained either on (1) pre-classified observed data or (2) synthetic stellar spectra. In the first case we use our models to automate and generalize parametrization produced by a preliminary version of the SDSS/SEGUE Spectroscopic Parameter Pipeline (SSPP). In the second case we directly model the mapping between synthetic spectra (derived from Kurucz model atmospheres) and the atmospheric parameters, independently of any intermediate estimates. After training, we apply our models to various samples of SDSS spectra to derive atmospheric parameters, and compare our results with those obtained previously by the SSPP for the same samples. We obtain consistency between the two approaches, with RMS deviations on the order of 150 K in Teff, 0.35 dex in , and 0.22 dex in [Fe/H]. The models are applied to pre-processed spectra, either via Principal Component Analysis (PCA) or a Wavelength Range Selection (WRS) method, which employs a subset of the full 3850–9000 Åspectral range. This is both for computational reasons (robustness and speed), and because it delivers higher accuracy (better generalization of what the models have learned). Broadly speaking, the PCA is demonstrated to deliver more accurate atmospheric parameters when the training data are the actual SDSS spectra with previously estimated parameters, whereas WRS appears superior for the estimation of via synthetic templates, especially for lower signal-to-noise spectra. From a subsample of some 19 000 stars with previous determinations of the atmospheric parameters, the accuracies of our predictions (mean absolute errors) for each parameter are Teff to 170/170 K, to 0.36/0.45 dex, and [Fe/H] to 0.19/0.26 dex, for methods (1) and (2), respectively. We measure the intrinsic errors of our models by training on synthetic spectra and evaluating their performance on an independent set of synthetic spectra. This yields RMS accuracies of 50 K, 0.02 dex, and 0.03 dex on Teff, , and [Fe/H], respectively. Our approach can be readily deployed in an automated analysis pipeline, and can easily be retrained as improved stellar models and synthetic spectra become available. We nonetheless emphasise that this approach relies on an accurate calibration and pre-processing of the data (to minimize mismatch between the real and synthetic data), as well as sensible choices concerning feature selection. From an analysis of cluster candidates with available SDSS spectroscopy (M 15, M 13, M 2, and NGC 2420), and assuming the age, metallicity, and distances given in the literature are correct, we find evidence for small systematic offsets in Teff and/or for the parameter estimates from the model trained on real data with the SSPP. Thus, this model turns out to derive more precise, but less accurate, atmospheric parameters than the model trained on synthetic data.",https://doi.org/10.1051/0004-6361:20077334,2007,10.1051/0004-6361:20077334,chenxingyu,2,high,A,输入为 SDSS/SEGUE 观测恒星光谱；非线性回归模型直接输出 Teff、log g 和 [Fe/H]，与恒星光谱参数估计任务完全对应。,title_abstract,,label_suggestion
w4_rq02_012,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2969434441,Deriving the Stellar Labels of LAMOST Spectra with the Stellar LAbel Machine (SLAM),"Abstract The LAMOST survey has provided 9 million spectra in its Data Release 5 (DR5) at R ∼ 1800. Extracting precise stellar labels is crucial for such a large sample. In this paper, we report the implementation of the Stellar LAbel Machine (SLAM), which is a data-driven method based on support vector regression (SVR), a robust nonlinear regression technique. Thanks to the capability to model highly nonlinear problems with SVR, SLAM can generally derive stellar labels over a wide range of spectral types. This gives it a unique capability compared to other popular data-driven methods. To illustrate this capability, we test the performance of SLAM on stars ranging from T eff ∼ 4000 to ∼8000 K trained on LAMOST spectra and stellar labels. At g -band signal-to-noise ratio (S/N g ) higher than 100, the random uncertainties of T eff , log g , and [Fe/H] are 50 K, 0.09 dex, and 0.07 dex, respectively. We then set up another SLAM model trained by APOGEE and LAMOST common stars to demonstrate its capability of dealing with high dimensional problems. The spectra are from LAMOST DR5 and the stellar labels of the training set are from APOGEE DR15, including T eff , log g , [M/H], [ α /M], [C/M], and [N/M]. The cross-validated scatters at are 49 K, 0.10 dex, 0.037 dex, 0.026 dex, 0.058 dex, and 0.106 dex for these parameters, respectively. This performance is at the same level as other up-to-date data-driven models. As a byproduct, we also provide the latest catalog of ∼1 million LAMOST DR5 K giant stars with SLAM-predicted stellar labels in this work.",https://doi.org/10.3847/1538-4365/ab55ef,2020,10.3847/1538-4365/ab55ef,chenxingyu,2,high,A,输入为 LAMOST 恒星光谱；SLAM 使用支持向量回归推断 Teff、log g、金属丰度及元素标签，参数估计是核心输出。,title_abstract,,label_suggestion
w4_rq02_014,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2777402735,Carbon Stars Identified from LAMOST DR4 Using Machine Learning,"Abstract In this work, we present a catalog of 2651 carbon stars from the fourth Data Release (DR4) of the Large Sky Area Multi-Object Fiber Spectroscopy Telescope (LAMOST). Using an efficient machine-learning algorithm, we find these stars from more than 7 million spectra. As a by-product, 17 carbon-enhanced metal-poor turnoff star candidates are also reported in this paper, and they are preliminarily identified by their atmospheric parameters. Except for 176 stars that could not be given spectral types, we classify the other 2475 carbon stars into five subtypes: 864 C-H, 226 C-R, 400 C-J, 266 C-N, and 719 barium stars based on a series of spectral features. Furthermore, we divide the C-J stars into three subtypes, C-J(H), C-J(R), and C-J(N), and about 90% of them are cool N-type stars as expected from previous literature. Besides spectroscopic classification, we also match these carbon stars to multiple broadband photometries. Using ultraviolet photometry data, we find that 25 carbon stars have FUV detections and that they are likely to be in binary systems with compact white dwarf companions.",https://doi.org/10.3847/1538-4365/aaa415,2018,10.3847/1538-4365/aaa415,chenxingyu,0,high,A,输入虽为 LAMOST 光谱，但机器学习核心输出是碳星检出与光谱亚型分类；大气参数只用于少量候选的附带识别，未执行参数回归。,title_abstract,,label_suggestion
w4_rq02_020,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W3122729254,Probing the interior physics of stars through asteroseismology,"By studying the oscillations of a star's surface, it is possible to extract information about stellar strata, age, and dynamics. Though one might guess that observation of surface oscillatory motions would be limited to our Sun, high-precision brightness measurements of distant stars, performed over many years, have enabled the field of asteroseismology. This comprehensive review covers the recent development of this field, the necessary blending of numerical simulation and data, and the way in which this new information enhances our understanding of stellar evolution.",https://doi.org/10.1103/revmodphys.93.015001,2021,10.1103/revmodphys.93.015001,chenxingyu,0,high,A,输入为恒星亮度振荡的测光时间序列；论文综述星震学对内部结构的约束，未使用机器学习从恒星光谱估计大气参数。,title_abstract,,label_suggestion
