openalex_id,title,checked_field,field_value,status,problem_description,suggested_action
https://openalex.org/W3155899199,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,title,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,OFF_TOPIC,Paper about wireless communication signal recognition; not relevant to stellar spectra or astronomy. High citation count (174) could inflate impact rankings.,Add topic classifier or keyword-relevance filter before scoring.
https://openalex.org/W4388221752,Machine Learning Model for Leak Detection Using Water Pipeline Vibration Sensor,title,Machine Learning Model for Leak Detection Using Water Pipeline Vibration Sensor,OFF_TOPIC,Paper about water pipeline leak detection using vibration sensors. Triggers on "vibration" in query but unrelated to astrophysics.,Add topic classifier or keyword-relevance filter before scoring.
https://openalex.org/W2084341220,Statistical Modeling: The Two Cultures (with comments and a rejoinder by the author),cited_by_count,4300,OFF_TOPIC_HIGH_CITATIONS,Breiman's classic statistics paper. 4300 citations dominates impact scoring despite marginal relevance to the query. Year 2001 also drags recency score to 0.,Consider capping extreme citation values or adding topical relevance gate.
https://openalex.org/W4363678967,"A Novel Approach Utilizing Machine Learning for the Early Diagnosis of Alzheimer's Disease",abstract,,ABSTRACT_MISSING,Paper about biomedical ML (Alzheimer's diagnosis). Abstract is empty. All 9 key fields present except abstract.,Add abstract completeness check; flag for manual review.
https://openalex.org/W2098458655,Prediction of stellar atmospheric parameters from spectra spectral indices and spectral lines using machine learning,doi,,MULTI_FIELD_MISSING,Missing DOI and source_name. Old paper (2001). On-topic content but missing fields reduce completeness_score.,Consider enriching with Crossref lookup for papers with missing DOI.
https://openalex.org/W2098458655,Prediction of stellar atmospheric parameters from spectra spectral indices and spectral lines using machine learning,source_name,,MULTI_FIELD_MISSING,Missing source_name and DOI. Only landing_page_url points to CiteSeerX.,Consider enriching with Crossref lookup for papers with missing DOI.
https://openalex.org/W3101015041,ODUSSEAS: a machine learning tool to derive effective temperature and metallicity for M dwarf stars,landing_page_url,,LANDING_PAGE_MISSING,Missing landing_page_url. On-topic stellar spectra paper with valid DOI. Completeness_score penalized.,Use DOI to reconstruct landing page URL (https://doi.org/ prefix).
https://openalex.org/W4319662832,"The <i>Gaia</i>-ESO Survey: Chemical evolution of Mg and Al in the Milky Way with machine learning",title,"The <i>Gaia</i>-ESO Survey: Chemical evolution of Mg and Al in the Milky Way with machine learning",HTML_IN_TITLE,Title contains HTML <i> tags from OpenAlex display_name field. 15 citations; on-topic.,Strip HTML tags from title during field cleaning.
https://openalex.org/W4320341265,"Full spectrum fitting with photometry in <scp>ppxf</scp>: stellar population versus dynamical masses non-parametric star formation history and metall",title,"Full spectrum fitting with photometry in <scp>ppxf</scp>: stellar population versus dynamical masses non-parametric star formation history and metall",HTML_IN_TITLE,Title contains HTML <scp> tags. Also title appears truncated (very long).,Strip HTML tags; consider enforcing max title length.
https://openalex.org/W4306248068,"Machine learning in electron microscopy for advanced nanocharacterization: current developments available tools and future outlook",title,"Machine learning in electron microscopy for advanced nanocharacterization: current developments available tools and future outlook",OFF_TOPIC,Paper about electron microscopy in materials science. Not astronomy. 124 citations.,Add topic classifier before scoring.
https://openalex.org/W2406349003,A survey of machine learning for big data processing,title,A survey of machine learning for big data processing,OFF_TOPIC_GENERIC,Generic ML survey about big data processing. 891 citations. Not specific to astronomy or spectra.,Add domain-specific keyword matching before scoring.
https://openalex.org/W3099811482,An Active Instance-based Machine Learning method for Stellar Population Studies,doi,,MULTI_FIELD_MISSING,Missing DOI and source_name. Old paper (2005). On-topic but unverifiable via DOI.,Consider Crossref enrichment.
https://openalex.org/W3099811482,An Active Instance-based Machine Learning method for Stellar Population Studies,source_name,,MULTI_FIELD_MISSING,Missing source_name. Landing page points to CiteSeerX.,Consider Crossref enrichment.
https://openalex.org/W4381612653,A calibration point for stellar evolution from massive star asteroseismology,abstract,,ABSTRACT_MISSING,High-profile Nature Astronomy paper (57 citations). Abstract missing despite being in major journal. High completeness penalty.,Investigate why OpenAlex returned no abstract for a major journal paper.
https://openalex.org/W3034089264,Atmospheric parameter measurement of Low-S/N stellar spectra based on deep learning,abstract,,ABSTRACT_MISSING,On-topic deep learning stellar spectra paper in Optik journal. Abstract missing.,Flag for enrichment.
https://openalex.org/W2078829410,Classification of Spectra of Emission Line Stars Using Machine Learning Techniques,abstract,,ABSTRACT_MISSING,On-topic paper (2014). Abstract missing. 47 citations.,Flag for enrichment.
https://openalex.org/W3124281728,Testing the chemical tagging technique with open clusters,doi,,DOI_MISSING,On-topic stellar paper. Missing DOI. landing_page_url points to institutional repository PDF.,Use repository metadata to find DOI.
https://openalex.org/W3101896622,A Machine Learning Method to Infer Fundamental Stellar Parameters from Photometric Light Curves,doi,,DOI_MISSING,On-topic paper about stellar parameters from photometry. Missing DOI; landing page at Caltech repository.,Richly cited (33) on-topic paper; enrich DOI from Crossref.
