method_id,pair_id,research_query_id,final_label,score,rank,example_role,boundary_type,error_type,source
bm25_v1,w4_rq01_019,rq01_stellar_classification,0,7.791553727793712,1,unclassified,,unclassified,
bm25_v1,w4_rq01_015,rq01_stellar_classification,0,7.270293659521292,2,hard_negative,wrong_modality_and_task,wrong_modality_and_task,data/analysis/w4_query_boundary_examples.csv#qb_005
bm25_v1,w4_rq01_016,rq01_stellar_classification,0,7.1748861649799025,3,boundary,object_classification_vs_stellar_type,object_classification_vs_stellar_type,data/analysis/w4_query_boundary_examples.csv#qb_006
bm25_v1,w4_rq01_002,rq01_stellar_classification,0,6.94591295354918,4,unclassified,,unclassified,
bm25_v1,w4_rq01_011,rq01_stellar_classification,2,5.5988069392982895,5,unclassified,,unclassified,
bm25_v1,w4_rq01_010,rq01_stellar_classification,0,5.3714006045908995,6,hard_negative,wrong_modality,wrong_modality,data/analysis/w4_query_boundary_examples.csv#qb_003
bm25_v1,w4_rq01_001,rq01_stellar_classification,0,5.099682906648135,7,unclassified,,unclassified,
bm25_v1,w4_rq01_008,rq01_stellar_classification,2,5.084194523491766,8,scope_in,,scope_in,data/analysis/w4_query_boundary_examples.csv#qb_002
bm25_v1,w4_rq01_014,rq01_stellar_classification,0,5.015765371152426,9,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_004
bm25_v1,w4_rq01_017,rq01_stellar_classification,2,4.616977736015048,10,unclassified,,unclassified,
bm25_v1,w4_rq01_009,rq01_stellar_classification,0,3.7589693594620113,11,unclassified,,unclassified,
bm25_v1,w4_rq01_012,rq01_stellar_classification,0,3.2260122211124997,12,unclassified,,unclassified,
bm25_v1,w4_rq01_006,rq01_stellar_classification,0,2.9532682834105755,13,unclassified,,unclassified,
bm25_v1,w4_rq01_013,rq01_stellar_classification,0,2.899348691000518,14,unclassified,,unclassified,
bm25_v1,w4_rq01_018,rq01_stellar_classification,0,2.361372552824773,15,unclassified,,unclassified,
bm25_v1,w4_rq01_004,rq01_stellar_classification,2,2.270780756704117,16,scope_in,,scope_in,data/analysis/w4_query_boundary_examples.csv#qb_001
bm25_v1,w4_rq01_007,rq01_stellar_classification,0,1.0106018210822243,17,unclassified,,unclassified,
bm25_v1,w4_rq01_020,rq01_stellar_classification,0,0.9324708609724464,18,unclassified,,unclassified,
bm25_v1,w4_rq01_003,rq01_stellar_classification,0,0.7679492163768725,19,unclassified,,unclassified,
bm25_v1,w4_rq01_005,rq01_stellar_classification,0,0.7427698658360474,20,unclassified,,unclassified,
bm25_v1,w4_rq02_003,rq02_stellar_parameters,1,15.978121047043063,1,unclassified,,unclassified,
bm25_v1,w4_rq02_018,rq02_stellar_parameters,2,10.650647362411519,2,scope_in,,scope_in,data/analysis/w4_query_boundary_examples.csv#qb_009
bm25_v1,w4_rq02_008,rq02_stellar_parameters,2,10.388594666622687,3,scope_in,,scope_in,data/analysis/w4_query_boundary_examples.csv#qb_007
bm25_v1,w4_rq02_006,rq02_stellar_parameters,2,7.055523901025504,4,unclassified,,unclassified,
bm25_v1,w4_rq02_020,rq02_stellar_parameters,0,4.83607279724825,5,hard_negative,wrong_modality_no_ml,wrong_modality_no_ml,data/analysis/w4_query_boundary_examples.csv#qb_012
bm25_v1,w4_rq02_015,rq02_stellar_parameters,0,4.582566237200636,6,unclassified,,unclassified,
bm25_v1,w4_rq02_017,rq02_stellar_parameters,2,4.557724840714037,7,unclassified,,unclassified,
bm25_v1,w4_rq02_002,rq02_stellar_parameters,0,4.35767227072,8,hard_negative,existing_labels_as_input,existing_labels_as_input,data/analysis/w4_query_boundary_examples.csv#qb_010
