pair_id,research_query_id,method_id,score,rank
w4_rq01_002,rq01_stellar_classification,preliminary_score_v1,0.5737,1
w4_rq01_014,rq01_stellar_classification,preliminary_score_v1,0.5601,2
w4_rq01_010,rq01_stellar_classification,preliminary_score_v1,0.5587,3
w4_rq01_016,rq01_stellar_classification,preliminary_score_v1,0.5587,4
w4_rq01_015,rq01_stellar_classification,preliminary_score_v1,0.5584,5
w4_rq01_009,rq01_stellar_classification,preliminary_score_v1,0.5462,6
w4_rq01_006,rq01_stellar_classification,preliminary_score_v1,0.5405,7
w4_rq01_012,rq01_stellar_classification,preliminary_score_v1,0.5143,8
w4_rq01_018,rq01_stellar_classification,preliminary_score_v1,0.5134,9
w4_rq01_001,rq01_stellar_classification,preliminary_score_v1,0.5113,10
w4_rq01_019,rq01_stellar_classification,preliminary_score_v1,0.5062,11
w4_rq01_011,rq01_stellar_classification,preliminary_score_v1,0.4748,12
w4_rq01_003,rq01_stellar_classification,preliminary_score_v1,0.4516,13
w4_rq01_008,rq01_stellar_classification,preliminary_score_v1,0.4483,14
w4_rq01_013,rq01_stellar_classification,preliminary_score_v1,0.4374,15
w4_rq01_007,rq01_stellar_classification,preliminary_score_v1,0.4193,16
w4_rq01_005,rq01_stellar_classification,preliminary_score_v1,0.4148,17
w4_rq01_020,rq01_stellar_classification,preliminary_score_v1,0.4075,18
w4_rq01_004,rq01_stellar_classification,preliminary_score_v1,0.3866,19
w4_rq01_017,rq01_stellar_classification,preliminary_score_v1,0.3742,20
w4_rq02_012,rq02_stellar_parameters,preliminary_score_v1,0.4619,1
w4_rq02_019,rq02_stellar_parameters,preliminary_score_v1,0.4592,2
w4_rq02_007,rq02_stellar_parameters,preliminary_score_v1,0.4509,3
w4_rq02_016,rq02_stellar_parameters,preliminary_score_v1,0.4375,4
w4_rq02_020,rq02_stellar_parameters,preliminary_score_v1,0.4333,5
w4_rq02_003,rq02_stellar_parameters,preliminary_score_v1,0.4085,6
w4_rq02_005,rq02_stellar_parameters,preliminary_score_v1,0.404,7
w4_rq02_008,rq02_stellar_parameters,preliminary_score_v1,0.3971,8
w4_rq02_009,rq02_stellar_parameters,preliminary_score_v1,0.3968,9
w4_rq02_015,rq02_stellar_parameters,preliminary_score_v1,0.3955,10
w4_rq02_014,rq02_stellar_parameters,preliminary_score_v1,0.3776,11
w4_rq02_018,rq02_stellar_parameters,preliminary_score_v1,0.3703,12
w4_rq02_013,rq02_stellar_parameters,preliminary_score_v1,0.3677,13
w4_rq02_011,rq02_stellar_parameters,preliminary_score_v1,0.3624,14
w4_rq02_002,rq02_stellar_parameters,preliminary_score_v1,0.3547,15
w4_rq02_017,rq02_stellar_parameters,preliminary_score_v1,0.3453,16
w4_rq02_004,rq02_stellar_parameters,preliminary_score_v1,0.3369,17
w4_rq02_006,rq02_stellar_parameters,preliminary_score_v1,0.3014,18
w4_rq02_010,rq02_stellar_parameters,preliminary_score_v1,0.2932,19
w4_rq02_001,rq02_stellar_parameters,preliminary_score_v1,0.2594,20
w4_rq03_003,rq03_spectral_preprocessing,preliminary_score_v1,0.5901,1
w4_rq03_020,rq03_spectral_preprocessing,preliminary_score_v1,0.553,2
w4_rq03_008,rq03_spectral_preprocessing,preliminary_score_v1,0.54,3
w4_rq03_017,rq03_spectral_preprocessing,preliminary_score_v1,0.5348,4
w4_rq03_002,rq03_spectral_preprocessing,preliminary_score_v1,0.5216,5
w4_rq03_010,rq03_spectral_preprocessing,preliminary_score_v1,0.5102,6
w4_rq03_007,rq03_spectral_preprocessing,preliminary_score_v1,0.487,7
w4_rq03_019,rq03_spectral_preprocessing,preliminary_score_v1,0.4651,8
w4_rq03_018,rq03_spectral_preprocessing,preliminary_score_v1,0.4507,9
w4_rq03_014,rq03_spectral_preprocessing,preliminary_score_v1,0.4205,10
w4_rq03_009,rq03_spectral_preprocessing,preliminary_score_v1,0.4129,11
w4_rq03_005,rq03_spectral_preprocessing,preliminary_score_v1,0.4066,12
w4_rq03_016,rq03_spectral_preprocessing,preliminary_score_v1,0.3877,13
w4_rq03_011,rq03_spectral_preprocessing,preliminary_score_v1,0.3875,14
w4_rq03_015,rq03_spectral_preprocessing,preliminary_score_v1,0.3748,15
w4_rq03_013,rq03_spectral_preprocessing,preliminary_score_v1,0.3727,16
w4_rq03_012,rq03_spectral_preprocessing,preliminary_score_v1,0.3703,17
w4_rq03_001,rq03_spectral_preprocessing,preliminary_score_v1,0.3643,18
w4_rq03_004,rq03_spectral_preprocessing,preliminary_score_v1,0.3518,19
w4_rq03_006,rq03_spectral_preprocessing,preliminary_score_v1,0.3322,20
