annotation_id,openalex_id,source_query_ids,title,label,reason,object_type,task_type,matched_positive_terms,matched_negative_terms,evidence_source,annotator,review_status
w2_ann_001,https://openalex.org/W4395479208,w1_unified_sample,Stellar populations with optical spectra: deep learning versus popular spectrum fitting codes,高度相关,研究恒星光谱拟合，与恒星光谱检索任务相关,galaxy,parameter estimation,emission line;signal-to-noise ratio,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_002,https://openalex.org/W4389097389,w1_unified_sample,Machine learning applications in Jupiter-host star classification using stellar spectra,高度相关,利用恒星光谱做恒星分类，任务相关,star / stellar population,classification,stellar atmosphere;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_003,https://openalex.org/W3161623437,w1_unified_sample,Stellar Spectra Models Classification and Parameter Estimation Using Machine Learning Algorithms,高度相关,恒星光谱模型分类与参数估计，任务相关,star / stellar population,classification,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_004,https://openalex.org/W4200631758,w1_unified_sample,Mapping the Diversity of Galaxy Spectra with Deep Unsupervised Machine Learning,不相关,标题含spectra，但研究星系光谱，非恒星光谱检索，困难负例,galaxy,spectral fitting,spectral fitting;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_005,https://openalex.org/W4319592221,w1_unified_sample,Deducing neutron star equation of state parameters directly from telescope spectra with uncertainty-aware machine learning,不相关,标题含spectra，研究中子星物态方程，不属于恒星光谱检索，困难负例,neutron star,parameter estimation,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_006,https://openalex.org/W3081618654,w1_unified_sample,Assessing the performance of LTE and NLTE synthetic stellar spectra in a machine learning framework,高度相关,恒星合成光谱性能评估，任务相关,star / stellar population,parameter estimation,radial velocity;signal-to-noise ratio;effective temperature;surface gravity;machine learning;spectral resolution,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_007,https://openalex.org/W2907474932,w1_unified_sample,Star formation rates and stellar masses from machine learning,不相关,研究恒星形成率、恒星质量，不涉及光谱检索,galaxy,other / needs review,redshift;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_008,https://openalex.org/W4387321945,w1_unified_sample,Predicting the impact of feedback on matter clustering with machine learning in CAMELS,不相关,星系反馈模拟，和恒星光谱无关,galaxy,parameter estimation,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_009,https://openalex.org/W3036313178,w1_unified_sample,Stellar spectral interpolation using machine learning,高度相关,恒星光谱插值算法，任务相关,star / stellar population,parameter estimation,stellar atmosphere;surface gravity;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_010,https://openalex.org/W4284892148,w1_unified_sample,Unsupervised Learning for Stellar Spectra with Deep Normalizing Flows,高度相关,恒星光谱无监督学习，任务相关,star / stellar population,parameter estimation,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_011,https://openalex.org/W4281823699,w1_unified_sample,Mimicking the halo–galaxy connection using machine learning,不相关,标题含stellar，研究星系-暗物质晕关联，不涉及光谱检索，困难负例,galaxy,other / needs review,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_012,https://openalex.org/W4319662832,w1_unified_sample,The <i>Gaia</i>-ESO Survey: Chemical evolution of Mg and Al in the Milky Way with machine learning,高度相关,利用恒星光谱开展银河系化学演化研究，任务相关,galaxy,parameter estimation,spectral feature;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_013,https://openalex.org/W4384942767,w1_unified_sample,Identifying Symbiotic Stars with Machine Learning,高度相关,基于恒星光谱识别共生星，任务相关,galaxy,classification,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_014,https://openalex.org/W4384201335,w1_unified_sample,Machine learning in solar physics,不相关,标题含stellar相关范畴，研究太阳物理，不面向恒星光谱检索，困难负例,Sun,other / needs review,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_015,https://openalex.org/W4388221752,w1_unified_sample,Machine Learning Model for Leak Detection Using Water Pipeline Vibration Sensor,不相关,管道泄漏检测，完全无关,other / non-astronomy,other / needs review,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_016,https://openalex.org/W4225314923,w1_unified_sample,The GALAH Survey: A New Sample of Extremely Metal-Poor Stars Using A Machine Learning Classification Algorithm,高度相关,恒星金属丰度光谱分析，任务相关,star / stellar population,classification,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_017,https://openalex.org/W4353102922,w1_unified_sample,Estimating stellar parameters from LAMOST low-resolution spectra,高度相关,基于低分辨率恒星光谱估算恒星参数，任务相关,star / stellar population,parameter estimation,signal-to-noise ratio,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_018,https://openalex.org/W3101015041,w1_unified_sample,ODUSSEAS: a machine learning tool to derive effective temperature and metallicity for M dwarf stars,高度相关,M型矮星恒星参数光谱反演，任务相关,star / stellar population,parameter estimation,absorption line;signal-to-noise ratio;effective temperature;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_019,https://openalex.org/W3009249863,w1_unified_sample,Unveiling the distinct formation pathways of the inner and outer discs of the Milky Way with Bayesian Machine Learning,不相关,银河系星盘形成演化，不涉及光谱检索,star / stellar population,parameter estimation,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_020,https://openalex.org/W2920947047,w1_unified_sample,The Challenge of Machine Learning in Space Weather: Nowcasting and Forecasting,不相关,标题无直接光谱词汇，空间天气预报，普通负例,Sun,other / needs review,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_021,https://openalex.org/W4213268716,w1_unified_sample,Deep learning application for stellar parameters determination: I-constraining the hyperparameters,高度相关,深度学习获取恒星光谱参数，任务相关,star / stellar population,parameter estimation,signal-to-noise ratio;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_022,https://openalex.org/W4402976333,w1_unified_sample,Transferring spectroscopic stellar labels to 217 million <i>Gaia</i> DR3 XP stars with SHBoost,高度相关,恒星光谱标签迁移，任务相关,star / stellar population,parameter estimation,effective temperature;surface gravity;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_023,https://openalex.org/W4388821907,w1_unified_sample,Classification and parameterization of a large <i>Gaia</i> sample of white dwarfs using XP spectra,高度相关,白矮星光谱分类，任务相关,star / stellar population,classification,spectral classification;radial velocity;spectral fitting;effective temperature;surface gravity;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_024,https://openalex.org/W4391565937,w1_unified_sample,TESS Stellar Rotation up to 80 Days in the Southern Continuous Viewing Zone,高度相关,依靠恒星光谱测量恒星自转，任务相关,star / stellar population,parameter estimation,effective temperature,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_025,https://openalex.org/W4372215216,w1_unified_sample,Machine learning for observational cosmology,不相关,标题含stellar领域范畴，观测宇宙学研究，不涉及恒星光谱检索，困难负例,other / non-astronomy,survey analysis,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_026,https://openalex.org/W3101896622,w1_unified_sample,A Machine Learning Method to Infer Fundamental Stellar Parameters from Photometric Light Curves,不相关,依靠光变曲线而非光谱获取恒星参数,star / stellar population,parameter estimation,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_027,https://openalex.org/W3209534297,w1_unified_sample,Modelling the galaxy–halo connection with machine learning,不相关,标题含stellar相关天文范畴，星系暗晕模型，困难负例,galaxy,parameter estimation,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_028,https://openalex.org/W4205885782,w1_unified_sample,Automated Stellar Spectra Classification with Ensemble Convolutional Neural Network,高度相关,集成CNN实现恒星光谱自动分类，任务相关,star / stellar population,classification,principal component analysis;signal-to-noise ratio;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_029,https://openalex.org/W3043645409,w1_unified_sample,The miniJPAS survey: star-galaxy classification using machine learning,不相关,标题含star，区分恒星/星系图像，不处理恒星光谱，困难负例,galaxy,classification,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_030,https://openalex.org/W2977076818,w1_unified_sample,Galaxy morphological classification in deep-wide surveys via unsupervised machine learning,不相关,星系形态分类，无关恒星光谱,galaxy,classification,redshift;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_031,https://openalex.org/W3088227899,w1_unified_sample,Machines learn to infer stellar parameters just by looking at a large number of spectra,高度相关,机器学习推断恒星光谱参数，任务相关,star / stellar population,parameter estimation,radial velocity;effective temperature;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_032,https://openalex.org/W2406349003,w1_unified_sample,A survey of machine learning for big data processing,不相关,通用大数据机器学习综述，无关,other / non-astronomy,survey analysis,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_033,https://openalex.org/W4390907879,w1_unified_sample,Outshining by Recent Star Formation Prevents the Accurate Measurement of High-z Galaxy Stellar Masses,不相关,标题含stellar，高红移星系恒星质量，不涉及恒星光谱检索，困难负例,galaxy,spectral fitting,redshift,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_034,https://openalex.org/W2098458655,w1_unified_sample,"Prediction of stellar atmospheric parameters from spectra, spectral indices and spectral lines using machine learning",高度相关,恒星大气光谱参数预测，任务相关,star / stellar population,parameter estimation,absorption line;spectral feature;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_035,https://openalex.org/W3099811482,w1_unified_sample,An Active Instance-based Machine Learning method for Stellar Population Studies,不相关,标题含stellar，星系恒星族群研究，不涉及恒星光谱检索，困难负例,galaxy,parameter estimation,machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_036,https://openalex.org/W2375984290,w1_unified_sample,Stellar classification from single-band imaging using machine learning,不相关,单波段图像恒星分类，不使用光谱,star / stellar population,classification,principal component analysis;signal-to-noise ratio;machine learning,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_037,https://openalex.org/W2969767295,w1_unified_sample,Machine-learning Classifiers for Intermediate Redshift Emission-line Galaxies,不相关,标题无恒星光谱词汇，研究星系发射线，困难负例,galaxy,classification,redshift;emission line,,data/samples/openalex_stellar_spectra_100.csv,陈星妤（原 PR 标注）,原始人工判断已映射；结构字段待组长抽查
w2_ann_038,https://openalex.org/W2987499710,q02_classification,Application of convolutional neural networks for stellar spectral classification,高度相关,标题明确研究卷积神经网络用于恒星光谱分类。,star,classification,stellar spectrum;spectral classification;machine learning,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_039,https://openalex.org/W2078829410,q02_classification,Classification of Spectra of Emission Line Stars Using Machine Learning Techniques,高度相关,标题明确研究机器学习对发射线恒星光谱的分类。,emission-line star,classification,emission line;machine learning,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_040,https://openalex.org/W2121377740,q02_classification,Automated supervised classification of variable stars,待讨论,标题是变星监督分类，但仅凭当前元数据不能确认主要输入是否为光谱。,variable star,classification,spectral classification,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_041,https://openalex.org/W3155899199,q02_classification,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,不相关,研究无线通信调制识别，命中 machine learning 但不是天文光谱。,non-astronomy,classification,machine learning,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_042,https://openalex.org/W4306248068,q02_classification,"Machine learning in electron microscopy for advanced nanocharacterization: current developments, available tools and future outlook",不相关,研究电子显微镜纳米表征，不属于天文或恒星光谱。,non-astronomy,characterization,machine learning,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_043,https://openalex.org/W2969434441,q03_parameters,Deriving the Stellar Labels of LAMOST Spectra with the Stellar LAbel Machine (SLAM),高度相关,标题明确使用 Stellar LAbel Machine 从 LAMOST 光谱推导恒星标签。,star,parameter estimation,stellar spectrum;machine learning,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_044,https://openalex.org/W3216552048,q03_parameters,SUPPNet: Neural network for stellar spectrum normalisation,部分相关,研究神经网络恒星光谱归一化，属于参数估计前处理但不是参数估计本身。,star,normalization,stellar spectrum;normalization,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_045,https://openalex.org/W2999093079,q03_parameters,SPCANet: Stellar Parameters and Chemical Abundances Network for LAMOST-II Medium Resolution Survey,高度相关,标题明确从 LAMOST 中分辨率光谱预测恒星参数和化学丰度。,star,parameter estimation,stellar spectrum;metal abundance,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_046,https://openalex.org/W2953109615,q03_parameters,FliPer: A global measure of power density to estimate surface gravities of main-sequence solar-like stars and red giants,待讨论,研究由星震功率密度估计表面重力，相关物理量一致但数据类型不是常规恒星光谱。,star,surface gravity estimation,surface gravity,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_047,https://openalex.org/W3033299805,q04_preprocessing,Spectra-GANs: A New Automated Denoising Method for Low-S/N Stellar Spectra,高度相关,标题明确提出低信噪比恒星光谱自动降噪方法。,star,spectral denoising,stellar spectrum;spectral denoising,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_048,https://openalex.org/W3134861754,q04_preprocessing,A novel stellar spectrum denoising method based on deep Bayesian modeling,高度相关,标题明确研究基于深度贝叶斯模型的恒星光谱降噪。,star,spectral denoising,stellar spectrum;spectral denoising,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_049,https://openalex.org/W4284680505,q04_preprocessing,Identification of Mine Mixed Water Inrush Source Based on Genetic Algorithm and XGBoost Algorithm: A Case Study of Huangyuchuan Mine,不相关,研究矿井混合水突水源识别，属于非天文机器学习应用。,non-astronomy,source identification,machine learning,,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
w2_ann_050,https://openalex.org/W2607233176,q04_preprocessing,Unsupervised feature-learning for galaxy SEDs with denoising autoencoders,不相关,研究星系 SED 的降噪自编码表示，对象不是恒星光谱。,galaxy,feature learning,spectral denoising,galaxy spectrum,data/samples/w2/domain_query/live_query_sample.csv,AI-assisted-draft,待人工复核
