pair_id,research_query_id,final_label,min_method_id,min_rank,max_method_id,max_rank,rank_shift,example_role,boundary_type,error_type,source
w4_rq03_003,rq03_spectral_preprocessing,0,preliminary_score_v1,1,specter2_adhoc_v1,20,19,unclassified,,unclassified,
w4_rq01_014,rq01_stellar_classification,0,preliminary_score_v1,2,specter2_adhoc_v1,20,18,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_004
w4_rq02_019,rq02_stellar_parameters,0,preliminary_score_v1,2,specter2_adhoc_v1,20,18,unclassified,,unclassified,
w4_rq01_017,rq01_stellar_classification,2,specter2_adhoc_v1,3,preliminary_score_v1,20,17,unclassified,,unclassified,
w4_rq02_006,rq02_stellar_parameters,2,rrf_bm25_specter2_v1,1,preliminary_score_v1,18,17,unclassified,,unclassified,
w4_rq03_008,rq03_spectral_preprocessing,0,preliminary_score_v1,3,cross_encoder_msmarco_v1,20,17,unclassified,,unclassified,
w4_rq02_007,rq02_stellar_parameters,0,preliminary_score_v1,3,bm25_v1,19,16,unclassified,,unclassified,
w4_rq02_015,rq02_stellar_parameters,0,tfidf_two_stage_v1,3,specter2_adhoc_v1,19,16,unclassified,,unclassified,
w4_rq02_018,rq02_stellar_parameters,2,bm25_v1,2,tfidf_two_stage_v1,18,16,scope_in,,scope_in,data/analysis/w4_query_boundary_examples.csv#qb_009
w4_rq02_016,rq02_stellar_parameters,1,preliminary_score_v1,4,cross_encoder_msmarco_v1,19,15,unclassified,,unclassified,
w4_rq03_004,rq03_spectral_preprocessing,0,bm25_v1,4,preliminary_score_v1,19,15,unclassified,,unclassified,
w4_rq02_009,rq02_stellar_parameters,1,specter2_adhoc_v1,2,bm25_v1,16,14,unclassified,,unclassified,
w4_rq03_012,rq03_spectral_preprocessing,0,cross_encoder_msmarco_v1,3,preliminary_score_v1,17,14,hard_negative,downstream_task,downstream_task,data/analysis/w4_query_boundary_examples.csv#qb_017
w4_rq03_013,rq03_spectral_preprocessing,0,rrf_bm25_specter2_v1,2,preliminary_score_v1,16,14,unclassified,,unclassified,
w4_rq03_018,rq03_spectral_preprocessing,0,bm25_v1,2,tfidf_two_stage_v1,16,14,hard_negative,wrong_domain,wrong_domain,data/analysis/w4_query_boundary_examples.csv#qb_019
w4_rq01_012,rq01_stellar_classification,0,tfidf_two_stage_v1,6,specter2_adhoc_v1,19,13,unclassified,,unclassified,
w4_rq03_002,rq03_spectral_preprocessing,0,preliminary_score_v1,5,specter2_adhoc_v1,18,13,unclassified,,unclassified,
w4_rq02_014,rq02_stellar_parameters,0,cross_encoder_msmarco_v1,2,bm25_v1,14,12,hard_negative,classification_vs_regression,classification_vs_regression,data/analysis/w4_query_boundary_examples.csv#qb_011
w4_rq02_017,rq02_stellar_parameters,2,cross_encoder_msmarco_v1,4,preliminary_score_v1,16,12,unclassified,,unclassified,
w4_rq03_007,rq03_spectral_preprocessing,1,tfidf_two_stage_v1,6,cross_encoder_msmarco_v1,18,12,unclassified,,unclassified,
w4_rq01_002,rq01_stellar_classification,0,preliminary_score_v1,1,specter2_adhoc_v1,12,11,unclassified,,unclassified,
w4_rq01_011,rq01_stellar_classification,2,bm25_v1,5,tfidf_two_stage_v1,16,11,unclassified,,unclassified,
w4_rq02_005,rq02_stellar_parameters,0,preliminary_score_v1,7,specter2_adhoc_v1,18,11,unclassified,,unclassified,
w4_rq02_013,rq02_stellar_parameters,0,tfidf_two_stage_v1,6,rrf_bm25_specter2_v1,17,11,unclassified,,unclassified,
w4_rq03_005,rq03_spectral_preprocessing,0,cross_encoder_msmarco_v1,1,preliminary_score_v1,12,11,unclassified,,unclassified,
w4_rq03_017,rq03_spectral_preprocessing,0,preliminary_score_v1,4,tfidf_two_stage_v1,15,11,unclassified,,unclassified,
w4_rq01_010,rq01_stellar_classification,0,preliminary_score_v1,3,specter2_adhoc_v1,13,10,hard_negative,wrong_modality,wrong_modality,data/analysis/w4_query_boundary_examples.csv#qb_003
w4_rq01_019,rq01_stellar_classification,0,bm25_v1,1,specter2_adhoc_v1,11,10,unclassified,,unclassified,
w4_rq02_012,rq02_stellar_parameters,2,preliminary_score_v1,1,bm25_v1,11,10,scope_in,,scope_in,data/analysis/w4_query_boundary_examples.csv#qb_008
w4_rq02_020,rq02_stellar_parameters,0,bm25_v1,5,specter2_adhoc_v1,15,10,hard_negative,wrong_modality_no_ml,wrong_modality_no_ml,data/analysis/w4_query_boundary_examples.csv#qb_012
w4_rq03_010,rq03_spectral_preprocessing,0,tfidf_two_stage_v1,4,bm25_v1,14,10,unclassified,,unclassified,
