pair_id,research_query_id,method_id,score,rank
w4_rq01_001,rq01_stellar_classification,specter2_adhoc_v1,-13.7579306798,1
w4_rq01_016,rq01_stellar_classification,specter2_adhoc_v1,-13.774555053,2
w4_rq01_017,rq01_stellar_classification,specter2_adhoc_v1,-13.8901305343,3
w4_rq01_009,rq01_stellar_classification,specter2_adhoc_v1,-14.215873511,4
w4_rq01_006,rq01_stellar_classification,specter2_adhoc_v1,-14.3423859295,5
w4_rq01_015,rq01_stellar_classification,specter2_adhoc_v1,-14.3503045287,6
w4_rq01_008,rq01_stellar_classification,specter2_adhoc_v1,-14.3924450027,7
w4_rq01_013,rq01_stellar_classification,specter2_adhoc_v1,-14.4821937486,8
w4_rq01_007,rq01_stellar_classification,specter2_adhoc_v1,-14.7501841611,9
w4_rq01_011,rq01_stellar_classification,specter2_adhoc_v1,-14.7644386455,10
w4_rq01_019,rq01_stellar_classification,specter2_adhoc_v1,-14.9544068865,11
w4_rq01_002,rq01_stellar_classification,specter2_adhoc_v1,-15.0574095909,12
w4_rq01_010,rq01_stellar_classification,specter2_adhoc_v1,-15.4175140493,13
w4_rq01_004,rq01_stellar_classification,specter2_adhoc_v1,-15.7166013969,14
w4_rq01_020,rq01_stellar_classification,specter2_adhoc_v1,-16.2701392491,15
w4_rq01_018,rq01_stellar_classification,specter2_adhoc_v1,-16.4422780991,16
w4_rq01_005,rq01_stellar_classification,specter2_adhoc_v1,-16.4439749254,17
w4_rq01_003,rq01_stellar_classification,specter2_adhoc_v1,-16.6147913374,18
w4_rq01_012,rq01_stellar_classification,specter2_adhoc_v1,-16.957222014,19
w4_rq01_014,rq01_stellar_classification,specter2_adhoc_v1,-17.1302362391,20
w4_rq02_012,rq02_stellar_parameters,specter2_adhoc_v1,-14.1710883574,1
w4_rq02_009,rq02_stellar_parameters,specter2_adhoc_v1,-14.387245522,2
w4_rq02_006,rq02_stellar_parameters,specter2_adhoc_v1,-15.1952746393,3
w4_rq02_014,rq02_stellar_parameters,specter2_adhoc_v1,-15.2917706946,4
w4_rq02_008,rq02_stellar_parameters,specter2_adhoc_v1,-15.2921147203,5
w4_rq02_017,rq02_stellar_parameters,specter2_adhoc_v1,-15.5790214486,6
w4_rq02_003,rq02_stellar_parameters,specter2_adhoc_v1,-15.6179925885,7
w4_rq02_018,rq02_stellar_parameters,specter2_adhoc_v1,-15.7558400374,8
w4_rq02_016,rq02_stellar_parameters,specter2_adhoc_v1,-15.9247467449,9
w4_rq02_010,rq02_stellar_parameters,specter2_adhoc_v1,-16.072678383,10
w4_rq02_007,rq02_stellar_parameters,specter2_adhoc_v1,-16.1458567538,11
w4_rq02_004,rq02_stellar_parameters,specter2_adhoc_v1,-16.2341322863,12
w4_rq02_002,rq02_stellar_parameters,specter2_adhoc_v1,-16.2373627678,13
w4_rq02_011,rq02_stellar_parameters,specter2_adhoc_v1,-16.2373628329,14
w4_rq02_020,rq02_stellar_parameters,specter2_adhoc_v1,-16.2760890915,15
w4_rq02_013,rq02_stellar_parameters,specter2_adhoc_v1,-16.3251244096,16
w4_rq02_001,rq02_stellar_parameters,specter2_adhoc_v1,-16.4770889867,17
w4_rq02_005,rq02_stellar_parameters,specter2_adhoc_v1,-16.9535007163,18
w4_rq02_015,rq02_stellar_parameters,specter2_adhoc_v1,-17.0098128374,19
w4_rq02_019,rq02_stellar_parameters,specter2_adhoc_v1,-17.6552854389,20
w4_rq03_014,rq03_spectral_preprocessing,specter2_adhoc_v1,-14.3097528022,1
w4_rq03_005,rq03_spectral_preprocessing,specter2_adhoc_v1,-14.7408293279,2
w4_rq03_020,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.1155101753,3
w4_rq03_013,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.1656111086,4
w4_rq03_009,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.1687240431,5
w4_rq03_012,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.2052860009,6
w4_rq03_017,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.8188889259,7
w4_rq03_019,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.8316931735,8
w4_rq03_011,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.9349590325,9
w4_rq03_004,rq03_spectral_preprocessing,specter2_adhoc_v1,-15.9349593231,10
w4_rq03_010,rq03_spectral_preprocessing,specter2_adhoc_v1,-16.0900960964,11
w4_rq03_007,rq03_spectral_preprocessing,specter2_adhoc_v1,-16.2761755568,12
w4_rq03_001,rq03_spectral_preprocessing,specter2_adhoc_v1,-16.4082756147,13
w4_rq03_006,rq03_spectral_preprocessing,specter2_adhoc_v1,-16.4434202635,14
w4_rq03_018,rq03_spectral_preprocessing,specter2_adhoc_v1,-16.6102136936,15
w4_rq03_016,rq03_spectral_preprocessing,specter2_adhoc_v1,-16.7880999324,16
w4_rq03_008,rq03_spectral_preprocessing,specter2_adhoc_v1,-17.0022090619,17
w4_rq03_002,rq03_spectral_preprocessing,specter2_adhoc_v1,-17.0497251623,18
w4_rq03_015,rq03_spectral_preprocessing,specter2_adhoc_v1,-17.0737947955,19
w4_rq03_003,rq03_spectral_preprocessing,specter2_adhoc_v1,-17.6411105553,20
