pair_id,research_query_id,openalex_id,ai_label,confidence,reason,evidence_level,evidence_source,external_lookup_used,evidence_url,audit_status
w4_rq01_001,rq01_stellar_classification,https://openalex.org/W4293191352,0,high,"核心任务是区分 star、galaxy 和 quasar 的天体类别，不是以恒星光谱预测恒星光谱型或恒星类型。",A,title_abstract,false,,blind_completed
w4_rq01_002,rq01_stellar_classification,https://openalex.org/W2778437674,0,high,"研究对象是星系形态，输入为测光与形态参数；既非恒星光谱，也非恒星类型识别。",A,title_abstract,false,,blind_completed
w4_rq01_003,rq01_stellar_classification,https://openalex.org/W3113695400,0,high,"论文测量并分析 FGK 星的色球活动与变异，没有把机器学习用于恒星光谱分类。",A,title_abstract,false,,blind_completed
w4_rq01_004,rq01_stellar_classification,https://openalex.org/W2567715800,2,high,"以 GALAH 恒星光谱为输入，用 t-SNE 辅助识别并分类正常、特殊和问题光谱形态，分类是核心任务。",A,title_abstract,false,,blind_completed
w4_rq01_005,rq01_stellar_classification,https://openalex.org/W2006224949,0,high,"研究 Kepler 亮度时序中的行星凌星与发生率，不处理恒星光谱分类。",A,title_abstract,false,,blind_completed
w4_rq01_006,rq01_stellar_classification,https://openalex.org/W4384201335,0,high,"这是太阳物理机器学习的宽泛综述，摘要未给出以恒星光谱进行恒星类型分类的核心任务。",A,title_abstract,false,,blind_completed
w4_rq01_007,rq01_stellar_classification,https://openalex.org/W1663830336,0,high,"The Cannon 从光谱推断大气参数和丰度标签，核心是连续参数估计而非恒星类型分类。",A,title_abstract,false,,blind_completed
w4_rq01_008,rq01_stellar_classification,https://openalex.org/W2921395996,2,high,"以恒星光谱为输入，经归一化后用随机森林分类，并评估光谱特征；与 RQ 直接对应。",A,title_abstract,false,,blind_completed
w4_rq01_009,rq01_stellar_classification,https://openalex.org/W3043645409,0,high,"输入是多波段测光和形态参数，任务是 star/galaxy 点源与延展源分类，不是恒星光谱型分类。",A,title_abstract,false,,blind_completed
w4_rq01_010,rq01_stellar_classification,https://openalex.org/W3121170300,0,high,"随机森林用于 Kepler 光变曲线的旋转信号检测和周期选择，数据模态与目标任务均不符。",A,title_abstract,false,,blind_completed
w4_rq01_011,rq01_stellar_classification,https://openalex.org/W2777402735,2,high,"机器学习从七百多万条 LAMOST 光谱中识别碳星，并依据光谱特征划分多个碳星亚型。",A,title_abstract,false,,blind_completed
w4_rq01_012,rq01_stellar_classification,https://openalex.org/W2406349003,0,high,"一般性机器学习与大数据综述，没有恒星光谱或恒星类型识别任务。",A,title_abstract,false,,blind_completed
w4_rq01_013,rq01_stellar_classification,https://openalex.org/W2127375519,0,high,"输入是测光亮度变化与颜色，输出是 Teff、log g 和 [Fe/H]，既非光谱输入也非分类任务。",A,title_abstract,false,,blind_completed
w4_rq01_014,rq01_stellar_classification,https://openalex.org/W3155899199,0,high,"研究无线通信中的调制识别，文中的 spectrum 指无线电频谱而非恒星光谱。",A,title_abstract,false,,blind_completed
w4_rq01_015,rq01_stellar_classification,https://openalex.org/W2899864468,0,high,"随机森林的实际输入是多波段颜色，任务为 star/galaxy/QSO 分类及温度回归，不是恒星光谱型识别。",A,title_abstract,false,,blind_completed
w4_rq01_016,rq01_stellar_classification,https://openalex.org/W4312712330,0,medium,"尽管摘要泛称 spectral features，明确输出只是 Galaxy 与 Star 的天体类别，不是恒星光谱型或恒星亚型。",A,title_abstract,false,,blind_completed
w4_rq01_017,rq01_stellar_classification,https://openalex.org/W2078829410,2,high,"原论文摘要说明用机器学习分析发射线星光谱，自动识别 Be/B[e] 星并分类其类型，直接符合 RQ。",B,title_abstract;publisher,true,https://www.mi-research.net/cn/article/id/32d80f01-fc5f-444f-b93c-20e9df006701,blind_completed
w4_rq01_018,rq01_stellar_classification,https://openalex.org/W4306248068,0,high,"主题是电子显微镜中的机器学习；天文学只作为背景领域出现。",A,title_abstract,false,,blind_completed
w4_rq01_019,rq01_stellar_classification,https://openalex.org/W2375984290,0,high,"虽预测恒星光谱型，但输入是单波段成像的衍射图样而非恒星光谱，属于明确的 wrong modality。",A,title_abstract,false,,blind_completed
w4_rq01_020,rq01_stellar_classification,https://openalex.org/W2611629499,0,high,"研究星系中的 AGN 吸积率分布，没有机器学习恒星光谱分类任务。",A,title_abstract,false,,blind_completed
w4_rq02_001,rq02_stellar_parameters,https://openalex.org/W1653774948,0,high,"主题是恒星爆炸中的核合成，不是从观测恒星光谱进行机器学习参数推断。",A,title_abstract,false,,blind_completed
w4_rq02_002,rq02_stellar_parameters,https://openalex.org/W3106471209,0,high,"t-SNE 分析的是已经得到的化学丰度空间，用于族群结构和 chemical tagging，并不从光谱估计参数。",A,title_abstract,false,,blind_completed
w4_rq02_003,rq02_stellar_parameters,https://openalex.org/W2594445930,1,medium,"论文核心是经验恒星光谱模板库，并提供自动识别光谱型与金属丰度的代码；与参数推断有实质交集，但 ML 推断不是唯一核心贡献。",A,title_abstract,false,,blind_completed
w4_rq02_004,rq02_stellar_parameters,https://openalex.org/W2211251945,2,high,"论文以 Gaia RVS 恒星光谱恢复 Teff、log g、[M/H] 等，并明确比较含人工神经网络在内的参数化方法。",B,title_abstract;arxiv,true,https://arxiv.org/abs/1510.00111,blind_completed
w4_rq02_005,rq02_stellar_parameters,https://openalex.org/W3107253413,0,high,"光谱与高斯过程用于活动过滤、径向速度和行星质量研究，不是估计恒星大气参数。",A,title_abstract,false,,blind_completed
w4_rq02_006,rq02_stellar_parameters,https://openalex.org/W2043055070,2,high,"对恒星光谱库做 PCA，并用标准星校准主成分到有效温度的映射，核心输出是 Teff。",B,title_abstract;publisher,true,https://www.aanda.org/articles/aa/abs/2013/05/aa20961-12/aa20961-12.html,blind_completed
w4_rq02_007,rq02_stellar_parameters,https://openalex.org/W2797439311,0,high,"由多历元径向速度寻找伴星并拟合轨道参数，不是从光谱推断 Teff、log g、丰度等恒星参数。",A,title_abstract,false,,blind_completed
w4_rq02_008,rq02_stellar_parameters,https://openalex.org/W2032231736,2,high,"从 SDSS/SEGUE 观测光谱用非线性回归直接估计 Teff、log g 和 [Fe/H]，与 RQ 完全对应。",A,title_abstract,false,,blind_completed
w4_rq02_009,rq02_stellar_parameters,https://openalex.org/W2900811782,1,medium,"综述恒星光谱化学丰度的自动化确定与校准，并讨论 data-driven 方法；相关性真实但机器学习只是更宽流程的一部分。",A,title_abstract,false,,blind_completed
w4_rq02_010,rq02_stellar_parameters,https://openalex.org/W2072609734,0,high,"研究系外行星透射光谱和凌星光变噪声，输出行星大气约束而非恒星参数。",A,title_abstract,false,,blind_completed
