pair_id,research_query_id,research_question_zh,research_question_en,acquisition_query_id,openalex_id,title,abstract,landing_page_url,publication_year,doi,source_query_ids,source_run_ids,pool_version,selection_bucket
w4_rq01_001,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W4293191352,Stellar Classification by Machine Learning,"As an emerging subject with strong comprehensiveness, machine learning has made varying degrees of progress in various fields. In the field of astronomy, it has also been generally used, and there have been quantities of research using machine learning for data processing and model prediction. The paper has used three algorithms (Decision Tree, Random Forest and Support Vector Machine) to build prediction models to classify stars, galaxies, and quasars in the universe and make a comparison among three models. The results of the test have shown that the prediction accuracy of the Random Forest model reaches roughly 98 percent with a great computing efficiency, which performs the best.",https://doi.org/10.1051/shsconf/202214403006,2022,10.1051/shsconf/202214403006,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",w4_pilot_v0.1,top
w4_rq01_002,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W2778437674,Machine learning technique for morphological classification of galaxies from the SDSS,"Context. Machine learning methods are effective tools in astronomical tasks for classifying objects by their individual features. One of the promising utilities is related to the morphological classification of galaxies at different redshifts. Aims. We use the photometry-based approach for the SDSS data (1) to exploit five supervised machine learning techniques and define the most effective among them for the automated galaxy morphological classification; (2) to test the influence of photometry data on morphology classification; (3) to discuss problem points of supervised machine learning and labeling bias; and (4) to apply the best fitting machine learning methods for revealing the unknown morphological types of galaxies from the SDSS DR9 at z &lt; 0.1. Methods. We used different galaxy classification techniques: human labeling, multi-photometry diagrams, naive Bayes, logistic regression, support-vector machine, random forest, k -nearest neighbors. Results. We present the results of a binary automated morphological classification of galaxies conducted by human labeling, multi-photometry, and five supervised machine learning methods. We applied it to the sample of galaxies from the SDSS DR9 with redshifts of 0.02 &lt; z &lt; 0.1 and absolute stellar magnitudes of −24 m &lt; M r &lt; −19.4 m . For the analysis we used absolute magnitudes M u , M g , M r , M i , M z ; color indices M u − M r , M g − M i , M u − M g , M r − M z ; and the inverse concentration index to the center R 50/ R 90. We determined the ability of each method to predict the morphological type, and verified various dependencies of the method’s accuracy on redshifts, human labeling, morphological shape, and overlap of different morphological types for galaxies with the same color indices. We find that the morphology based on the supervised machine learning methods trained over photometric parameters demonstrates significantly less bias than the morphology based on citizen-science classifiers. Conclusions. The support-vector machine and random forest methods with Scikit-learn software machine learning library in Python provide the highest accuracy for the binary galaxy morphological classification. Specifically, the success rate is 96.4% for support-vector machine (96.1% early E and 96.9% late L types) and 95.5% for random forest (96.7% early E and 92.8% late L types). Applying the support-vector machine for the sample of 316 031 galaxies from the SDSS DR9 at z &lt; 0.1 with unknown morphological types, we found 139 659 E and 176 372 L types among them.",https://doi.org/10.1051/0004-6361/202038981,2021,10.1051/0004-6361/202038981,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",w4_pilot_v0.1,rank_shift
w4_rq01_003,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W3113695400,Stellar chromospheric activity of 1674 FGK stars from the AMBRE-HARPS sample,"Aims. The main objective of this project is to characterise chromospheric activity of FGK stars from the HARPS archive. We start, in this first paper, by presenting a catalogue of homogeneously determined chromospheric emission (CE), stellar atmospheric parameters, and ages for 1674 FGK main sequence (MS), subgiant, and giant stars. The analysis of CE level and variability is also performed. Methods. We measured CE in the Ca II H&amp;K lines using more than 180 000 high-resolution spectra from the HARPS spectrograph, as compiled in the AMBRE project, obtained between 2003 and 2019. We converted the fluxes to bolometric and photospheric corrected chromospheric emission ratio, R HK ′ . Stellar atmospheric parameters T eff , log g , and [Fe/H] were retrieved from the literature or determined using a homogeneous method. M ⋆ , R ⋆ , and ages were determined from isochrone fitting. Results. We show that our sample has a distribution of CE for MS stars that is consistent with an unbiased sample of solar-neighbour MS stars. We analysed the CE distribution for the different luminosity classes and spectral types and confirmed the existence of the very inactive (VI) star and very active star populations at log R HK ′ &lt; −5.1 and &gt; − 4.2 dex, respectively. We found indications that the VI population is composed mainly of subgiant and giant stars and that log R HK ′ = −5.1 dex marks a transition in stellar evolution. Overall, CE variability decreases with decreasing CE level but its distribution is complex. There appears to be at least three regimes of variability for inactive, active, and very active stars, with the inactive and active regimes separated by a diagonal, extended Vaughan-Preston (VP) gap. We show that stars with low activity levels do not necessarily have low variability. In the case of K dwarfs, which show high CE variability, inactive and active stars have similar levels of activity variability. This means that activity levels alone are not enough to infer the activity variability of a star. We also explain the shape of the VP gap observed in the distribution of CE using the CE variability-level diagram. In the CE variability-level diagram, the Sun is located in the high-variability region of the inactive MS stars zone. A method to extract the probability density function of the CE variability for a given log R HK ′ level is discussed, and a python code to retrieve it is provided.",https://doi.org/10.1051/0004-6361/202039765,2020,10.1051/0004-6361/202039765,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",w4_pilot_v0.1,rank_shift
w4_rq01_004,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W2567715800,The Galah Survey: Classification and Diagnostics with t-SNE Reduction of Spectral Information,"Abstract Galah is an ongoing high-resolution spectroscopic survey with the goal of disentangling the formation history of the Milky Way using the fossil remnants of disrupted star formation sites that are now dispersed around the Galaxy. It is targeting a randomly selected magnitude-limited ( V ≤ 14) sample of stars, with the goal of observing one million objects. To date, 300,000 spectra have been obtained. Not all of them are correctly processed by parameter estimation pipelines, and we need to know about them. We present a semi-automated classification scheme that identifies different types of peculiar spectral morphologies in an effort to discover and flag potentially problematic spectra and thus help to preserve the integrity of the survey results. To this end, we employ the recently developed dimensionality reduction technique t-SNE ( t -distributed stochastic neighbor embedding), which enables us to represent the complex spectral morphology in a two-dimensional projection map while still preserving the properties of the local neighborhoods of spectra. We find that the majority (178,483) of the 209,533 Galah spectra considered in this study represents normal single stars, whereas 31,050 peculiar and problematic spectra with very diverse spectral features pertaining to 28,579 stars are distributed into 10 classification categories: hot stars, cool metal-poor giants, molecular absorption bands, binary stars, H α /H β emission, H α /H β emission superimposed on absorption, H α /H β P-Cygni, H α /H β inverted P-Cygni, lithium absorption, and problematic. Classified spectra with supplementary information are presented in the catalog, indicating candidates for follow-up observations and population studies of the short-lived phases of stellar evolution.",https://doi.org/10.3847/1538-4365/228/2/24,2017,10.3847/1538-4365/228/2/24,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",w4_pilot_v0.1,bottom
w4_rq01_005,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W2006224949,Prevalence of Earth-size planets orbiting Sun-like stars,"Determining whether Earth-like planets are common or rare looms as a touchstone in the question of life in the universe. We searched for Earth-size planets that cross in front of their host stars by examining the brightness measurements of 42,000 stars from National Aeronautics and Space Administration's Kepler mission. We found 603 planets, including 10 that are Earth size ( ) and receive comparable levels of stellar energy to that of Earth (1 - 2 R[Symbol: see text] ). We account for Kepler's imperfect detectability of such planets by injecting synthetic planet-caused dimmings into the Kepler brightness measurements and recording the fraction detected. We find that 11 ± 4% of Sun-like stars harbor an Earth-size planet receiving between one and four times the stellar intensity as Earth. We also find that the occurrence of Earth-size planets is constant with increasing orbital period (P), within equal intervals of logP up to ~200 d. Extrapolating, one finds 5.7(-2.2)(+1.7)% of Sun-like stars harbor an Earth-size planet with orbital periods of 200-400 d.",https://doi.org/10.1073/pnas.1319909110,2013,10.1073/pnas.1319909110,"[""q02_classification"",""q03_parameters""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144349256507_live_pr31-q02_stellar-spectrum-effective-temperature-surface-g_n30_3f6cf2""]",w4_pilot_v0.1,bottom
w4_rq01_006,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W4384201335,Machine learning in solar physics,"Abstract The application of machine learning in solar physics has the potential to greatly enhance our understanding of the complex processes that take place in the atmosphere of the Sun. By using techniques such as deep learning, we are now in the position to analyze large amounts of data from solar observations and identify patterns and trends that may not have been apparent using traditional methods. This can help us improve our understanding of explosive events like solar flares, which can have a strong effect on the Earth environment. Predicting hazardous events on Earth becomes crucial for our technological society. Machine learning can also improve our understanding of the inner workings of the sun itself by allowing us to go deeper into the data and to propose more complex models to explain them. Additionally, the use of machine learning can help to automate the analysis of solar data, reducing the need for manual labor and increasing the efficiency of research in this field.",https://doi.org/10.1007/s41116-023-00038-x,2023,10.1007/s41116-023-00038-x,"[""q02_classification"",""q04_preprocessing""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3"",""20260808_144352575552_live_pr31-q03_stellar-spectrum-spectral-denoising-normalizatio_n30_e4e706""]",w4_pilot_v0.1,top
w4_rq01_007,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W1663830336,<i>THE CANNON</i>: A DATA-DRIVEN APPROACH TO STELLAR LABEL DETERMINATION,"New spectroscopic surveys offer the promise of stellar parameters and abundances (""stellar labels"") for hundreds of thousands of stars; this poses a formidable spectral modeling challenge. In many cases, there is a subset of reference objects for which the stellar labels are known with high(er) fidelity. We take advantage of this with The Cannon , a new data-driven approach for determining stellar labels from spectroscopic data. The Cannon learns from the ""known"" labels of reference stars how the continuum-normalized spectra depend on these labels by fitting a flexible model at each wavelength; then, The Cannon uses this model to derive labels for the remaining survey stars. We illustrate The Cannon by training the model on only 542 stars in 19 clusters as reference objects, with , , and as the labels, and then applying it to the spectra of 55,000 stars from APOGEE DR10. The Cannon is very accurate. Its stellar labels compare well to the stars for which APOGEE pipeline ( ASPCAP ) labels are provided in DR10, with rms differences that are basically identical to the stated ASPCAP uncertainties. Beyond the reference labels, The Cannon makes no use of stellar models nor any line-list, but needs a set of reference objects that span label-space. The Cannon performs well at lower signal-to-noise, as it delivers comparably good labels even at one-ninth the APOGEE observing time. We discuss the limitations of The Cannon and its future potential, particularly, to bring different spectroscopic surveys onto a consistent scale of stellar labels.",https://doi.org/10.1088/0004-637x/808/1/16,2015,10.1088/0004-637x/808/1/16,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",w4_pilot_v0.1,middle
w4_rq01_008,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W2921395996,Stellar spectral classification and feature evaluation based on a random forest,"Abstract With the availability of multi-object spectrometers and the design and operation of some large scale sky surveys, the issue of how to deal with enormous quantities of spectral data efficiently and accurately is becoming more and more important. This work investigates the classification problem of stellar spectra under the assumption that there is no perfect absolute flux calibration, for example, when considering spectra from the Guo Shou Jing Telescope (the Large Sky Area Multi-Object Fiber Spectroscopic Telescope, LAMOST). The proposed scheme consists of the following two procedures: Firstly, a spectrum is normalized based on a 17th order polynomial fitting; secondly, a random forest (RF) is utilized to classify the stellar spectra. Experiments on four stellar spectral libraries show that the RF has good classification performance. This work also studied the spectral feature evaluation problem based on RF. The evaluation is helpful in understanding the results of the proposed stellar classification scheme and exploring its potential improvements in the future.",https://doi.org/10.1088/1674-4527/19/8/111,2019,10.1088/1674-4527/19/8/111,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",w4_pilot_v0.1,middle
w4_rq01_009,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W3043645409,The miniJPAS survey: star-galaxy classification using machine learning,"Context. Future astrophysical surveys such as J-PAS will produce very large datasets, the so-called “big data”, which will require the deployment of accurate and efficient machine-learning (ML) methods. In this work, we analyze the miniJPAS survey, which observed about ∼1 deg 2 of the AEGIS field with 56 narrow-band filters and 4 u g r i broad-band filters. The miniJPAS primary catalog contains approximately 64 000 objects in the r detection band (mag A B ≲ 24), with forced-photometry in all other filters. Aims. We discuss the classification of miniJPAS sources into extended (galaxies) and point-like (e.g., stars) objects, which is a step required for the subsequent scientific analyses. We aim at developing an ML classifier that is complementary to traditional tools that are based on explicit modeling. In particular, our goal is to release a value-added catalog with our best classification. Methods. In order to train and test our classifiers, we cross-matched the miniJPAS dataset with SDSS and HSC-SSP data, whose classification is trustworthy within the intervals 15 ≤ r ≤ 20 and 18.5 ≤ r ≤ 23.5, respectively. We trained and tested six different ML algorithms on the two cross-matched catalogs: K-nearest neighbors, decision trees, random forest (RF), artificial neural networks, extremely randomized trees (ERT), and an ensemble classifier. This last is a hybrid algorithm that combines artificial neural networks and RF with the J-PAS stellar and galactic loci classifier. As input for the ML algorithms we used the magnitudes from the 60 filters together with their errors, with and without the morphological parameters. We also used the mean point spread function in the r detection band for each pointing. Results. We find that the RF and ERT algorithms perform best in all scenarios. When the full magnitude range of 15 ≤ r ≤ 23.5 is analyzed, we find an area under the curve AUC = 0.957 with RF when photometric information alone is used, and AUC = 0.986 with ERT when photometric and morphological information is used together. When morphological parameters are used, the full width at half maximum is the most important feature. When photometric information is used alone, we observe that broad bands are not necessarily more important than narrow bands, and errors (the width of the distribution) are as important as the measurements (central value of the distribution). In other words, it is apparently important to fully characterize the measurement. Conclusions. ML algorithms can compete with traditional star and galaxy classifiers; they outperform the latter at fainter magnitudes ( r ≳ 21). We use our best classifiers, with and without morphology, in order to produce a value-added catalog.",https://doi.org/10.1051/0004-6361/202038986,2020,10.1051/0004-6361/202038986,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",w4_pilot_v0.1,middle
w4_rq01_010,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,q02_classification,https://openalex.org/W3121170300,ROOSTER: a machine-learning analysis tool for <i>Kepler</i> stellar rotation periods,"In order to understand stellar evolution, it is crucial to efficiently determine stellar surface rotation periods. Indeed, while they are of great importance in stellar models, angular momentum transport processes inside stars are still poorly understood today. Surface rotation, which is linked to the age of the star, is one of the constraints needed to improve the way those processes are modelled. Statistics of the surface rotation periods for a large sample of stars of different spectral types are thus necessary. An efficient tool to automatically determine reliable rotation periods is needed when dealing with large samples of stellar photometric datasets. The objective of this work is to develop such a tool. For this purpose, machine learning classifiers constitute relevant bases to build our new methodology. Random forest learning abilities are exploited to automate the extraction of rotation periods in Kepler light curves. Rotation periods and complementary parameters are obtained via three different methods: a wavelet analysis, the autocorrelation function of the light curve, and the composite spectrum. We trained three different classifiers: one to detect if rotational modulations are present in the light curve, one to flag close binary or classical pulsators candidates that can bias our rotation period determination, and finally one classifier to provide the final rotation period. We tested our machine learning pipeline on 23 431 stars of the Kepler K and M dwarf reference rotation catalogue for which 60% of the stars have been visually inspected. For the sample of 21 707 stars where all the input parameters are provided to the algorithm, 94.2% of them are correctly classified (as rotating or not). Among the stars that have a rotation period in the reference catalogue, the machine learning provides a period that agrees within 10% of the reference value for 95.3% of the stars. Moreover, the yield of correct rotation periods is raised to 99.5% after visually inspecting 25.2% of the stars. Over the two main analysis steps, rotation classification and period selection, the pipeline yields a global agreement with the reference values of 92.1% and 96.9% before and after visual inspection. Random forest classifiers are efficient tools to determine reliable rotation periods in large samples of stars. The methodology presented here could be easily adapted to extract surface rotation periods for stars with different spectral types or observed by other instruments such as K2, TESS or by PLATO in the near future.",https://doi.org/10.1051/0004-6361/202039947,2021,10.1051/0004-6361/202039947,"[""q02_classification""]","[""20260808_144344224124_live_pr31-q01_stellar-spectrum-spectral-classification-machine_n30_dae3d3""]",w4_pilot_v0.1,middle
