keyword,run_id,openalex_id,doi,title,authors,publication_year,source_name,landing_page_url,cited_by_count,abstract,retrieved_at
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W2159691951,https://doi.org/10.12942/lrsp-2005-8,Starspots: A Key to the Stellar Dynamo,S. V. Berdyugina,2005,Living Reviews in Solar Physics,https://doi.org/10.12942/lrsp-2005-8,497,"Magnetic activity similar to that of the Sun is observed on a variety of cool stars with external convection envelopes. Stellar rotation coupled with convective motions generate strong magnetic fields in the stellar interior and produce a multitude of magnetic phenomena including starspots in the photosphere, chromospheric plages, coronal loops, UV, X-ray, and radio emission and flares. Here I review the phenomenon of starspots on different types of cool stars, observational tools and diagnostic techniques for studying starspots as well as starspot properties including their temperatures, areas, magnetic field strengths, lifetimes, active latitudes and longitudes, etc. Evolution of starspots on various time scales allows us to investigate stellar differential rotation, activity cycles, and global magnetic fields. Together these constitute the basis for our understanding of stellar and solar dynamos and provide valuable constraints for theoretical models.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W3017279354,https://doi.org/10.1051/0004-6361/202038192,Painting a portrait of the Galactic disc with its stellar clusters,T. Cantat-Gaudin; F. Anders; A. Castro-Ginard; C. Jordi; M. Romero-Gómez; C. Soubiran; L. Casamiquela; Y. Tarricq; A. Moitinho; A. Vallenari; A. Bragaglia; A. Krone-Martins; Marina Kounkel,2020,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202038192,545,"Context. The large astrometric and photometric survey performed by the Gaia mission allows for a panoptic view of the Galactic disc and its stellar cluster population. Hundreds of stellar clusters were only discovered after the latest Gaia data release (DR2) and have yet to be characterised. Aims. Here we make use of the deep and homogeneous Gaia photometry down to G = 18 to estimate the distance, age, and interstellar reddening for about 2000 stellar clusters identified with Gaia DR2 astrometry. We use these objects to study the structure and evolution of the Galactic disc. Methods. We relied on a set of objects with well-determined parameters in the literature to train an artificial neural network to estimate parameters from the Gaia photometry of cluster members and their mean parallax. Results. We obtain reliable parameters for 1867 clusters. Our catalogue confirms the relative lack of old stellar clusters in the inner disc (with a few notable exceptions). We also quantify and discuss the variation of scale height with cluster age, and we detect the Galactic warp in the distribution of old clusters. Conclusions. This work results in a large and homogeneous cluster catalogue, allowing one to trace the structure of the disc out to distances of ∼4 kpc. However, the present sample is still unable to trace the outer spiral arm of the Milky Way, which indicates that the outer disc cluster census might still be incomplete.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W2899775349,https://doi.org/10.1093/mnras/sty3135,SDSS-IV MaNGA PyMorph Photometric and Deep Learning Morphological Catalogues and implications for bulge properties and stellar angular momentum,J.‐U. Fischer; H. Domínguez Sánchez; Mariangela Bernardi,2018,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1093/mnras/sty3135,104,"We describe the Sloan Digital Sky Survey IV (SDSS-IV) MaNGA (Mapping Nearby Galaxies at Apache Point Observatory) PyMorph Photometric (MPP-VAC) and MaNGA Deep Learning Morphology (MDLM-VAC) Value Added Catalogues. The MPP-VAC provides photometric parameters from Sérsic and Sérsic + Exponential fits to the 2D surface brightness profiles of the MaNGA Data Release 15 (DR15) galaxy sample. Compared to previous pymorph analyses of SDSS imaging, our analysis of the MaNGA DR15 incorporates three improvements: the most recent SDSS images; modified criteria for determining bulge-to-disc decompositions; and the fits in MPP-VAC have been eye-balled, and re-fit if necessary, for additional reliability. A companion catalogue, the MDLM-VAC, provides Deep Learning-based morphological classifications for the same galaxies. The MDLM-VAC includes a number of morphological properties (e.g. a TType, and a finer separation between elliptical and S0 galaxies). Combining the MPP- and MDLM-VACs allows to show that the MDLM morphological classifications are more reliable than previous work. It also shows that single-Sérsic fits to late- and early-type galaxies are likely to return Sérsic indices of n ≤ 2 and ≥4, respectively, and this correlation between n and morphology extends to the bulge component as well. While the former is well known, the latter contradicts some recent work suggesting little correlation between n-bulge and morphology. Combining both VACs with MaNGA’s spatially resolved spectroscopy allows us to study how the stellar angular momentum depends on morphological type. We find correlations between stellar kinematics, photometric properties, and morphological type even though the spectroscopic data played no role in the construction of the MPP- and MDLM-VACs.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W2949721139,https://doi.org/10.1007/s00159-013-0061-8,The Milky Way’s stellar disk,Hans-Walter Rix; Jo Bovy,2013,The Astronomy and Astrophysics Review,https://doi.org/10.1007/s00159-013-0061-8,242,"A suite of vast stellar surveys mapping the Milky Way, culminating in the Gaia mission, is revolutionizing the empirical information about the distribution and properties of stars in the Galactic stellar disk. We review and lay out what analysis and modeling machinery needs to be in place to test mechanism of disk galaxy evolution and to stringently constrain the Galactic gravitational potential, using such Galactic star-by-star measurements. We stress the crucial role of stellar survey selection functions in any such modeling; and we advocate the utility of viewing the Galactic stellar disk as made up of ‘mono-abundance populations’ (MAPs), both for dynamical modeling and for constraining the Milky Way’s evolutionary processes. We review recent work on the spatial and kinematical distribution of MAPs, and point out how further study of MAPs in the Gaia era should lead to a decisively clearer picture of the Milky Way’s dark-matter distribution and formation history.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W2991321477,https://doi.org/10.1051/0004-6361/201936691,Clusters and mirages: cataloguing stellar aggregates in the Milky Way,T. Cantat-Gaudin; F. Anders,2019,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201936691,290,"Context. Many of the open clusters listed in modern catalogues were initially reported by visual astronomers as apparent overdensities of bright stars. As observational techniques and analysis methods continue to improve, some of them have been shown to be chance alignments of stars and not true clusters. Recent publications making use of Gaia DR2 data have provided membership lists for over a thousand clusters, however, many nearby objects listed in the literature have so far evaded detection. Aims. We aim to update the Gaia DR2 cluster census by performing membership determinations for known clusters that had been missed by previous studies and for recently-discovered clusters. We investigate a sub-set of non-detected clusters that, according to their literature parameters, should be easily visible in Gaia . Confirming or disproving the existence of old, inner-disc, high-altitude clusters is especially important as their survival or disruption is linked to the dynamical processes that drive the evolution of the Milky Way. Methods. We employed the Gaia DR2 catalogue and a membership assignment procedure, as well as visual inspections of spatial, proper motion, and parallax distributions. We used membership lists provided by other authors when available. Results. We derived membership lists for 150 objects, including ten that were already known prior to Gaia . We compiled a final list of members for 1481 clusters. Among the objects that we are still unable to identify with the Gaia data, we argue that many (mostly putatively old, relatively nearby, high-altitude objects) are not true clusters. Conclusions. At present, the only confirmed cluster located further than 500 pc away from the Galactic plane within the Solar circle is NGC 6791. It is likely that the objects discussed in this study only represent a fraction of the non-physical groupings erroneously listed in the catalogues as genuine open clusters and that those lists need further cleaning.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W4376115962,https://doi.org/10.1051/0004-6361/202245581,COSMOS2020: The galaxy stellar mass function,John R. Weaver; I. Davidzon; Sune Toft; O. Ilbert; H. J. McCracken; Katriona M. L. Gould; Christian Kragh Jespersen; Charles L. Steinhardt; Claudia del P. Lagos; P. Capak; C. M. Casey; N. Chartab; Andreas L. Faisst; Christopher C. Hayward; Jeyhan S. Kartaltepe; O. B. Kauffmann; Anton M. Koekemoer; Vasily Kokorev; C. Laigle; Daizhong Liu; A. Long; G. Magdis; Conor McPartland; B. Milvang-Jensen; Bahram Mobasher; A. Moneti; Yingjie Peng; D. B. Sanders; Marko Shuntov; Albert Sneppen; Francesco Valentino; L. Zalesky; G. Zamorani,2023,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/202245581,187,"Context. How galaxies form, assemble, and cease their star formation is a central question within the modern landscape of galaxy evolution studies. These processes are indelibly imprinted on the galaxy stellar mass function (SMF), and its measurement and understanding is key to uncovering a unified theory of galaxy evolution. Aims. We present constraints on the shape and evolution of the galaxy SMF, the quiescent galaxy fraction, and the cosmic stellar mass density across 90% of the history of the Universe from z = 7.5 → 0.2 as a means to study the physical processes that underpin galaxy evolution. Methods. The COSMOS survey is an ideal laboratory for studying representative galaxy samples. Now equipped with deeper and more homogeneous near-infrared coverage exploited by the COSMOS2020 catalog, we leverage the large 1.27 deg 2 effective area to improve sample statistics and understand spatial variations (cosmic variance) – particularly for rare, massive galaxies – and push to higher redshifts with greater confidence and mass completeness than previous studies. We divide the total stellar mass function into star-forming and quiescent subsamples through NUVrJ color-color selection. The measurements are then fit with single- and double-component Schechter functions to infer the intrinsic galaxy stellar mass function, the evolution of its key parameters, and the cosmic stellar mass density out to z = 7.5. Finally, we compare our measurements to predictions from state-of-the-art cosmological simulations and theoretical dark matter halo mass functions. Results. We find a smooth, monotonic evolution in the galaxy stellar mass function since z = 7.5, in general agreement with previous studies. The number density of star-forming systems have undergone remarkably consistent growth spanning four decades in stellar mass from z = 7.5 → 2 whereupon high-mass systems become predominantly quiescent (“downsizing”). Meanwhile, the assembly and growth of low-mass quiescent systems only occurred recently, and rapidly. An excess of massive systems at z ≈ 2.5 − 5.5 with strikingly red colors, with some being newly identified, increase the observed number densities to the point where the SMF cannot be reconciled with a Schechter function. Conclusions. Systematics including cosmic variance and/or active galactic nuclei contamination are unlikely to fully explain this excess, and so we speculate that they may be dust-obscured populations similar to those found in far infrared surveys. Furthermore, we find a sustained agreement from z ≈ 3 − 6 between the stellar and dark matter halo mass functions for the most massive systems, suggesting that star formation in massive halos may be more efficient at early times.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W3099377877,https://doi.org/10.1051/0004-6361/201936691/pdf,Clusters and mirages: cataloguing stellar aggregates in the Milky Way,T. Cantat-Gaudin; F. Anders,2020,Springer Link (Chiba Institute of Technology),,235,"Context. Many of the open clusters listed in modern catalogues were initially reported by visual astronomers as apparent overdensities of bright stars. As observational techniques and analysis methods continue to improve, some of them have been shown to be chance alignments of stars and not true clusters. Recent publications making use of Gaia DR2 data have provided membership lists for over a thousand clusters, however, many nearby objects listed in the literature have so far evaded detection. Aims. We aim to update the Gaia DR2 cluster census by performing membership determinations for known clusters that had been missed by previous studies and for recently-discovered clusters. We investigate a sub-set of non-detected clusters that, according to their literature parameters, should be easily visible in Gaia. Confirming or disproving the existence of old, inner-disc, high-altitude clusters is especially important as their survival or disruption is linked to the dynamical processes that drive the evolution of the Milky Way. Methods. We employed the Gaia DR2 catalogue and a membership assignment procedure, as well as visual inspections of spatial, proper motion, and parallax distributions. We used membership lists provided by other authors when available. Results. We derived membership lists for 150 objects, including ten that were already known prior to Gaia. We compiled a final list of members for 1481 clusters. Among the objects that we are still unable to identify with the Gaia data, we argue that many (mostly putatively old, relatively nearby, high-altitude objects) are not true clusters. Conclusions. At present, the only confirmed cluster located further than 500 pc away from the Galactic plane within the Solar circle is NGC 6791. It is likely that the objects discussed in this study only represent a fraction of the non-physical groupings erroneously listed in the catalogues as genuine open clusters and that those lists need further cleaning.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W2900811782,https://doi.org/10.1146/annurev-astro-091918-104509,Accuracy and Precision of Industrial Stellar Abundances,Paula Jofré; Ulrike Heiter; Caroline Soubiran,2019,Annual Review of Astronomy and Astrophysics,https://doi.org/10.1146/annurev-astro-091918-104509,178,"There has been an incredibly large investment in obtaining high-resolution stellar spectra for determining chemical abundances of stars. This information is crucial to answer fundamental questions in astronomy by constraining the formation and evolution scenarios of the Milky Way as well as the stars and planets residing in it. We have just entered a new era, in which chemical abundances of FGK-type stars are being produced at industrial scales, and in which the observations, reduction, and analysis of the data are automatically performed by machines. Here, we review the latest human efforts to assess the accuracy and precision of such industrial abundances by providing insights into the steps and uncertainties associated with the process of determining stellar abundances. We also provide a description of current and forthcoming spectroscopic surveys, focusing on their reported abundances and uncertainties. This allows us to identify which elements and spectral lines are best and why. Finally, we make a brief selection of main scientific questions the community is aiming to answer with abundances. ▪ Uncertainties in abundances need to be disentangled into random and systematic components. ▪ Precision can be increased by applying differential or data-driven methods based on accurate data. ▪ High-resolution and signal-to-noise spectra provide fundamental data that can be used to calibrate lower-resolution and signal-to-noise spectra of millions of stars. ▪ Different survey calibration strategies must agree on a common set of reference stars to create data products that are consistent. ▪ Data products provided by individual groups must be published using standard formats to ensure straightforward applicability.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W2905331806,https://doi.org/10.3847/1538-4365/aaf651,"The Fifteenth Data Release of the Sloan Digital Sky Surveys: First Release of MaNGA-derived Quantities, Data Visualization Tools, and Stellar Library",D. S. Aguado; Romina Ahumada; Andrés Almeida; Scott F. Anderson; Brett H. Andrews; Borja Anguiano; Erik Aquino Ortíz; Alfonso Aragón-Salamanca; Maria Argudo-Fernández; Marie Aubert; Vladimir Avila-Reese; Carles Badenes; Sandro Barboza Rembold; Kat Barger; Jorge Barrera-Ballesteros; Dominic Bates; Julian Bautista; Rachael L. Beaton; Timothy C. Beers; Francesco Belfiore; Mariangela Bernardi; Matthew Bershady; Florian Beutler; Jonathan Bird; Dmitry Bizyaev; Guillermo A. Blanc; Michael R. Blanton; Michael Blomqvist; Adam S. Bolton; Médéric Boquien; Jura Borissova; Jo Bovy; William Nielsen Brandt; Jonathan Brinkmann; Joel R. Brownstein; Kevin Bundy; Adam Burgasser; Nell Byler; Mariana Cano Diaz; Michele Cappellari; Ricardo Carrera; Bernardo Cervantes Sodi; Yanping Chen; Brian Cherinka; Peter Doohyun Choi; Haeun Chung; Damien Coffey; Julia M. Comerford; Johan Comparat; Kevin Covey; Gabriele da Silva Ilha; Luiz da Costa; Yu Sophia Dai; Guillermo Damke; Jeremy Darling; Roger Davies; Kyle Dawson; Victoria de Sainte Agathe; Alice Deconto Machado; Agnese Del Moro; Nathan De Lee; Aleksandar M. Diamond-Stanic; Helena Domínguez Sánchez; John Donor; Niv Drory; Hélion du Mas des Bourboux; Chris Duckworth; Tom Dwelly; Garrett Ebelke; Eric Emsellem; Stephanie Escoffier; José G. Fernández-Trincado; Diane Feuillet; Johanna-Laina Fischer; Scott W. Fleming; Amelia Fraser-McKelvie; Gordon Freischlad; Peter M. Frinchaboy; Hai Fu; Lluís Galbany; Rafael Garcia-Dias; D. A. García-Hernández; Luis Alberto Garma Oehmichen; Marcio Antonio Geimba Maia; Héctor Gil-Marín; Kathleen Grabowski; Meng Gu; Hong Guo; Jaewon Ha; Emily Harrington; Sten Hasselquist; Christian R. Hayes; Fred Hearty; Hector Hernandez Toledo; Harry Hicks; David W. Hogg; Kelly Holley-Bockelmann; Jon A. Holtzman; Bau-Ching Hsieh; Jason A. S. Hunt,2019,The Astrophysical Journal Supplement Series,https://doi.org/10.3847/1538-4365/aaf651,353,"Twenty years have passed since first light for the Sloan Digital Sky Survey (SDSS). Here, we release data taken by the fourth phase of SDSS (SDSS-IV) across its first three years of operation (2014 July-2017 July). This is the third data release for SDSS-IV, and the 15th from SDSS (Data Release Fifteen; DR15). New data come from MaNGA-we release 4824 data cubes, as well as the first stellar spectra in the MaNGA Stellar Library (MaStar), the first set of survey-supported analysis products (e.g., stellar and gas kinematics, emission-line and other maps) from the MaNGA Data Analysis Pipeline, and a new data visualization and access tool we call ""Marvin."" The next data release, DR16, will include new data from both APOGEE-2 and eBOSS; those surveys release no new data here, but we document updates and corrections to their data processing pipelines. The release is cumulative; it also includes the most recent reductions and calibrations of all data taken by SDSS since first light. In this paper, we describe the location and format of the data and tools and cite technical references describing how it was obtained and processed. The SDSS website (www.sdss.org) has also been updated, providing links to data downloads, tutorials, and examples of data use. Although SDSS-IV will continue to collect astronomical data until 2020, and will be followed by SDSS-V (2020-2025), we end this paper by describing plans to ensure the sustainability of the SDSS data archive for many years beyond the collection of data.",2026-07-30T05:00:47+00:00
deep learning stellar spectroscopy,run002_dl_stellar_spectroscopy,https://openalex.org/W2168876521,https://doi.org/10.1111/j.1365-2966.2012.21639.x,The cold veil of the Milky Way stellar halo,Alis J. Deason; Vasily Belokurov; N. W. Evans; S. E. Koposov; Ryan Cooke; Jorge Peñarrubia; Chervin F. P. Laporte; M. Fellhauer; Matthew G. Walker; Edward W. Olszewski,2012,Monthly Notices of the Royal Astronomical Society,https://doi.org/10.1111/j.1365-2966.2012.21639.x,142,"Americanae nace como un proyecto conjunto que surge dentro de la Red Europea de Información y Documentación sobre América Latina (REDIAL), y que ha afrontado la Biblioteca de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID). Esta nueva biblioteca virtual hace más accesibles los libros digitales de tema americanista a los investigadores y usuarios interesados de cualquier parte del mundo.",2026-07-30T05:00:47+00:00
