annotation_id,openalex_id,title,relevance_label,reason
4,https://openalex.org/W4,"Mapping the Diversity of Galaxy Spectra with Deep Unsupervised Machine Learning",-1,标题含spectra，但研究星系光谱，非恒星光谱检索，困难负例
5,https://openalex.org/W5,"Deducing neutron star equation of state parameters directly from telescope spectra with uncertainty-aware machine learning",-1,标题含spectra，研究中子星物态方程，不属于恒星光谱检索，困难负例
11,https://openalex.org/W11,"Mimicking the halo-galaxy connection using machine learning",-1,标题含stellar，研究星系-暗物质晕关联，不涉及光谱检索，困难负例
15,https://openalex.org/W15,"Machine learning in solar physics",-1,标题含stellar相关范畴，研究太阳物理，不面向恒星光谱检索，困难负例
27,https://openalex.org/W27,"“Full spectrum fitting with photometry in <scp>xp</scp>: stellar population versus dynamical masses",-1,标题含spectrum、stellar，研究星系恒星族群，非恒星光谱检索，困难负例
29,https://openalex.org/W29,"Machine learning for observational cosmology",-1,标题含stellar领域范畴，观测宇宙学研究，不涉及恒星光谱检索，困难负例
31,https://openalex.org/W31,"Modelling the galaxy-halo connection with machine learning",-1,标题含stellar相关天文范畴，星系暗晕模型，困难负例
33,https://openalex.org/W33,"The miniJPAS survey: star-galaxy classification using machine learning",-1,标题含star，区分恒星/星系图像，不处理恒星光谱，困难负例
37,https://openalex.org/W37,"Outshining by Recent Star Formation Prevents the Accurate Measurement of High-z Galaxy Stellar Masses",-1,标题含stellar，高红移星系恒星质量，不涉及恒星光谱检索，困难负例
40,https://openalex.org/W40,"An active instance-based machine learning method for stellar population studies",-1,标题含stellar，星系恒星族群研究，不涉及恒星光谱检索，困难负例
43,https://openalex.org/W43,"Machine-learning Classifiers for Intermediate Redshift Emission-line Galaxies",-1,标题无恒星光谱词汇，研究星系发射线，困难负例
44,https://openalex.org/W44,"Testing stellar population models with integral field spectroscopy of early-type galaxies",-1,标题含stellar、spectroscopy，星系恒星族群模型，困难负例
45,https://openalex.org/W45,"Stellar population synthesis models for machine learning applications",-1,标题含stellar，星系恒星族群合成，困难负例
46,https://openalex.org/W46,"Spectral energy distribution fitting of galaxies with machine learning",-1,标题含spectral，星系SED拟合，困难负例
