pair_id,research_query_id,method_id,score,rank
w4_rq01_001,rq01_stellar_classification,tfidf_two_stage_v1,0.5192,1
w4_rq01_016,rq01_stellar_classification,tfidf_two_stage_v1,0.406,2
w4_rq01_015,rq01_stellar_classification,tfidf_two_stage_v1,0.4002,3
w4_rq01_019,rq01_stellar_classification,tfidf_two_stage_v1,0.3916,4
w4_rq01_006,rq01_stellar_classification,tfidf_two_stage_v1,0.3373,5
w4_rq01_012,rq01_stellar_classification,tfidf_two_stage_v1,0.3332,6
w4_rq01_014,rq01_stellar_classification,tfidf_two_stage_v1,0.3265,7
w4_rq01_002,rq01_stellar_classification,tfidf_two_stage_v1,0.3215,8
w4_rq01_018,rq01_stellar_classification,tfidf_two_stage_v1,0.3149,9
w4_rq01_009,rq01_stellar_classification,tfidf_two_stage_v1,0.3145,10
w4_rq01_003,rq01_stellar_classification,tfidf_two_stage_v1,0.3101,11
w4_rq01_010,rq01_stellar_classification,tfidf_two_stage_v1,0.3082,12
w4_rq01_008,rq01_stellar_classification,tfidf_two_stage_v1,0.2984,13
w4_rq01_007,rq01_stellar_classification,tfidf_two_stage_v1,0.2972,14
w4_rq01_020,rq01_stellar_classification,tfidf_two_stage_v1,0.2779,15
w4_rq01_011,rq01_stellar_classification,tfidf_two_stage_v1,0.2643,16
w4_rq01_013,rq01_stellar_classification,tfidf_two_stage_v1,0.259,17
w4_rq01_004,rq01_stellar_classification,tfidf_two_stage_v1,0.2437,18
w4_rq01_017,rq01_stellar_classification,tfidf_two_stage_v1,0.2313,19
w4_rq01_005,rq01_stellar_classification,tfidf_two_stage_v1,0.1762,20
w4_rq02_008,rq02_stellar_parameters,tfidf_two_stage_v1,0.3621,1
w4_rq02_012,rq02_stellar_parameters,tfidf_two_stage_v1,0.3109,2
w4_rq02_015,rq02_stellar_parameters,tfidf_two_stage_v1,0.295,3
w4_rq02_014,rq02_stellar_parameters,tfidf_two_stage_v1,0.2788,4
w4_rq02_003,rq02_stellar_parameters,tfidf_two_stage_v1,0.2643,5
w4_rq02_013,rq02_stellar_parameters,tfidf_two_stage_v1,0.2509,6
w4_rq02_006,rq02_stellar_parameters,tfidf_two_stage_v1,0.2376,7
w4_rq02_004,rq02_stellar_parameters,tfidf_two_stage_v1,0.2243,8
w4_rq02_017,rq02_stellar_parameters,tfidf_two_stage_v1,0.2205,9
w4_rq02_019,rq02_stellar_parameters,tfidf_two_stage_v1,0.1971,10
w4_rq02_007,rq02_stellar_parameters,tfidf_two_stage_v1,0.191,11
w4_rq02_020,rq02_stellar_parameters,tfidf_two_stage_v1,0.1812,12
w4_rq02_016,rq02_stellar_parameters,tfidf_two_stage_v1,0.1735,13
w4_rq02_009,rq02_stellar_parameters,tfidf_two_stage_v1,0.1607,14
w4_rq02_005,rq02_stellar_parameters,tfidf_two_stage_v1,0.1554,15
w4_rq02_011,rq02_stellar_parameters,tfidf_two_stage_v1,0.1431,16
w4_rq02_002,rq02_stellar_parameters,tfidf_two_stage_v1,0.14,17
w4_rq02_018,rq02_stellar_parameters,tfidf_two_stage_v1,0.1342,18
w4_rq02_010,rq02_stellar_parameters,tfidf_two_stage_v1,0.1268,19
w4_rq02_001,rq02_stellar_parameters,tfidf_two_stage_v1,0.1137,20
w4_rq03_020,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.5081,1
w4_rq03_014,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.4263,2
w4_rq03_003,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.39,3
w4_rq03_010,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.3421,4
w4_rq03_002,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.3388,5
w4_rq03_007,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.3249,6
w4_rq03_019,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.3032,7
w4_rq03_011,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2818,8
w4_rq03_013,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2745,9
w4_rq03_009,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2698,10
w4_rq03_005,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2577,11
w4_rq03_004,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2557,12
w4_rq03_012,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2362,13
w4_rq03_008,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2275,14
w4_rq03_017,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.2189,15
w4_rq03_018,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.1712,16
w4_rq03_001,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.1586,17
w4_rq03_016,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.1583,18
w4_rq03_015,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.1578,19
w4_rq03_006,rq03_spectral_preprocessing,tfidf_two_stage_v1,0.1425,20
