example_id,research_query_id,pair_id,openalex_id,title,example_role,boundary_type,input_data,method_role,core_output,boundary_reason,lexical_risk,potential_improvement
qb_001,rq01_stellar_classification,w4_rq01_004,https://openalex.org/W2567715800,The Galah Survey: Classification and Diagnostics with t-SNE Reduction of Spectral Information,scope_in,,GALAH恒星光谱,t-SNE降维并辅助光谱形态分类,异常或特殊恒星光谱类别,输入对象和输出任务都直接对应RQ01,classification与stellar spectra均指向核心任务,保留对象-模态-任务三要素匹配
qb_002,rq01_stellar_classification,w4_rq01_008,https://openalex.org/W2921395996,Stellar spectral classification and feature evaluation based on a random forest,scope_in,,恒星光谱库及LAMOST类光谱,随机森林执行分类和特征评估,恒星光谱分类标签,机器学习直接以恒星光谱为输入执行分类,stellar spectral classification是核心任务而非背景,将此类直接任务作为正例锚点
qb_003,rq01_stellar_classification,w4_rq01_010,https://openalex.org/W3121170300,ROOSTER: a machine-learning analysis tool for <i>Kepler</i> stellar rotation periods,hard_negative,wrong_modality,Kepler测光光曲线,随机森林检测旋转调制并选择周期,恒星自转周期,研究恒星且使用分类器但不输入恒星光谱,stellar和spectral types等词会掩盖photometric light curves,增加输入模态约束并识别light curve术语
qb_004,rq01_stellar_classification,w4_rq01_014,https://openalex.org/W3155899199,Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,hard_negative,wrong_domain,无线通信射频信号,机器学习识别调制方式,通信调制类别,spectrum与classification属于通信语境,高频通用词machine learning和spectrum产生表面重合,加入天文对象实体与领域排除词
qb_005,rq01_stellar_classification,w4_rq01_015,https://openalex.org/W2899864468,Machine Learning Applied to Star–Galaxy–QSO Classification and Stellar Effective Temperature Regression,hard_negative,wrong_modality_and_task,宽带多色测光,随机森林做天体对象分类和温度回归,star/galaxy/QSO类别及Teff,对象含star但不是恒星光谱型分类,star classification与stellar temperature词项可能获得高匹配,区分对象级分类与恒星类型分类并约束spectroscopic input
qb_006,rq01_stellar_classification,w4_rq01_016,https://openalex.org/W4312712330,Experimental Analysis of Stellar Classification by using Different Machine Learning Algorithms,boundary,object_classification_vs_stellar_type,摘要仅称100000条观测且输入模态不清,多种分类器区分Galaxy与Star,Galaxy/Star对象类别,标题和背景谈stellar classification但核心输出不是恒星类型,标题词项可能覆盖摘要中的真实任务,优先解析输出标签并在模态不清时触发人工复核
qb_007,rq02_stellar_parameters,w4_rq02_008,https://openalex.org/W2032231736,Estimation of stellar atmospheric parameters from SDSS/SEGUE spectra,scope_in,,SDSS/SEGUE恒星光谱,非线性回归从光谱映射到参数,Teff、log g和[Fe/H],输入方向和参数输出直接对应RQ02,参数词项出现在方法和结果中,作为光谱到参数回归的正例锚点
qb_008,rq02_stellar_parameters,w4_rq02_012,https://openalex.org/W2969434441,Deriving the Stellar Labels of LAMOST Spectra with the Stellar LAbel Machine (SLAM),scope_in,,LAMOST恒星光谱,支持向量回归推断多维恒星标签,Teff、log g、金属丰度及元素标签,训练标签来自外部不改变模型对新光谱执行推断的方向,stellar labels可能被误解为仅使用已有标签,识别训练监督来源与推断输出的方向
qb_009,rq02_stellar_parameters,w4_rq02_018,https://openalex.org/W2531334071,The RAVE-on Catalog of Stellar Atmospheric Parameters and Chemical Abundances for Chemo-dynamic Studies in the Gaia Era,scope_in,,RAVE恒星光谱,The Cannon数据驱动重分析光谱,Teff、log g和元素丰度,参数推断是主要产物且服务后续研究,chemo-dynamic背景不应遮蔽核心光谱参数化任务,同时抽取方法输入与主要产物
qb_010,rq02_stellar_parameters,w4_rq02_002,https://openalex.org/W3106471209,Dissecting stellar chemical abundance space with t-SNE,hard_negative,existing_labels_as_input,已经测得的化学丰度向量,t-SNE分析丰度空间结构,化学族群与异常星,参数是输入而不是从光谱推断的输出,abundance和stellar survey词项与RQ02高度重合,显式建模输入到输出方向
