pair_id,research_query_id,research_question_zh,research_question_en,openalex_id,title,abstract,landing_page_url,publication_year,doi,annotator,label,confidence,evidence_level,reason,source_checked,evidence_url,ai_assistance
w4_rq01_006,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W4384201335,Machine learning in solar physics,"Abstract The application of machine learning in solar physics has the potential to greatly enhance our understanding of the complex processes that take place in the atmosphere of the Sun. By using techniques such as deep learning, we are now in the position to analyze large amounts of data from solar observations and identify patterns and trends that may not have been apparent using traditional methods. This can help us improve our understanding of explosive events like solar flares, which can have a strong effect on the Earth environment. Predicting hazardous events on Earth becomes crucial for our technological society. Machine learning can also improve our understanding of the inner workings of the sun itself by allowing us to go deeper into the data and to propose more complex models to explain them. Additionally, the use of machine learning can help to automate the analysis of solar data, reducing the need for manual labor and increasing the efficiency of research in this field.",https://doi.org/10.1007/s41116-023-00038-x,2023,10.1007/s41116-023-00038-x,puzhengjie,0,high,A,太阳物理中机器学习的综述，核心是太阳大气过程与耀斑预测等，不是恒星光谱分类或类型识别。,title_abstract,,label_suggestion
w4_rq01_008,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2921395996,Stellar spectral classification and feature evaluation based on a random forest,"Abstract With the availability of multi-object spectrometers and the design and operation of some large scale sky surveys, the issue of how to deal with enormous quantities of spectral data efficiently and accurately is becoming more and more important. This work investigates the classification problem of stellar spectra under the assumption that there is no perfect absolute flux calibration, for example, when considering spectra from the Guo Shou Jing Telescope (the Large Sky Area Multi-Object Fiber Spectroscopic Telescope, LAMOST). The proposed scheme consists of the following two procedures: Firstly, a spectrum is normalized based on a 17th order polynomial fitting; secondly, a random forest (RF) is utilized to classify the stellar spectra. Experiments on four stellar spectral libraries show that the RF has good classification performance. This work also studied the spectral feature evaluation problem based on RF. The evaluation is helpful in understanding the results of the proposed stellar classification scheme and exploring its potential improvements in the future.",https://doi.org/10.1088/1674-4527/19/8/111,2019,10.1088/1674-4527/19/8/111,puzhengjie,2,high,A,以恒星光谱为输入，用随机森林完成恒星光谱分类，核心任务与 RQ01 直接对应。,title_abstract,,label_suggestion
w4_rq01_012,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W2406349003,A survey of machine learning for big data processing,"There is no doubt that big data are now rapidly expanding in all science and engineering domains. While the potential of these massive data is undoubtedly significant, fully making sense of them requires new ways of thinking and novel learning techniques to address the various challenges. In this paper, we present a literature survey of the latest advances in researches on machine learning for big data processing. First, we review the machine learning techniques and highlight some promising learning methods in recent studies, such as representation learning, deep learning, distributed and parallel learning, transfer learning, active learning, and kernel-based learning. Next, we focus on the analysis and discussions about the challenges and possible solutions of machine learning for big data. Following that, we investigate the close connections of machine learning with signal processing techniques for big data processing. Finally, we outline several open issues and research trends.",https://doi.org/10.1186/s13634-016-0355-x,2016,10.1186/s13634-016-0355-x,puzhengjie,0,high,A,通用机器学习大数据处理综述，与恒星光谱分类无关。,title_abstract,,label_suggestion
w4_rq01_018,rq01_stellar_classification,机器学习如何用于恒星光谱分类或恒星类型识别？,How is machine learning used to classify stellar spectra or identify stellar types?,https://openalex.org/W4306248068,"Machine learning in electron microscopy for advanced nanocharacterization: current developments, available tools and future outlook",", high-energy physics, astronomy, Earth sciences, and even robotics, videogames, or marketing and finances), in order to narrow down the incoming future of electron microscopy, its challenges and outlook.",https://doi.org/10.1039/d2nh00377e,2022,10.1039/d2nh00377e,puzhengjie,0,high,A,电子显微镜纳米表征中的机器学习，与恒星光谱分类无关。,title_abstract,,label_suggestion
w4_rq02_002,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W3106471209,Dissecting stellar chemical abundance space with t-SNE,"In the era of large-scale Galactic astronomy and multi-object spectroscopic stellar surveys, the sample sizes and the number of available stellar chemical abundances have reached dimensions in which it has become difficult to process all the available information in an effective manner. In this paper we demonstrate the use of a dimensionality-reduction technique (t-distributed stochastic neighbour embedding; t-SNE) for analysing the stellar abundance-space distribution. While the non-parametric non-linear behaviour of this technique makes it difficult to estimate the significance of any abundance-space substructure found, we show that our results depend little on parameter choices and are robust to abundance errors. By reanalysing the high-resolution high-signal-to-noise solar-neighbourhood HARPS-GTO sample with t-SNE, we find clearer chemical separations of the high- and low-[α/Fe] disc sequences, hints for multiple populations in the high-[α/Fe] population, and indications that the chemical evolution of the high-[α/Fe] metal-rich stars is connected with the super-metal-rich stars. We also identify a number of chemically peculiar stars, among them a high-confidence s-process-enhanced abundance-ratio pair (HD 91345/HD 126681) with very similar ages and v X and v Y velocities, which we suggest have a common birth origin, possibly a dwarf galaxy. Our results demonstrate the potential of abundance-space t-SNE and similar methods for chemical-tagging studies with large spectroscopic surveys.",http://hdl.handle.net/10183/204135,2018,10.1051/0004-6361/201833099/pdf,puzhengjie,0,high,A,用 t-SNE 分析已有的恒星化学丰度空间做化学标记，输入是既有丰度而非从光谱估计参数。,title_abstract,,label_suggestion
w4_rq02_004,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2211251945,Stellar parametrization from<i>Gaia</i>RVS spectra,"Context. Among the myriad of data collected by the ESA Gaia satellite, about 150 million spectra will be delivered by the Radial Velocity Spectrometer (RVS) for stars as faint as GRVS~ 16. A specific stellar parametrization will be performed on most of these RVS spectra, i.e. those with enough high signal-to-noise ratio (S/N), which should correspond to single stars that have a magnitude in the RVS band brighter than ~14.5. Some individual chemical abundances will also be estimated for the brightest targets.",https://doi.org/10.1051/0004-6361/201425030,2015,10.1051/0004-6361/201425030,puzhengjie,2,high,B,从 Gaia RVS 恒星光谱用机器学习（人工神经网络等）估计 Teff/log g/metallicity，核心任务与 RQ02 直接对应。,title_abstract;arxiv,https://arxiv.org/abs/1510.00111,label_suggestion
w4_rq02_008,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2032231736,Estimation of stellar atmospheric parameters from SDSS/SEGUE spectra,"We present techniques for the estimation of stellar atmospheric parameters (Teff, , [Fe/H]) for stars from the SDSS/SEGUE survey. The atmospheric parameters are derived from the observed medium-resolution () stellar spectra using non-linear regression models trained either on (1) pre-classified observed data or (2) synthetic stellar spectra. In the first case we use our models to automate and generalize parametrization produced by a preliminary version of the SDSS/SEGUE Spectroscopic Parameter Pipeline (SSPP). In the second case we directly model the mapping between synthetic spectra (derived from Kurucz model atmospheres) and the atmospheric parameters, independently of any intermediate estimates. After training, we apply our models to various samples of SDSS spectra to derive atmospheric parameters, and compare our results with those obtained previously by the SSPP for the same samples. We obtain consistency between the two approaches, with RMS deviations on the order of 150 K in Teff, 0.35 dex in , and 0.22 dex in [Fe/H]. The models are applied to pre-processed spectra, either via Principal Component Analysis (PCA) or a Wavelength Range Selection (WRS) method, which employs a subset of the full 3850–9000 Åspectral range. This is both for computational reasons (robustness and speed), and because it delivers higher accuracy (better generalization of what the models have learned). Broadly speaking, the PCA is demonstrated to deliver more accurate atmospheric parameters when the training data are the actual SDSS spectra with previously estimated parameters, whereas WRS appears superior for the estimation of via synthetic templates, especially for lower signal-to-noise spectra. From a subsample of some 19 000 stars with previous determinations of the atmospheric parameters, the accuracies of our predictions (mean absolute errors) for each parameter are Teff to 170/170 K, to 0.36/0.45 dex, and [Fe/H] to 0.19/0.26 dex, for methods (1) and (2), respectively. We measure the intrinsic errors of our models by training on synthetic spectra and evaluating their performance on an independent set of synthetic spectra. This yields RMS accuracies of 50 K, 0.02 dex, and 0.03 dex on Teff, , and [Fe/H], respectively. Our approach can be readily deployed in an automated analysis pipeline, and can easily be retrained as improved stellar models and synthetic spectra become available. We nonetheless emphasise that this approach relies on an accurate calibration and pre-processing of the data (to minimize mismatch between the real and synthetic data), as well as sensible choices concerning feature selection. From an analysis of cluster candidates with available SDSS spectroscopy (M 15, M 13, M 2, and NGC 2420), and assuming the age, metallicity, and distances given in the literature are correct, we find evidence for small systematic offsets in Teff and/or for the parameter estimates from the model trained on real data with the SSPP. Thus, this model turns out to derive more precise, but less accurate, atmospheric parameters than the model trained on synthetic data.",https://doi.org/10.1051/0004-6361:20077334,2007,10.1051/0004-6361:20077334,puzhengjie,2,high,A,用非线性回归模型从 SDSS/SEGUE 恒星光谱估计 Teff/log g/[Fe/H]，核心任务与 RQ02 直接对应。,title_abstract,,label_suggestion
w4_rq02_010,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2072609734,A Gemini ground-based transmission spectrum of WASP-29b: a featureless spectrum from 515 to 720 nm,"We report Gemini-South Gemini Multi-Object Spectrograph observations of the exoplanet system WASP-29 during primary transit as a test case for differential spectrophotometry. We use the multi-object spectrograph to observe the target star and a comparison star simultaneously to produce multiple light curves at varying wavelengths. The ‘white’ light curve and 15 ‘spectral’ light curves are analysed to refine the system parameters and produce a transmission spectrum from ∼515 to 720 nm. All light curves exhibit time-correlated noise, which we model using a variety of techniques. These include a simple noise rescaling, a Gaussian process model and a wavelet-based method. These methods all produce consistent results, although with different uncertainties. The precision of the transmission spectrum is improved by subtracting a common signal from all the spectral light curves, reaching a typical precision of ∼1 × 10−4 in transit depth. The transmission spectrum is free of spectral features, and given the non-detection of a pressure broadened Na feature, we can rule out the presence of a Na-rich atmosphere free of clouds or hazes, although we cannot rule out a narrow Na core. This indicates that Na is not present in the atmosphere, and/or that clouds/hazes play a significant role in the atmosphere and mask the broad wings of the Na feature, although the former is a more likely explanation given WASP-29b’s equilibrium temperature of ∼970 K, at which Na can form various compounds. We also briefly discuss the use of Gaussian process and wavelet methods to account for time-correlated noise in transit light curves.",https://doi.org/10.1093/mnras/sts307,2012,10.1093/mnras/sts307,puzhengjie,0,high,A,系外行星凌星透射光谱观测，研究行星大气而非从恒星光谱估计恒星参数。,title_abstract,,label_suggestion
w4_rq02_016,rq02_stellar_parameters,机器学习如何从恒星光谱估计有效温度、表面重力、金属丰度等恒星物理或大气参数？,"How is machine learning used to estimate stellar physical or atmospheric parameters, including effective temperature, surface gravity, and metallicity, from stellar spectra?",https://openalex.org/W2740236269,The Fourteenth Data Release of the Sloan Digital Sky Survey: First Spectroscopic Data from the Extended Baryon Oscillation Spectroscopic Survey and from the Second Phase of the Apache Point Observatory Galactic Evolution Experiment,"Abstract The fourth generation of the Sloan Digital Sky Survey (SDSS-IV) has been in operation since 2014 July. This paper describes the second data release from this phase, and the 14th from SDSS overall (making this Data Release Fourteen or DR14). This release makes the data taken by SDSS-IV in its first two years of operation (2014–2016 July) public. Like all previous SDSS releases, DR14 is cumulative, including the most recent reductions and calibrations of all data taken by SDSS since the first phase began operations in 2000. New in DR14 is the first public release of data from the extended Baryon Oscillation Spectroscopic Survey; the first data from the second phase of the Apache Point Observatory (APO) Galactic Evolution Experiment (APOGEE-2), including stellar parameter estimates from an innovative data-driven machine-learning algorithm known as “The Cannon”; and almost twice as many data cubes from the Mapping Nearby Galaxies at APO (MaNGA) survey as were in the previous release ( N = 2812 in total). This paper describes the location and format of the publicly available data from the SDSS-IV surveys. We provide references to the important technical papers describing how these data have been taken (both targeting and observation details) and processed for scientific use. The SDSS web site ( www.sdss.org ) has been updated for this release and provides links to data downloads, as well as tutorials and examples of data use. SDSS-IV is planning to continue to collect astronomical data until 2020 and will be followed by SDSS-V.",https://doi.org/10.3847/1538-4365/aa9e8a,2018,10.3847/1538-4365/aa9e8a,puzhengjie,1,medium,A,SDSS 数据发布文档，包含 APOGEE-2 用 The Cannon 机器学习估计恒星参数的说明，但核心任务是数据发布而非参数估计方法。,title_abstract,,label_suggestion
w4_rq03_002,rq03_spectral_preprocessing,机器学习如何用于恒星光谱的预处理、降噪、归一化、校准或质量改进？,"How is machine learning used for preprocessing, denoising, normalization, calibration, or quality improvement of stellar spectra?",https://openalex.org/W7130819561,From classical machine learning to emerging foundation models: review on multimodal data integration for cancer research,"Abstract Cancer research is increasingly driven by the integration of diverse data modalities, spanning from genomics and proteomics to imaging and clinical factors. However, extracting actionable insights from these vast and heterogeneous datasets remains a key challenge. The rise of foundation models (FMs) large deep-learning models pretrained on extensive amounts of data serving as a backbone for a wide range of downstream tasks—offers new avenues for discovering biomarkers, improving diagnosis, and personalizing treatment. This paper presents a comprehensive review of widely adopted integration strategies of multimodal data to assist advance the computational approaches for data-driven discoveries in oncology. We examine emerging trends in machine learning (ML) and deep learning (DL), including methodological frameworks, validation protocols, and open-source resources targeting cancer subtype classification, biomarker discovery, treatment guidance, and outcome prediction. This study also comprehensively covers the shift from traditional ML to FMs for multimodal integration. We present a holistic view of recent FMs advancements and challenges faced during the integration of multi-omics with advanced imaging data. We identify state-of-the-art FMs, publicly available multi-modal repositories, and advanced tools and methods for data integration. We argue that current state-of-the-art integration methods provide the essential groundwork for developing the next generation of large-scale, pre-trained models poised to further revolutionize oncology. To the best of our knowledge, this is the first review to systematically map the transition from conventional ML to advanced FM for multimodal data integration in oncology, while also framing these developments as foundational for the forthcoming era of large-scale AI models in cancer research. The GitHub repo of this project available at https://github.com/WuLabMDA/Medical-Foundation-Models .",https://doi.org/10.1007/s10462-026-11522-9,2026,10.1007/s10462-026-11522-9,puzhengjie,0,high,A,癌症研究多模态数据集成综述，与恒星光谱预处理无关。,title_abstract,,label_suggestion
